# title = Total Transverse Energy with Gluon
# xlabel = $H_{\text{T},\text{g}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}H_{\text{T},\text{g}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  2.000E+03
# ymin=  1.000E-06
# ymax=  1.000E-03
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      10.00      70.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      70.00     130.00  1.977795561023096E-15  1.977795556686271E-15 1
   3     130.00     190.00  8.358320563417704E-08  3.177587815941469E-09 56035
   4     190.00     250.00  1.285821985129673E-05  7.373330505282155E-08 4446994
   5     250.00     310.00  1.210502309240230E-04  3.062114537423644E-07 26632213
   6     310.00     370.00  2.979389915163527E-04  5.258458807412829E-07 49629374
   7     370.00     430.00  4.271411740472378E-04  6.709167711466034E-07 60987837
   8     430.00     490.00  4.798396475377004E-04  7.382132554041899E-07 62747964
   9     490.00     550.00  4.695579238504929E-04  6.933451278316436E-07 59090440
  10     550.00     610.00  4.253897431110531E-04  6.540834539490508E-07 53763158
  11     610.00     670.00  3.709416876057960E-04  6.559177632714417E-07 48282044
  12     670.00     730.00  3.144114803910729E-04  5.949567286567661E-07 43134465
  13     730.00     790.00  2.616459330860343E-04  5.301548163862282E-07 38499227
  14     790.00     850.00  2.166218188826446E-04  4.746659992666409E-07 34426011
  15     850.00     910.00  1.790194962094618E-04  4.231042312990149E-07 30875257
  16     910.00     970.00  1.468262934624915E-04  4.089857888064220E-07 27787998
  17     970.00    1030.00  1.209269594217459E-04  3.250022794288445E-07 25104022
  18    1030.00    1090.00  9.936965040825548E-05  2.840419612798074E-07 22762254
  19    1090.00    1150.00  8.113362106062906E-05  2.386328349438970E-07 20701316
  20    1150.00    1210.00  6.772055061120318E-05  2.487853422431180E-07 18897813
  21    1210.00    1270.00  5.556520795117252E-05  2.053103534047597E-07 17294591
  22    1270.00    1330.00  4.619237137688306E-05  1.839716047940937E-07 15867493
  23    1330.00    1390.00  3.826098888327664E-05  1.638426464351093E-07 14590256
  24    1390.00    1450.00  3.184945063205823E-05  1.854174697087657E-07 13448272
  25    1450.00    1510.00  2.621261462997730E-05  1.183312209688705E-07 12415866
  26    1510.00    1570.00  2.186347399036788E-05  1.047925472694561E-07 11498878
  27    1570.00    1630.00  1.842337367630310E-05  1.198914010279601E-07 10652927
  28    1630.00    1690.00  1.527865775396377E-05  8.299850874219102E-08 9890820
  29    1690.00    1750.00  1.282262233883326E-05  7.275819153189177E-08 9196526
  30    1750.00    1810.00  1.092137668776959E-05  7.785643287153104E-08 8569992
  31    1810.00    1870.00  9.145347823321102E-06  5.979944111790915E-08 7984635
  32    1870.00    1930.00  7.791739860004268E-06  6.291599405631158E-08 7454555
  33    1930.00    1990.00  6.566361551698891E-06  4.989010623866836E-08 6962495
  34    1990.00    2050.00  5.490421875524350E-06  3.968424390435488E-08 6519676
  35    2050.00    2110.00  4.640114925947040E-06  3.546783498972834E-08 6105423
  36    2110.00    2170.00  4.001039564088159E-06  3.577977792520756E-08 5717584
  37    2170.00    2230.00  3.441276079637539E-06  3.412970892829747E-08 5368375
  38    2230.00    2290.00  2.860678705114294E-06  2.517213544243929E-08 5034667
  39    2290.00    2350.00  2.504738915205176E-06  2.507489623502840E-08 4736214
  40    2350.00    2410.00  2.077778450211559E-06  2.166324519853563E-08 4457392
  41    2410.00    2470.00  1.791660228660820E-06  2.106381981795388E-08 4193321
  42    2470.00    2530.00  1.550274683464646E-06  1.717670186393572E-08 3950810
  43    2530.00    2590.00  1.305000171709264E-06  1.525398472738595E-08 3723160
  44    2590.00    2650.00  1.135789047878016E-06  1.397290719792150E-08 3511683
  45    2650.00    2710.00  9.538916531403070E-07  1.203114035056809E-08 3313218
  46    2710.00    2770.00  8.176189885247061E-07  1.079794911158742E-08 3129771
  47    2770.00    2830.00  7.165689127279144E-07  1.027400967312287E-08 2956594
  48    2830.00    2890.00  6.217623283724521E-07  1.070146595589495E-08 2796628
  49    2890.00    2950.00  5.157742738615218E-07  9.499927459169062E-09 2645557
  50    2950.00    3010.00  4.378684534683519E-07  7.705416634907259E-09 2502322
  51    3010.00    3070.00  3.837142569540964E-07  6.298790958692888E-09 2369268
  52    3070.00    3130.00  3.324840168008308E-07  5.981240573390212E-09 2245282
  53    3130.00    3190.00  2.963560655180520E-07  5.565530993935803E-09 2128841
  54    3190.00    3250.00  2.513742990839625E-07  4.624217677969857E-09 2018647
  55    3250.00    3310.00  2.187452342511844E-07  4.172782755385201E-09 1913976
  56    3310.00    3370.00  1.908549846439755E-07  4.271859902199409E-09 1815559
  57    3370.00    3430.00  1.557247178867091E-07  3.251593094953896E-09 1724048
  58    3430.00    3490.00  1.364601239076710E-07  2.550211627871181E-09 1636677
  59    3490.00    3550.00  1.197422755960314E-07  2.712468909742777E-09 1554580
  60    3550.00    3610.00  1.056303663229823E-07  2.602739209901580E-09 1476452
  61    3610.00    3670.00  9.373503935959232E-08  2.329931502497354E-09 1401360
  62    3670.00    3730.00  7.850894532230233E-08  1.968396454260316E-09 1332300
  63    3730.00    3790.00  6.677986428225859E-08  1.610191352947700E-09 1268874
  64    3790.00    3850.00  6.048302120484771E-08  2.022194471816338E-09 1207562
  65    3850.00    3910.00  5.521457938629958E-08  1.909966608270473E-09 1148738
  66    3910.00    3970.00  4.329425414304443E-08  1.132243766519413E-09 1091671
  67    3970.00    4030.00  3.900325343860822E-08  1.296085175381324E-09 1041592
  68    4030.00    4090.00  3.404318664205681E-08  1.084976015604830E-09 992772
  69    4090.00    4150.00  3.083261327135632E-08  1.289344957313240E-09 941938
  70    4150.00    4210.00  2.507461514454716E-08  7.882468487970070E-10 898732
  71    4210.00    4270.00  2.361013303243628E-08  8.912872060415859E-10 855992
  72    4270.00    4330.00  1.978270446539700E-08  7.740832707995364E-10 813021
  73    4330.00    4390.00  1.647322433118421E-08  5.777917106877779E-10 776228
  74    4390.00    4450.00  1.396045517456280E-08  5.995975528754895E-10 739577
  75    4450.00    4510.00  1.258188169943036E-08  4.530100904689409E-10 707302
  76    4510.00    4570.00  1.229763784504116E-08  7.896003348441207E-10 671256
  77    4570.00    4630.00  1.073375761099188E-08  5.366051924811076E-10 640655
  78    4630.00    4690.00  8.090420101818748E-09  2.942120433117294E-10 609978
  79    4690.00    4750.00  7.670926646630685E-09  3.449966380627720E-10 581540
  80    4750.00    4810.00  6.266950561397454E-09  2.848735257082037E-10 554249
  81    4810.00    4870.00  5.613322241911492E-09  2.751571138793935E-10 527869
  82    4870.00    4930.00  5.224139319546902E-09  2.919224075728165E-10 506822
  83    4930.00    4990.00  4.253698943426360E-09  2.113552937514753E-10 481562
  84    4990.00    5050.00  3.803570137616927E-09  1.925017587103256E-10 457940
  85    5050.00    5110.00  3.513933592479347E-09  2.377330276871099E-10 436485
  86    5110.00    5170.00  3.179996118468583E-09  2.812085422216782E-10 417435
  87    5170.00    5230.00  2.488613781686600E-09  1.184746356847697E-10 397955
  88    5230.00    5290.00  2.178284495792922E-09  1.387633820383671E-10 379461
  89    5290.00    5350.00  2.016996954342216E-09  1.413232552149078E-10 361076
  90    5350.00    5410.00  1.761704862259107E-09  1.059766553868757E-10 344894
