# title = Transverse Momentum Softer Jet
# xlabel = $p_{\text{T},\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      10.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      30.00      50.00  2.033137217096263E-03  2.307152093132631E-06 146902841
   3      50.00      70.00  2.171175095219500E-03  2.370895071770224E-06 140198678
   4      70.00      90.00  1.989809019111377E-03  2.374823222839272E-06 118949921
   5      90.00     110.00  1.656944903508014E-03  2.274425555954805E-06 96224165
   6     110.00     130.00  1.302247370011505E-03  2.124426144069942E-06 75141111
   7     130.00     150.00  9.861124114551327E-04  1.812777621204384E-06 57331136
   8     150.00     170.00  7.363529300288147E-04  1.602379189155517E-06 44009739
   9     170.00     190.00  5.494065971245572E-04  1.345602286207537E-06 34412346
  10     190.00     210.00  4.112369450370925E-04  1.108441851812887E-06 27378519
  11     210.00     230.00  3.103772072795533E-04  9.333905361997003E-07 22090412
  12     230.00     250.00  2.403212639455315E-04  9.169312423021083E-07 18065244
  13     250.00     270.00  1.849359233143411E-04  8.576413104355746E-07 14925515
  14     270.00     290.00  1.429364716654711E-04  7.021002287989875E-07 12457076
  15     290.00     310.00  1.119394331926365E-04  6.251800146405189E-07 10489566
  16     310.00     330.00  8.834070493685556E-05  5.396446126287007E-07 8898606
  17     330.00     350.00  7.027888644856008E-05  4.391929660176899E-07 7598569
  18     350.00     370.00  5.601109476217706E-05  4.214589687698833E-07 6527536
  19     370.00     390.00  4.505138312904388E-05  3.577694710538016E-07 5639076
  20     390.00     410.00  3.649229750702925E-05  4.493018247305088E-07 4892588
  21     410.00     430.00  2.963642444350048E-05  2.701120724886718E-07 4269230
  22     430.00     450.00  2.374565482174974E-05  2.326470180448847E-07 3738902
  23     450.00     470.00  1.940880397125485E-05  1.950320162600997E-07 3285763
  24     470.00     490.00  1.590326273157963E-05  2.279785505536186E-07 2900307
  25     490.00     510.00  1.328949468601942E-05  1.979494687318397E-07 2565699
  26     510.00     530.00  1.096055338204077E-05  1.501250974618177E-07 2272730
  27     530.00     550.00  9.215326346191045E-06  1.589141451466349E-07 2024331
  28     550.00     570.00  7.686680755118984E-06  1.615918917503014E-07 1805704
  29     570.00     590.00  6.328328180570612E-06  1.850036909511836E-07 1615486
  30     590.00     610.00  5.326561518753920E-06  9.659719971252620E-08 1447153
  31     610.00     630.00  4.403630844919174E-06  9.890249163761967E-08 1298867
  32     630.00     650.00  3.564111932748201E-06  6.892152193721356E-08 1167081
  33     650.00     670.00  3.115523196204278E-06  9.689602903448223E-08 1053296
  34     670.00     690.00  2.672461678887777E-06  6.073637789402976E-08 951914
  35     690.00     710.00  2.289117477523435E-06  6.310055035559629E-08 858834
  36     710.00     730.00  1.920869115232051E-06  8.627027454359335E-08 777593
  37     730.00     750.00  1.626832786934719E-06  5.329263765910667E-08 703995
  38     750.00     770.00  1.365266239053022E-06  4.422627995007985E-08 638509
  39     770.00     790.00  1.153526223984506E-06  3.732275671642644E-08 581021
  40     790.00     810.00  9.746332328736804E-07  3.419907445889260E-08 528224
  41     810.00     830.00  7.984751421185848E-07  2.543563538222319E-08 481707
  42     830.00     850.00  7.016894422571072E-07  3.070715454813200E-08 440257
  43     850.00     870.00  6.520741663770530E-07  3.521418132579889E-08 400483
  44     870.00     890.00  5.583138589802262E-07  2.353436274405536E-08 366608
  45     890.00     910.00  4.312129265410735E-07  2.062309254895912E-08 335392
  46     910.00     930.00  3.588084076822436E-07  1.606095610581022E-08 305657
  47     930.00     950.00  2.930721344859647E-07  1.293687698534028E-08 281439
  48     950.00     970.00  2.766381009967735E-07  1.403996902761503E-08 256954
  49     970.00     990.00  2.373715957624750E-07  1.503746132014891E-08 236589
  50     990.00    1010.00  1.827964823757111E-07  1.026692388709719E-08 217020
  51    1010.00    1030.00  1.694445709280323E-07  8.999277375206493E-09 199125
  52    1030.00    1050.00  1.457277980725062E-07  9.336719041174291E-09 182975
  53    1050.00    1070.00  1.211464061871763E-07  8.027797309267064E-09 168105
  54    1070.00    1090.00  1.112581159208109E-07  8.043501030658497E-09 154593
  55    1090.00    1110.00  1.106744827291037E-07  1.570908207586770E-08 142801
  56    1110.00    1130.00  8.039771543775955E-08  5.409280171690050E-09 131079
  57    1130.00    1150.00  7.130285650837980E-08  6.559447144960082E-09 119927
  58    1150.00    1170.00  5.661193643632405E-08  4.213368007052757E-09 111335
  59    1170.00    1190.00  5.346077799449853E-08  4.625217263412882E-09 102681
  60    1190.00    1210.00  3.828296366144571E-08  4.729236796535738E-09 94126
  61    1210.00    1230.00  3.396315512612641E-08  2.885419901331226E-09 87150
  62    1230.00    1250.00  3.279246485719443E-08  2.973579457605278E-09 80310
  63    1250.00    1270.00  2.500584277231059E-08  2.257362138179761E-09 74468
  64    1270.00    1290.00  2.104271354566277E-08  2.083742544712652E-09 68919
  65    1290.00    1310.00  1.828611773753980E-08  2.534288871880516E-09 63738
  66    1310.00    1330.00  1.436413983070776E-08  1.327800753401823E-09 58551
  67    1330.00    1350.00  1.105608055815694E-08  9.686041769232303E-10 54122
  68    1350.00    1370.00  1.266207890525946E-08  1.285178259995382E-09 49918
  69    1370.00    1390.00  1.169162408595729E-08  1.623467883312511E-09 46472
  70    1390.00    1410.00  8.993593897417324E-09  1.246926387370172E-09 42551
  71    1410.00    1430.00  6.438032273488212E-09  8.813980948381536E-10 39909
  72    1430.00    1450.00  6.123452884671708E-09  7.800058075475752E-10 37026
  73    1450.00    1470.00  5.671702428072941E-09  7.078912307046602E-10 33899
  74    1470.00    1490.00  5.121627901547081E-09  7.326515717056005E-10 31381
  75    1490.00    1510.00  5.186357069479327E-09  8.596722892914451E-10 29117
  76    1510.00    1530.00  2.953832817161795E-09  4.293599833780741E-10 27133
  77    1530.00    1550.00  3.663587726973652E-09  1.225564016808095E-09 24735
  78    1550.00    1570.00  3.348073983801916E-09  9.722780660704723E-10 22791
  79    1570.00    1590.00  2.081089213529659E-09  4.234662678622490E-10 21128
  80    1590.00    1610.00  1.255385071564052E-09  1.687005666789876E-10 19578
  81    1610.00    1630.00  1.500190676496410E-09  2.981743047283288E-10 18451
  82    1630.00    1650.00  7.231991385311612E-10  1.080751746682626E-10 16842
  83    1650.00    1670.00  1.353670336515850E-09  3.557605103692225E-10 15584
  84    1670.00    1690.00  9.178193094197042E-10  1.431204873870419E-10 14609
  85    1690.00    1710.00  7.893043264302469E-10  1.691567160351377E-10 13402
  86    1710.00    1730.00  5.972557554127858E-10  1.004894351702817E-10 12361
  87    1730.00    1750.00  4.531916502402231E-10  1.037404500799194E-10 11566
  88    1750.00    1770.00  4.492718134715814E-10  7.437603828307667E-11 10464
  89    1770.00    1790.00  3.544817179297411E-10  1.097501058434069E-10 9898
  90    1790.00    1810.00  4.066416480912179E-10  1.318392750962872E-10 9132
  91    1810.00    1830.00  2.362420017233969E-10  3.641146051136063E-11 8291
  92    1830.00    1850.00  2.613755608981248E-10  4.679722348662274E-11 7867
  93    1850.00    1870.00  1.359171138999587E-10  3.051941338625860E-11 7216
