# title = Transverse Momentum Jet Pair
# xlabel = $p_{\text{T},\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-05
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 1219030012
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  2.266201113314635E-04  3.887122090548265E-07 66781634
   2      20.00      40.00  6.220335317201578E-04  6.481478905805731E-07 129250210
   3      40.00      60.00  8.989124372603186E-04  7.955737452622780E-07 155154690
   4      60.00      80.00  1.055841986145924E-03  8.413614234386717E-07 168863230
   5      80.00     100.00  1.108056341341556E-03  8.895170525078458E-07 174826244
   6     100.00     120.00  1.079892418113172E-03  8.416626505072006E-07 173675101
   7     120.00     140.00  1.008717072436741E-03  8.393653817993351E-07 167674771
   8     140.00     160.00  9.164619146265136E-04  7.640672541127834E-07 158861080
   9     160.00     180.00  8.149673848721127E-04  6.901164448926843E-07 148667122
  10     180.00     200.00  7.180116132466430E-04  6.517316749783239E-07 137982056
  11     200.00     220.00  6.266900056616138E-04  5.910836875437236E-07 127428691
  12     220.00     240.00  5.442756984623384E-04  5.592656112289813E-07 117414213
  13     240.00     260.00  4.709532011179611E-04  4.874374194414688E-07 108118946
  14     260.00     280.00  4.067261292029441E-04  4.441063055074146E-07 99503807
  15     280.00     300.00  3.510235998962781E-04  4.095502509173891E-07 91628585
  16     300.00     320.00  3.024569157151761E-04  3.785591138168020E-07 84365973
  17     320.00     340.00  2.595308475511614E-04  3.359879836341842E-07 77675684
  18     340.00     360.00  2.234407103667850E-04  3.150036064769267E-07 71564588
  19     360.00     380.00  1.923820482518749E-04  2.868899616903549E-07 66064249
  20     380.00     400.00  1.661887142514907E-04  2.649998609048353E-07 61067672
  21     400.00     420.00  1.434674174656795E-04  2.430839883875006E-07 56562967
  22     420.00     440.00  1.236211013037233E-04  2.248971387308450E-07 52475806
  23     440.00     460.00  1.074731267766095E-04  2.088614264309439E-07 48768389
  24     460.00     480.00  9.314767772262523E-05  1.843038085009682E-07 45411097
  25     480.00     500.00  8.104296388745365E-05  1.725122418704551E-07 42306403
  26     500.00     520.00  7.032832707032072E-05  1.584360822456751E-07 39530525
  27     520.00     540.00  6.160696428928017E-05  1.471721709972073E-07 36958630
  28     540.00     560.00  5.364368717340792E-05  1.349935071961310E-07 34602715
  29     560.00     580.00  4.695373833212623E-05  1.259377339631308E-07 32435036
  30     580.00     600.00  4.106174466624762E-05  1.172545554547185E-07 30460610
  31     600.00     620.00  3.616762727219880E-05  1.089006543195271E-07 28635671
  32     620.00     640.00  3.162282693313462E-05  9.791587370323590E-08 26933468
  33     640.00     660.00  2.793338138903389E-05  9.510396928099578E-08 25367187
  34     660.00     680.00  2.458526693212837E-05  8.674018142322650E-08 23902172
  35     680.00     700.00  2.182234008113961E-05  8.567517777910910E-08 22572427
  36     700.00     720.00  1.929339106284760E-05  7.686556280344934E-08 21317179
  37     720.00     740.00  1.704501028852955E-05  6.764507127769083E-08 20148969
  38     740.00     760.00  1.505891722124989E-05  6.279478548628720E-08 19058142
  39     760.00     780.00  1.342950155087036E-05  5.843220574999174E-08 18042941
  40     780.00     800.00  1.187147354087156E-05  5.444484098804210E-08 17098483
  41     800.00     820.00  1.055833117036474E-05  5.168669686936586E-08 16204390
  42     820.00     840.00  9.414282884157747E-06  4.749882069074831E-08 15380112
  43     840.00     860.00  8.366235510792567E-06  4.457171161783116E-08 14600350
  44     860.00     880.00  7.464035297355781E-06  4.100470625689107E-08 13873316
  45     880.00     900.00  6.672998520012721E-06  3.866984541751705E-08 13182038
  46     900.00     920.00  6.029518550900164E-06  3.780269425643496E-08 12536668
  47     920.00     940.00  5.379846069117531E-06  3.450064850570840E-08 11931256
  48     940.00     960.00  4.858235072225574E-06  3.307293182282051E-08 11366015
  49     960.00     980.00  4.308303371112408E-06  2.972440205783476E-08 10829298
  50     980.00    1000.00  3.900322081308631E-06  2.735048265430257E-08 10323814
  51    1000.00    1020.00  3.509628286845017E-06  2.577126415665011E-08 9837246
  52    1020.00    1040.00  3.117373940607856E-06  2.440338419722875E-08 9385587
  53    1040.00    1060.00  2.851656409273735E-06  2.309976358311917E-08 8962619
  54    1060.00    1080.00  2.539715319328794E-06  2.080076332390379E-08 8555675
  55    1080.00    1100.00  2.284871386330835E-06  1.911602659629269E-08 8171492
  56    1100.00    1120.00  2.063369477362528E-06  1.893525512890380E-08 7813130
  57    1120.00    1140.00  1.884583785716467E-06  1.814252090219773E-08 7467981
  58    1140.00    1160.00  1.673248712906053E-06  1.632099926012209E-08 7138297
  59    1160.00    1180.00  1.543149955358232E-06  1.519491923196321E-08 6830532
  60    1180.00    1200.00  1.353921632098817E-06  1.349527318546004E-08 6531795
  61    1200.00    1220.00  1.269486602633568E-06  1.435313979362418E-08 6258733
  62    1220.00    1240.00  1.140857438839724E-06  1.366754212156078E-08 5991887
  63    1240.00    1260.00  1.018986797624092E-06  1.257523174557933E-08 5746168
  64    1260.00    1280.00  9.330745955019364E-07  1.120538729554934E-08 5504639
  65    1280.00    1300.00  8.336208319889102E-07  9.795454096609299E-09 5274627
  66    1300.00    1320.00  7.715606188605033E-07  1.075711905168881E-08 5062296
  67    1320.00    1340.00  6.971439728423205E-07  9.512922809999958E-09 4854599
  68    1340.00    1360.00  6.358595810401897E-07  8.614057439202111E-09 4660916
  69    1360.00    1380.00  5.756174242381808E-07  7.929320645057222E-09 4469162
  70    1380.00    1400.00  5.300693166896674E-07  8.329230628610747E-09 4291422
  71    1400.00    1420.00  4.781652042040915E-07  7.905343011842052E-09 4120265
  72    1420.00    1440.00  4.239732419250891E-07  6.154806133776870E-09 3957362
  73    1440.00    1460.00  3.993655042101393E-07  6.347534451070704E-09 3807665
  74    1460.00    1480.00  3.538944297011888E-07  5.477902583567486E-09 3660733
  75    1480.00    1500.00  3.131425135947525E-07  4.683509889732174E-09 3516053
  76    1500.00    1520.00  3.000416033177778E-07  5.236198177392451E-09 3382064
  77    1520.00    1540.00  2.703156751495665E-07  4.889182673534965E-09 3253361
  78    1540.00    1560.00  2.515651156131865E-07  4.918211080076586E-09 3124781
  79    1560.00    1580.00  2.241247438261591E-07  4.371733304679812E-09 3007710
  80    1580.00    1600.00  2.094253461130436E-07  4.810914758862776E-09 2893254
  81    1600.00    1620.00  1.910058729443554E-07  3.794455912965663E-09 2787372
  82    1620.00    1640.00  1.709338551341916E-07  3.636738140467666E-09 2684948
  83    1640.00    1660.00  1.558748321525215E-07  3.420014342166290E-09 2582803
  84    1660.00    1680.00  1.442719679386500E-07  3.107440140707287E-09 2486341
  85    1680.00    1700.00  1.328207649807580E-07  2.945017171191495E-09 2393655
  86    1700.00    1720.00  1.235015912814403E-07  2.994528486974613E-09 2309882
  87    1720.00    1740.00  1.075682051820849E-07  2.410210072634979E-09 2222316
  88    1740.00    1760.00  9.796625175010611E-08  2.168748382275041E-09 2145283
  89    1760.00    1780.00  9.024323056938153E-08  2.045246636650422E-09 2064739
  90    1780.00    1800.00  7.935556785734824E-08  1.876537762476671E-09 1992155
  91    1800.00    1820.00  7.133445599181428E-08  1.568205419214938E-09 1918851
  92    1820.00    1840.00  6.661438494146755E-08  1.650709262940788E-09 1853042
  93    1840.00    1860.00  6.465994217523575E-08  1.650003882384484E-09 1786292
  94    1860.00    1880.00  5.905547325176776E-08  1.812663270537137E-09 1723817
  95    1880.00    1900.00  5.379584037301009E-08  1.644912421249352E-09 1662566
  96    1900.00    1920.00  4.980676033579041E-08  1.542742468234179E-09 1605181
  97    1920.00    1940.00  4.542099094725063E-08  1.283473517070985E-09 1548497
  98    1940.00    1960.00  4.264878156491209E-08  1.482286491852969E-09 1491960
  99    1960.00    1980.00  3.528061295092534E-08  1.016289760732411E-09 1442120
 100    1980.00    2000.00  3.481212608196264E-08  1.151041224520257E-09 1391912
 101    2000.00    2020.00  3.129114245358039E-08  1.089769979472248E-09 1343806
 102    2020.00    2040.00  2.856230613774065E-08  9.072158152053256E-10 1296685
 103    2040.00    2060.00  2.815403582721062E-08  1.167725832155480E-09 1252721
 104    2060.00    2080.00  2.469135031432160E-08  1.079608638139371E-09 1208759
 105    2080.00    2100.00  2.225507222447771E-08  7.657224370048966E-10 1169275
 106    2100.00    2120.00  2.068378272254760E-08  6.735041764833064E-10 1128607
 107    2120.00    2140.00  2.006649832185817E-08  7.815621307099945E-10 1088594
 108    2140.00    2160.00  1.784624844744081E-08  7.232276046938201E-10 1051916
 109    2160.00    2180.00  1.572253551412712E-08  6.328611420692464E-10 1016344
 110    2180.00    2200.00  1.452967640376081E-08  5.120008753619235E-10 979672
 111    2200.00    2220.00  1.287145771487722E-08  4.809198218589625E-10 950055
 112    2220.00    2240.00  1.241191083871038E-08  5.342541405886183E-10 916064
 113    2240.00    2260.00  1.149070551921709E-08  4.354634591692130E-10 888059
 114    2260.00    2280.00  1.191501887668048E-08  6.102372835080994E-10 856363
 115    2280.00    2300.00  9.566817343790684E-09  4.080532531531549E-10 825893
 116    2300.00    2320.00  8.931760093672331E-09  4.318129104608083E-10 800133
 117    2320.00    2340.00  7.793940265475238E-09  3.593502133358309E-10 772906
 118    2340.00    2360.00  6.684684055565883E-09  2.752032391868063E-10 747436
 119    2360.00    2380.00  6.926775901736348E-09  3.322877137060817E-10 721595
 120    2380.00    2400.00  6.754051377933330E-09  4.682297504322322E-10 698418
 121    2400.00    2420.00  5.382077828149545E-09  2.882853316749551E-10 675339
 122    2420.00    2440.00  4.979805032978346E-09  2.448124476139943E-10 653281
 123    2440.00    2460.00  5.119600080333317E-09  3.063152536172681E-10 630740
 124    2460.00    2480.00  4.213258133255963E-09  2.212745054554129E-10 610581
 125    2480.00    2500.00  3.986693030465873E-09  2.090104672790895E-10 590208
 126    2500.00    2520.00  3.598924842277965E-09  1.638413490720804E-10 571311
 127    2520.00    2540.00  3.572174410328944E-09  2.878302773264423E-10 553121
 128    2540.00    2560.00  3.037497143249997E-09  1.743887591014216E-10 532720
 129    2560.00    2580.00  2.705092650777512E-09  1.599020616277374E-10 515635
 130    2580.00    2600.00  2.437275677515161E-09  1.372373189065084E-10 498207
 131    2600.00    2620.00  2.283030965587238E-09  1.179476727615836E-10 483822
 132    2620.00    2640.00  2.052831976136785E-09  1.244340364279664E-10 465864
 133    2640.00    2660.00  1.930257368499692E-09  1.241815463257953E-10 452280
 134    2660.00    2680.00  1.770822652622279E-09  1.039543593949567E-10 436733
 135    2680.00    2700.00  1.973327950287991E-09  1.762226758239319E-10 422377
 136    2700.00    2720.00  1.539070720823828E-09  1.171300392080234E-10 408584
 137    2720.00    2740.00  1.421911839498310E-09  9.615766498792445E-11 394747
 138    2740.00    2760.00  1.378685659155032E-09  9.338440364432066E-11 382979
 139    2760.00    2780.00  1.187376501311037E-09  6.625312418592790E-11 371232
 140    2780.00    2800.00  1.192340072160539E-09  1.577307950567087E-10 358310
 141    2800.00    2820.00  8.776675539572821E-10  5.770479949962865E-11 346599
 142    2820.00    2840.00  7.534212534060507E-10  4.261022011972811E-11 335870
 143    2840.00    2860.00  8.524085479313190E-10  8.328898082622965E-11 324654
 144    2860.00    2880.00  7.554045768640742E-10  5.234981034379427E-11 313991
 145    2880.00    2900.00  6.807902663691941E-10  4.543842249001126E-11 303897
 146    2900.00    2920.00  8.573234011226051E-10  1.074161096871733E-10 293423
 147    2920.00    2940.00  5.102452096983250E-10  3.639924216969303E-11 283484
 148    2940.00    2960.00  5.473905268107181E-10  4.892097512911170E-11 274232
 149    2960.00    2980.00  5.604187392424702E-10  6.190005319778744E-11 265189
 150    2980.00    3000.00  4.231508039056657E-10  2.910118134243590E-11 256715
 151    3000.00    3020.00  4.070490787440753E-10  2.919985266814164E-11 247469
 152    3020.00    3040.00  3.667774627218652E-10  2.985126904260637E-11 241279
 153    3040.00    3060.00  3.746145292075830E-10  7.065167056591682E-11 232124
 154    3060.00    3080.00  3.154369936294885E-10  2.529214613604291E-11 224388
 155    3080.00    3100.00  2.924061837357032E-10  3.001128533574493E-11 218335
 156    3100.00    3120.00  2.657507411187844E-10  2.406112457759370E-11 211234
 157    3120.00    3140.00  2.093192342575368E-10  1.446133878214509E-11 203204
 158    3140.00    3160.00  2.069193032787084E-10  1.771784818194345E-11 197355
 159    3160.00    3180.00  2.030298717995780E-10  2.388547102511344E-11 191383
 160    3180.00    3200.00  1.913834282972554E-10  2.470748223278004E-11 183997
 161    3200.00    3220.00  2.084137775246898E-10  3.497045568912310E-11 177915
 162    3220.00    3240.00  1.437697356260418E-10  1.388798348900453E-11 172163
 163    3240.00    3260.00  1.293435346624213E-10  1.432691261204112E-11 165974
 164    3260.00    3280.00  1.381944630469941E-10  1.442905282758700E-11 161333
 165    3280.00    3300.00  1.094554620911206E-10  8.182412089054151E-12 155726
 166    3300.00    3320.00  9.189319449424734E-11  7.366268639413582E-12 151481
 167    3320.00    3340.00  1.155581391787199E-10  1.399713194751856E-11 145202
 168    3340.00    3360.00  9.478332034707997E-11  9.675737528516346E-12 140570
 169    3360.00    3380.00  9.199906667469604E-11  1.739674508574638E-11 135684
 170    3380.00    3400.00  8.309520319933250E-11  1.347834789507552E-11 131660
 171    3400.00    3420.00  6.086046452261037E-11  7.046594150124032E-12 127177
 172    3420.00    3440.00  5.302300238931883E-11  6.557576456781081E-12 123295
 173    3440.00    3460.00  7.308005018374358E-11  1.001987806040447E-11 118692
 174    3460.00    3480.00  5.125466739919169E-11  9.138713286581845E-12 115281
 175    3480.00    3500.00  5.321658838910655E-11  5.755757062732078E-12 110895
 176    3500.00    3520.00  3.811751770754278E-11  4.498732171435674E-12 106714
 177    3520.00    3540.00  3.619708748159666E-11  4.231916580568531E-12 103412
 178    3540.00    3560.00  2.972013098155608E-11  3.853700500183057E-12 100270
 179    3560.00    3580.00  3.016681523233209E-11  3.656461294712854E-12 96575
 180    3580.00    3600.00  4.193117851970704E-11  1.337969140204468E-11 93369
 181    3600.00    3620.00  2.196082229133652E-11  2.410191376822226E-12 90003
 182    3620.00    3640.00  1.990776234469954E-11  1.956538495636709E-12 87611
 183    3640.00    3660.00  2.628883520041751E-11  4.158285298072154E-12 84395
 184    3660.00    3680.00  1.911974023445745E-11  2.985307086887151E-12 81568
 185    3680.00    3700.00  1.830060688610157E-11  2.311855023277654E-12 78586
 186    3700.00    3720.00  1.339631353319736E-11  1.470579905537645E-12 75589
 187    3720.00    3740.00  1.523801927381041E-11  2.603790070714014E-12 73557
 188    3740.00    3760.00  1.375838909411975E-11  2.249057281075917E-12 70811
 189    3760.00    3780.00  1.040404702921202E-11  1.218346811521582E-12 68328
 190    3780.00    3800.00  1.228586856697788E-11  1.638896650796339E-12 65901
 191    3800.00    3820.00  8.557485573622530E-12  1.379973734355773E-12 63438
 192    3820.00    3840.00  7.377890358833769E-12  1.105342701291547E-12 61681
 193    3840.00    3860.00  6.969697128177075E-12  8.802863064421427E-13 59397
 194    3860.00    3880.00  5.207855308796224E-12  7.270923732408378E-13 57655
 195    3880.00    3900.00  8.117639915883722E-12  1.489616281657360E-12 55284
 196    3900.00    3920.00  7.190602761270864E-12  1.283307851813024E-12 53235
 197    3920.00    3940.00  8.002719306856276E-12  1.668962174382302E-12 51350
 198    3940.00    3960.00  4.170477201783675E-12  7.587415913485740E-13 49645
 199    3960.00    3980.00  5.894009565554647E-12  1.513495861137668E-12 47883
 200    3980.00    4000.00  4.074588556425866E-12  1.073063918775245E-12 46058
 201    4000.00    4020.00  4.708402569110953E-12  1.135913743722956E-12 44297
 202    4020.00    4040.00  2.871250348520788E-12  7.839156458918686E-13 42780
 203    4040.00    4060.00  2.494754847849678E-12  5.216892292941480E-13 41778
 204    4060.00    4080.00  2.887594058573224E-12  4.106814455099836E-13 39760
 205    4080.00    4100.00  1.958699662501523E-12  3.230862813799026E-13 38330
 206    4100.00    4120.00  1.620101015524667E-12  2.313034899888111E-13 36706
 207    4120.00    4140.00  2.384553064327638E-12  5.110213556943609E-13 35992
 208    4140.00    4160.00  1.945113876053582E-12  7.038500982622253E-13 34227
 209    4160.00    4180.00  2.239597945520054E-12  6.227366225620578E-13 32968
 210    4180.00    4200.00  1.031465302085770E-12  1.604501795733674E-13 31777
 211    4200.00    4220.00  1.378386682298070E-12  2.613148867268864E-13 30812
 212    4220.00    4240.00  7.657008110279555E-13  1.211418154917110E-13 29323
 213    4240.00    4260.00  1.045762561803371E-12  1.613253036369442E-13 28251
 214    4260.00    4280.00  1.088268332572762E-12  2.638824099544356E-13 27148
 215    4280.00    4300.00  5.895293672356625E-13  1.126874809773932E-13 26022
 216    4300.00    4320.00  5.015654714004348E-13  9.113739393124806E-14 25551
 217    4320.00    4340.00  5.370383436535172E-13  9.151354301849481E-14 24032
 218    4340.00    4360.00  4.489163613688856E-13  7.457118061564271E-14 23129
 219    4360.00    4380.00  4.057057102695557E-13  7.866774578158554E-14 22487
 220    4380.00    4400.00  3.270388217032548E-13  5.144700492829448E-14 21297
 221    4400.00    4420.00  2.639371653252431E-13  2.730306906923615E-14 20429
