# title = Transverse Momentum of W-Z system
# xlabel = $p_{\text{T},\text{WZ}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{WZ}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 1019943521
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      10.00      30.00  6.398114781080902E-07  1.483644110920260E-09 3497420
   2      30.00      50.00  1.114621529042646E-06  1.841037329714562E-09 4552338
   3      50.00      70.00  1.399212488778308E-06  2.064206234910661E-09 4860984
   4      70.00      90.00  1.488239753423387E-06  2.127914442177337E-09 4885658
   5      90.00     110.00  1.448840854497987E-06  2.065844211813127E-09 4744881
   6     110.00     130.00  1.331212594703359E-06  1.950969640155959E-09 4507601
   7     130.00     150.00  1.173909955054869E-06  1.738549034410942E-09 4214711
   8     150.00     170.00  1.006344439965466E-06  1.528831542381606E-09 3905504
   9     170.00     190.00  8.541441663386687E-07  1.382608899007020E-09 3597255
  10     190.00     210.00  7.170493923387323E-07  1.227370536772936E-09 3298441
  11     210.00     230.00  5.969234305770199E-07  1.099174049058765E-09 3016690
  12     230.00     250.00  4.923339627657121E-07  9.503842468723859E-10 2757954
  13     250.00     270.00  4.059506833459993E-07  8.378228265677482E-10 2522791
  14     270.00     290.00  3.322797892037975E-07  7.325638672894036E-10 2304956
  15     290.00     310.00  2.700435483117785E-07  6.295266131084058E-10 2106791
  16     310.00     330.00  2.204906508268017E-07  5.477400588748533E-10 1928648
  17     330.00     350.00  1.793711574422678E-07  4.800156127302489E-10 1761628
  18     350.00     370.00  1.457867862258671E-07  4.219776857356885E-10 1616602
  19     370.00     390.00  1.179401596966337E-07  3.609095856089915E-10 1481669
  20     390.00     410.00  9.667008466169227E-08  3.199527626398575E-10 1367157
  21     410.00     430.00  7.856877603736634E-08  2.750478388652527E-10 1257364
  22     430.00     450.00  6.441348127557913E-08  2.406209841064792E-10 1160518
  23     450.00     470.00  5.280614896805940E-08  2.141182580778633E-10 1073079
  24     470.00     490.00  4.338505414540715E-08  1.842932174427484E-10 994832
  25     490.00     510.00  3.578998336936455E-08  1.623013744447664E-10 923772
  26     510.00     530.00  2.962068645451137E-08  1.438545718051238E-10 857838
  27     530.00     550.00  2.442325824307596E-08  1.243065295261621E-10 797402
  28     550.00     570.00  2.036484302150782E-08  1.086958558441089E-10 745573
