# title = Cosine of Angle between two jets
# xlabel = $\cos\theta_{\text{j}_1\text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\cos\theta_{\text{j}_1\text{j}_2}}\,[\text{fb}]$
# xmin= -1.000E+00
# xmax=  1.000E+00
# ymin=  1.000E-04
# ymax=  2.000E+00
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1219030012
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -1.00      -0.90  1.946414003885871E+00  6.145475187950944E-04 1532006243
   2      -0.90      -0.80  4.315489129338562E-01  2.009881649811192E-04 497789059
   3      -0.80      -0.70  2.206570777675266E-01  1.282659907877439E-04 301066161
   4      -0.70      -0.60  1.364783617322627E-01  9.771296541845787E-05 209797880
   5      -0.60      -0.50  9.264766504161380E-02  7.435566619593085E-05 156460214
   6      -0.50      -0.40  6.615404124482259E-02  6.643008481479330E-05 119805608
   7      -0.40      -0.30  4.890203553826691E-02  5.205896325205224E-05 94142075
   8      -0.30      -0.20  3.772374062468276E-02  4.553599186279782E-05 77778746
   9      -0.20      -0.10  2.981239406092569E-02  4.048321924641337E-05 66091733
  10      -0.10       0.00  2.386680872212693E-02  3.571240421996143E-05 57245679
  11       0.00       0.10  1.923285012630490E-02  2.914355140148317E-05 50270376
  12       0.10       0.20  1.553213599131562E-02  2.532354628622763E-05 44613485
  13       0.20       0.30  1.249629723339113E-02  2.169108510756209E-05 39872149
  14       0.30       0.40  9.950196053908655E-03  1.964618937527283E-05 35759057
  15       0.40       0.50  7.677555149996925E-03  1.607369848776197E-05 32061218
  16       0.50       0.60  5.705767277148215E-03  1.300501894855876E-05 28557424
  17       0.60       0.70  3.914061922051209E-03  9.527598194554711E-06 24965618
  18       0.70       0.80  2.270961356134425E-03  7.138237714014792E-06 20753998
  19       0.80       0.90  8.549677623401424E-04  3.047796114134466E-06 14544743
  20       0.90       1.00  6.463516421789631E-05  5.686239848563807E-07 3326534
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       2.2247354088247430E-03  1.1821216872251402E-06 71479000
#=====================================================================================
