# title = Cosine of Angle between Muon and anti-Muon
# xlabel = $\cos\theta_{\text{e}^+\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\cos\theta_{\text{e}^+\mu^-}}\,[\text{fb}]$
# xmin= -1.000E+00
# xmax=  1.000E+00
# ymin=  1.000E-04
# ymax=  2.000E+00
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1019943521
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -1.00      -0.90  6.097690424474822E-05  1.609592811888839E-07 1524895
   2      -0.90      -0.80  6.480848739838490E-05  1.557567958033328E-07 1416248
   3      -0.80      -0.70  6.940983485859211E-05  1.624453032787237E-07 1414852
   4      -0.70      -0.60  7.483732829256510E-05  1.705903761982564E-07 1453022
   5      -0.60      -0.50  8.059505769891505E-05  1.940565086556947E-07 1523850
   6      -0.50      -0.40  8.696838909694281E-05  1.911417492634219E-07 1610813
   7      -0.40      -0.30  9.525827950813413E-05  2.083022663808045E-07 1723006
   8      -0.30      -0.20  1.034109911216971E-04  2.236802658680393E-07 1850455
   9      -0.20      -0.10  1.132147794815254E-04  2.309366964100006E-07 2001354
  10      -0.10       0.00  1.246063352176146E-04  2.537182248856754E-07 2184420
  11       0.00       0.10  1.378579856738633E-04  2.770965210215468E-07 2402245
  12       0.10       0.20  1.532564955618950E-04  3.014689034203276E-07 2664909
  13       0.20       0.30  1.697127836619001E-04  3.060003594326622E-07 2989774
  14       0.30       0.40  1.908842165869136E-04  3.371525058788738E-07 3400819
  15       0.40       0.50  2.156016192253997E-04  3.547846360035815E-07 3946772
  16       0.50       0.60  2.464506552018045E-04  3.906888761485325E-07 4703144
  17       0.60       0.70  2.840367771978572E-04  4.068392428723477E-07 5807708
  18       0.70       0.80  3.315869804165774E-04  4.360994764297976E-07 7627566
  19       0.80       0.90  3.874099198864135E-04  4.888823493978862E-07 11218805
  20       0.90       1.00  2.936339485588173E-04  3.703186939796868E-07 23014343
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       3.2845177688905613E-04  1.3327808783667575E-07 84479000
#=====================================================================================
