# title = Distance muon Pair
# xlabel = $\Delta R_{\mu^+\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta R_{\mu^+\mu^-}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  6.000E+00
# ymin=  1.000E-04
# ymax=  1.000E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1219030012
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.10       0.30  1.039904394926112E-02  1.691540484527709E-05 246141614
   2       0.30       0.50  5.553498130966979E-02  5.335887527783698E-05 334901524
   3       0.50       0.70  1.030180942803694E-01  8.240797805767268E-05 333628728
   4       0.70       0.90  1.322422927626199E-01  1.003567728986595E-04 312140252
   5       0.90       1.10  1.444023050680135E-01  1.115424556939541E-04 284494448
   6       1.10       1.30  1.444530973931314E-01  1.081366548089494E-04 255209237
   7       1.30       1.50  1.376906747209771E-01  1.101596982468201E-04 226786331
   8       1.50       1.70  1.271927373151135E-01  1.028549829307229E-04 200853713
   9       1.70       1.90  1.158589613425069E-01  9.451590097496438E-05 178638249
  10       1.90       2.10  1.055937636616812E-01  8.829453168417267E-05 160827131
  11       2.10       2.30  9.653714821007636E-02  8.590630719566985E-05 147818752
  12       2.30       2.50  8.927018707411832E-02  8.003584313244563E-05 139742371
  13       2.50       2.70  8.347355577906077E-02  7.497900687311138E-05 136872522
  14       2.70       2.90  7.951151419789079E-02  7.397982671620257E-05 139690006
  15       2.90       3.10  7.685819370636800E-02  7.014599501215089E-05 149503872
  16       3.10       3.30  4.153869904866339E-02  4.932498493612577E-05 96446135
  17       3.30       3.50  9.133467078089682E-03  2.235748941116927E-05 30122503
  18       3.50       3.70  2.464358661872337E-03  8.472662923263196E-06 11389716
  19       3.70       3.90  6.284671584165628E-04  3.664567915286914E-06 4002850
  20       3.90       4.10  1.243116529247996E-04  1.700408237512011E-06 1104122
  21       4.10       4.30  1.106815712601407E-05  3.433331232942948E-07 145898
  22       4.30       4.50  9.564356210710172E-08  1.461704280322884E-08 1963
  23       4.50       4.70  0.000000000000000E+00  0.000000000000000E+00 0
  24       4.70       4.90  0.000000000000000E+00  0.000000000000000E+00 0
  25       4.90       5.10  0.000000000000000E+00  0.000000000000000E+00 0
  26       5.10       5.30  0.000000000000000E+00  0.000000000000000E+00 0
  27       5.30       5.50  0.000000000000000E+00  0.000000000000000E+00 0
  28       5.50       5.70  0.000000000000000E+00  0.000000000000000E+00 0
  29       5.70       5.90  0.000000000000000E+00  0.000000000000000E+00 0
  30       5.90       6.10  0.000000000000000E+00  0.000000000000000E+00 0
# Underflow:                 6.2159650523627782E-09  1.0649043863444454E-10 351903
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       2.2247354088268095E-03  1.1825875870206414E-06 71479000
#=====================================================================================
