# title = Invariant Mass Jet Pair
# xlabel = $M_{\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  4.000E+02
# xmax=  2.000E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1219030012
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      20.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      60.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     100.00     140.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     140.00     180.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     180.00     220.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     220.00     260.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     260.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
   8     300.00     340.00  0.000000000000000E+00  0.000000000000000E+00 0
   9     340.00     380.00  0.000000000000000E+00  0.000000000000000E+00 0
  10     380.00     420.00  0.000000000000000E+00  0.000000000000000E+00 0
  11     420.00     460.00  0.000000000000000E+00  0.000000000000000E+00 0
  12     460.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0
  13     500.00     540.00  1.777283132821920E-04  1.308840656415280E-07 103979982
  14     540.00     580.00  1.858406807977160E-04  1.386271533757450E-07 101653832
  15     580.00     620.00  1.918055945373151E-04  1.463157712273077E-07 98969982
  16     620.00     660.00  1.958694375358418E-04  1.578995951566503E-07 96043588
  17     660.00     700.00  1.983464938217109E-04  1.618552884958141E-07 93014317
  18     700.00     740.00  1.992459283106275E-04  1.723389219960346E-07 89916627
  19     740.00     780.00  1.990231803433557E-04  1.735774234390662E-07 86807341
  20     780.00     820.00  1.989212174069731E-04  1.843727987506474E-07 83784362
  21     820.00     860.00  1.968786496356562E-04  1.850800935664073E-07 80792503
  22     860.00     900.00  1.947794445735184E-04  1.925283860392436E-07 77859288
  23     900.00     940.00  1.915412587910044E-04  1.950583444553816E-07 75029866
  24     940.00     980.00  1.887782641042323E-04  2.023982241510981E-07 72292026
  25     980.00    1020.00  1.847083128012803E-04  2.042146627432050E-07 69651491
  26    1020.00    1060.00  1.810023514769749E-04  2.098806391422942E-07 67134936
  27    1060.00    1100.00  1.768264174302057E-04  2.091177202852645E-07 64685699
  28    1100.00    1140.00  1.725493047772219E-04  2.136280196910613E-07 62352357
