# title = Rapidity Harder Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1019943521
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  1.099499567064303E-06  5.301759087290424E-09 506652
   2      -4.25      -4.00  2.159821296681912E-06  9.489428524081010E-09 776825
   3      -4.00      -3.75  3.986985692045790E-06  1.517096650212257E-08 1106161
   4      -3.75      -3.50  7.073489490028060E-06  2.423382770285208E-08 1482942
   5      -3.50      -3.25  1.216960511684087E-05  3.687147048180312E-08 1879407
   6      -3.25      -3.00  2.033526345149531E-05  5.449699930818006E-08 2270213
   7      -3.00      -2.75  3.164045312226326E-05  7.491022316136172E-08 2614222
   8      -2.75      -2.50  4.485240213918595E-05  9.883404082757050E-08 2898852
   9      -2.50      -2.25  5.825038013516588E-05  1.169410676386362E-07 3086751
  10      -2.25      -2.00  6.844724285581222E-05  1.314578840912490E-07 3189353
  11      -2.00      -1.75  7.380241481033377E-05  1.400170673351581E-07 3188598
  12      -1.75      -1.50  7.362751025887718E-05  1.459172898676288E-07 3098240
  13      -1.50      -1.25  6.743424176502193E-05  1.407646441630236E-07 2933619
  14      -1.25      -1.00  5.707506623997767E-05  1.213343012696627E-07 2719031
  15      -1.00      -0.75  4.492960661336464E-05  1.052144866936435E-07 2486593
  16      -0.75      -0.50  3.314015969665141E-05  8.497151807898304E-08 2285410
  17      -0.50      -0.25  2.419185250253254E-05  6.673787645274672E-08 2135954
  18      -0.25       0.00  1.948992156383873E-05  5.178789094870016E-08 2061212
  19       0.00       0.25  2.026529712611684E-05  4.853388254105682E-08 2080304
  20       0.25       0.50  2.631980824851835E-05  5.806021430115918E-08 2189600
  21       0.50       0.75  3.655755842673484E-05  7.631252275866405E-08 2381785
  22       0.75       1.00  4.893522800791510E-05  9.436270949191383E-08 2639656
  23       1.00       1.25  6.089165800685638E-05  1.074633047954254E-07 2929964
  24       1.25       1.50  7.050924443707777E-05  1.241552338410361E-07 3204308
  25       1.50       1.75  7.559930411009021E-05  1.302814706193740E-07 3424302
  26       1.75       2.00  7.453749125456851E-05  1.280005017660453E-07 3554160
  27       2.00       2.25  6.854776040160230E-05  1.249869722198919E-07 3574832
  28       2.25       2.50  5.812583965487809E-05  1.148481946063972E-07 3468081
  29       2.50       2.75  4.541338966324286E-05  9.635351564637573E-08 3233629
  30       2.75       3.00  3.263453381208771E-05  8.054830795213629E-08 2895989
  31       3.00       3.25  2.163312961952013E-05  5.855165033264876E-08 2463865
  32       3.25       3.50  1.354604760107100E-05  4.154333018060293E-08 1989541
  33       3.50       3.75  7.998201953683577E-06  2.775204358906407E-08 1513096
  34       3.75       4.00  4.643970060351359E-06  1.778050485322273E-08 1074940
  35       4.00       4.25  2.564396358884775E-06  1.119251603230356E-08 709085
  36       4.25       4.50  1.378332495837345E-06  8.204187139272949E-09 431828
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       3.2845177688905466E-04  1.3328828728645845E-07 84479000
#=====================================================================================
