# title = Rapidity Jet pair
# xlabel = $y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1019943521
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0
   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0
   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0
   6      -3.25      -3.00  6.202534271962276E-10  5.452090038160471E-11 1096
   7      -3.00      -2.75  4.615428151425417E-08  7.931868973924114E-10 20934
   8      -2.75      -2.50  3.821604520121549E-07  2.661594019300445E-09 101842
   9      -2.50      -2.25  1.183643212673096E-06  4.822300497935476E-09 306168
  10      -2.25      -2.00  2.396805575673007E-06  6.865571127615533E-09 715303
  11      -2.00      -1.75  4.777147554601921E-06  1.150002530501801E-08 1370374
  12      -1.75      -1.50  1.118391405800541E-05  2.509489092369722E-08 2261007
  13      -1.50      -1.25  2.578118362980446E-05  5.041577004658213E-08 3325811
  14      -1.25      -1.00  5.183886407559898E-05  8.562564159943269E-08 4493477
  15      -1.00      -0.75  8.863836762795468E-05  1.259201531221977E-07 5690771
  16      -0.75      -0.50  1.303512738892602E-04  1.679462324508046E-07 6873325
  17      -0.50      -0.25  1.669692423215237E-04  2.027436851411173E-07 7939477
  18      -0.25       0.00  1.874388005496270E-04  2.119544886810863E-07 8738501
  19       0.00       0.25  1.841763753685537E-04  2.136778957343341E-07 8801575
  20       0.25       0.50  1.580025116363799E-04  1.985239473538060E-07 8075669
  21       0.50       0.75  1.199122149489299E-04  1.682294456882531E-07 7025566
  22       0.75       1.00  8.142515759194378E-05  1.257910393177712E-07 5837811
  23       1.00       1.25  4.914034964391287E-05  9.108743424824339E-08 4608971
  24       1.25       1.50  2.677182516769600E-05  6.480001400386693E-08 3407594
  25       1.50       1.75  1.294985604945898E-05  3.400646887078792E-08 2310070
  26       1.75       2.00  5.816300692074460E-06  1.812341856911830E-08 1398572
  27       2.00       2.25  2.630403729266043E-06  9.867128424651252E-09 729594
  28       2.25       2.50  1.323356276955362E-06  6.831707787552518E-09 315964
  29       2.50       2.75  5.469125439780491E-07  4.529694928463385E-09 105873
  30       2.75       3.00  1.203649641704909E-07  2.394616916075440E-09 22594
  31       3.00       3.25  3.301461294201202E-09  3.061275264724888E-10 1061
  32       3.25       3.50  0.000000000000000E+00  0.000000000000000E+00 0
  33       3.50       3.75  0.000000000000000E+00  0.000000000000000E+00 0
  34       3.75       4.00  0.000000000000000E+00  0.000000000000000E+00 0
  35       4.00       4.25  0.000000000000000E+00  0.000000000000000E+00 0
  36       4.25       4.50  0.000000000000000E+00  0.000000000000000E+00 0
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       3.2845177688907239E-04  1.3326451900859058E-07 84479000
#=====================================================================================
