# title = Transverse Momentum Softer Jet
# xlabel = $p_{\text{T},\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      10.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      30.00      50.00  2.340021549773195E-03  2.788813655810007E-06 146814849
   3      50.00      70.00  2.520519330978667E-03  2.877472401168960E-06 140118322
   4      70.00      90.00  2.323140382829979E-03  2.860519600949726E-06 118885829
   5      90.00     110.00  1.945644540504161E-03  2.790057391831097E-06 96175361
   6     110.00     130.00  1.540028430967554E-03  2.611189420824342E-06 75105236
   7     130.00     150.00  1.177071627176974E-03  2.218203508364694E-06 57304570
   8     150.00     170.00  8.872594357581144E-04  1.978838723175758E-06 43990460
   9     170.00     190.00  6.680609835706214E-04  1.663288169126728E-06 34397604
  10     190.00     210.00  5.044744738360234E-04  1.402069487338221E-06 27367293
  11     210.00     230.00  3.838915819449562E-04  1.160071414796069E-06 22081466
  12     230.00     250.00  2.995569655916971E-04  1.150275593804303E-06 18058074
  13     250.00     270.00  2.322952680538508E-04  1.067514834029587E-06 14919708
  14     270.00     290.00  1.807769644240794E-04  8.919840999698453E-07 12452335
  15     290.00     310.00  1.426742783982053E-04  7.964817218640407E-07 10485687
  16     310.00     330.00  1.132307384491450E-04  6.867236598236348E-07 8895305
  17     330.00     350.00  9.072666416568978E-05  5.680592565293606E-07 7595751
  18     350.00     370.00  7.275983843070968E-05  5.272705180458142E-07 6525160
  19     370.00     390.00  5.889785403265874E-05  4.607451510064667E-07 5637050
  20     390.00     410.00  4.795217204275164E-05  5.650225085121396E-07 4890821
  21     410.00     430.00  3.919068223353634E-05  3.569838782236192E-07 4267796
  22     430.00     450.00  3.159841196840358E-05  3.027729683961660E-07 3737597
  23     450.00     470.00  2.599502278662319E-05  2.641122422356316E-07 3284603
  24     470.00     490.00  2.141128914530655E-05  3.118208041627916E-07 2899335
  25     490.00     510.00  1.797464087742354E-05  2.564343050034831E-07 2564819
  26     510.00     530.00  1.492330150341405E-05  2.003818060260240E-07 2271934
  27     530.00     550.00  1.261095997862237E-05  2.137125122181820E-07 2023634
  28     550.00     570.00  1.054601511411726E-05  2.115061281261836E-07 1805070
  29     570.00     590.00  8.744981197427789E-06  2.507697312161466E-07 1614988
  30     590.00     610.00  7.415477633747599E-06  1.320663287927500E-07 1446673
  31     610.00     630.00  6.159821663229619E-06  1.383777585249802E-07 1298491
  32     630.00     650.00  5.010274386175771E-06  9.443218059087917E-08 1166675
