# title = Transverse Momentum Jet Pair
# xlabel = $p_{\text{T},\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-05
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1019943521
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  3.634039095681374E-07  1.098311597074025E-09 2271143
   2      20.00      40.00  9.844265614496686E-07  1.876731603683192E-09 4170057
   3      40.00      60.00  1.403256434605487E-06  2.146517349105920E-09 4758128
   4      60.00      80.00  1.612358125819066E-06  2.280442841085267E-09 4900305
   5      80.00     100.00  1.637715153593006E-06  2.357746513191543E-09 4831378
   6     100.00     120.00  1.547916181842460E-06  2.210251489478452E-09 4635169
   7     120.00     140.00  1.399631981388579E-06  2.006828114265240E-09 4364650
   8     140.00     160.00  1.224228079281684E-06  1.804088103569687E-09 4060079
   9     160.00     180.00  1.048366699455085E-06  1.615372960589085E-09 3749178
  10     180.00     200.00  8.899670890387765E-07  1.453889681784219E-09 3447095
  11     200.00     220.00  7.472582638255295E-07  1.292298943674137E-09 3156675
  12     220.00     240.00  6.248179205401141E-07  1.167864209046072E-09 2883190
  13     240.00     260.00  5.162000808786271E-07  9.963734615340888E-10 2639360
  14     260.00     280.00  4.280534153462331E-07  8.944079580785812E-10 2411312
  15     280.00     300.00  3.499593891525755E-07  7.769697250638341E-10 2199696
  16     300.00     320.00  2.892700157292657E-07  6.760530323023654E-10 2019224
  17     320.00     340.00  2.357060170804101E-07  5.890662349037546E-10 1842919
  18     340.00     360.00  1.932327319442522E-07  5.211723204155642E-10 1685819
  19     360.00     380.00  1.575062788185276E-07  4.582330191752403E-10 1546715
  20     380.00     400.00  1.299254733291923E-07  3.999058872909106E-10 1424568
  21     400.00     420.00  1.063663627589893E-07  3.523376236685856E-10 1310188
  22     420.00     440.00  8.709629548286063E-08  3.042629533355861E-10 1207046
  23     440.00     460.00  7.231676838078495E-08  2.725341144221954E-10 1115257
  24     460.00     480.00  5.953370678131919E-08  2.389509464878491E-10 1033991
  25     480.00     500.00  4.938603783953255E-08  2.077818015687938E-10 958526
  26     500.00     520.00  4.110093205800364E-08  1.883855634078397E-10 888996
  27     520.00     540.00  3.399139309517189E-08  1.584192164931793E-10 827694
  28     540.00     560.00  2.850366531541423E-08  1.462678966799821E-10 770557
  29     560.00     580.00  2.381519797099681E-08  1.235862831680068E-10 720872
  30     580.00     600.00  1.999449707431281E-08  1.104661320657198E-10 671885
  31     600.00     620.00  1.690185249170411E-08  9.891139652178880E-11 628106
  32     620.00     640.00  1.416356566858569E-08  8.596805042065325E-11 585808
  33     640.00     660.00  1.202348408640346E-08  7.680303146982465E-11 549687
  34     660.00     680.00  1.015044354321848E-08  6.606958500303119E-11 517362
  35     680.00     700.00  8.745130708578196E-09  6.151066275661379E-11 484435
  36     700.00     720.00  7.406570813651084E-09  5.365572822320701E-11 456561
