# title = Transverse Momentum of W-Z system
# xlabel = $p_{\text{T},\text{WZ}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{WZ}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1019943521
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      10.00      30.00  6.982509092832256E-07  1.605082937581707E-09 3497420
   2      30.00      50.00  1.218946621647931E-06  2.000848708553081E-09 4552338
   3      50.00      70.00  1.534717088315174E-06  2.244482547209158E-09 4860984
   4      70.00      90.00  1.639784981507731E-06  2.327838964008982E-09 4885658
   5      90.00     110.00  1.604108245859549E-06  2.270163679350865E-09 4744881
   6     110.00     130.00  1.481214982726528E-06  2.145686615625776E-09 4507601
   7     130.00     150.00  1.313626967202066E-06  1.913293778994066E-09 4214711
   8     150.00     170.00  1.132865662035662E-06  1.691778848557115E-09 3905504
   9     170.00     190.00  9.672278125802001E-07  1.535988354390058E-09 3597255
  10     190.00     210.00  8.167391373344495E-07  1.369377244532759E-09 3298441
  11     210.00     230.00  6.841571183101226E-07  1.237101892988157E-09 3016690
  12     230.00     250.00  5.677688702894471E-07  1.074625476743312E-09 2757954
  13     250.00     270.00  4.710696328245334E-07  9.490894755578414E-10 2522791
  14     270.00     290.00  3.879966069144762E-07  8.350338000222995E-10 2304956
  15     290.00     310.00  3.173886650174341E-07  7.207212647281898E-10 2106791
  16     310.00     330.00  2.609495758415421E-07  6.308087580969240E-10 1928648
  17     330.00     350.00  2.136152256067348E-07  5.549639033256944E-10 1761628
  18     350.00     370.00  1.749021171942746E-07  4.923472216004682E-10 1616602
  19     370.00     390.00  1.424646061790422E-07  4.222717894178143E-10 1481669
  20     390.00     410.00  1.175892965628513E-07  3.763947918435840E-10 1367157
  21     410.00     430.00  9.621267692338751E-08  3.258127867734964E-10 1257364
  22     430.00     450.00  7.940148552773106E-08  2.866631964012609E-10 1160518
  23     450.00     470.00  6.550920564686085E-08  2.565519837664492E-10 1073079
