# title = Azimuthal Angle between Muon and anti-Muon
# xlabel = $\phi_{\mu^+\mu^-}\,$[$^{\circ}$]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\phi_{\mu^+\mu^-}}\,\left[\frac{\text{fb}}{\text{$^{\circ}$}}\right]$
# xmin=  0.000E+00
# xmax=  3.142E+00
# ymin=  1.000E-01
# ymax=  2.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1919548716
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       0.08  4.573312149377440E-02  4.285385170089602E-05 200841834	   1       0.00       0.08  4.148618917731828E-02  3.856631489405560E-05 200841834	   1       0.00       0.08  5.088407501988747E-02  4.819911483915489E-05 200841834
   2       0.08       0.16  4.709116800209322E-02  4.455879641508276E-05 212941223	   2       0.08       0.16  4.268807147107995E-02  4.001075756625602E-05 212941223	   2       0.08       0.16  5.243954223887937E-02  5.025185885012760E-05 212941223
   3       0.16       0.24  5.020811663212252E-02  4.511395626772996E-05 203538492	   3       0.16       0.24  4.546608259553141E-02  4.056370486371762E-05 203538492	   3       0.16       0.24  5.597786645921496E-02  5.079441420449219E-05 203538492
   4       0.24       0.31  5.418672915719545E-02  4.662284981530136E-05 187215588	   4       0.24       0.31  4.906532461099784E-02  4.190727682096821E-05 187215588	   4       0.24       0.31  6.041452019702698E-02  5.250658920147568E-05 187215588
   5       0.31       0.39  5.806281075986822E-02  4.937025996421183E-05 170630746	   5       0.31       0.39  5.263046701289227E-02  4.434945935886195E-05 170630746	   5       0.31       0.39  6.465208469977578E-02  5.564208854357850E-05 170630746
   6       0.39       0.47  6.139085438669812E-02  5.293551836159146E-05 155657228	   6       0.39       0.47  5.573953061007016E-02  4.754499568005785E-05 155657228	   6       0.39       0.47  6.822261179449540E-02  5.966971872554912E-05 155657228
   7       0.47       0.55  6.380662798264082E-02  5.580776141065066E-05 142533624	   7       0.47       0.55  5.804195822037202E-02  5.020214494450288E-05 142533624	   7       0.47       0.55  7.075042230509471E-02  6.279079686755270E-05 142533624
   8       0.55       0.63  6.527949667898247E-02  5.846149802107893E-05 131106769	   8       0.55       0.63  5.950043050080619E-02  5.263977746473529E-05 131106769	   8       0.55       0.63  7.221468734499720E-02  6.570851914953722E-05 131106769
   9       0.63       0.71  6.610446861477527E-02  6.198317390603301E-05 121140546	   9       0.63       0.71  6.036629646590569E-02  5.580284749146568E-05 121140546	   9       0.63       0.71  7.296626688178395E-02  6.966415296552815E-05 121140546
  10       0.71       0.79  6.645217928872867E-02  6.509596893986714E-05 112419376	  10       0.71       0.79  6.078846342361690E-02  5.865315262044399E-05 112419376	  10       0.71       0.79  7.320327187032735E-02  7.308821271656940E-05 112419376
  11       0.79       0.86  6.619699104212878E-02  6.295769986637097E-05 104732654	  11       0.79       0.86  6.065711962545998E-02  5.685446444493398E-05 104732654	  11       0.79       0.86  7.277971738157457E-02  7.053422735199237E-05 104732654
  12       0.86       0.94  6.582373214900876E-02  6.477288252890068E-05 97920138	  12       0.86       0.94  6.040933501911887E-02  5.853573998410362E-05 97920138	  12       0.86       0.94  7.223814080155361E-02  7.250140511480215E-05 97920138
  13       0.94       1.02  6.508342512954604E-02  6.595929942127926E-05 91868863	  13       0.94       1.02  5.981889499550587E-02  5.966794197812980E-05 91868863	  13       0.94       1.02  7.130227840402448E-02  7.374014708690496E-05 91868863
  14       1.02       1.10  6.424353421042905E-02  6.688397427801248E-05 86486584	  14       1.02       1.10  5.912434754413067E-02  6.062728532541796E-05 86486584	  14       1.02       1.10  7.027583009475641E-02  7.460775278663587E-05 86486584
  15       1.10       1.18  6.329304719697518E-02  6.748455130537019E-05 81664901	  15       1.10       1.18  5.832444552777415E-02  6.112928725413003E-05 81664901	  15       1.10       1.18  6.913281465544939E-02  7.533007308332247E-05 81664901
  16       1.18       1.26  6.198167766961978E-02  6.608983230728362E-05 77305626	  16       1.18       1.26  5.718424383209764E-02  5.994433645565790E-05 77305626	  16       1.18       1.26  6.760677029781495E-02  7.366468515684523E-05 77305626
  17       1.26       1.33  6.078242576547684E-02  6.636451750072164E-05 73428931	  17       1.26       1.33  5.613984445239274E-02  6.024117850571296E-05 73428931	  17       1.26       1.33  6.621421013840839E-02  7.391171383785035E-05 73428931
  18       1.33       1.41  5.960771114471795E-02  6.773558188319511E-05 69941856	  18       1.33       1.41  5.510273498834952E-02  6.144488609314206E-05 69941856	  18       1.33       1.41  6.486945425983778E-02  7.549098962488128E-05 69941856
  19       1.41       1.49  5.814935211368826E-02  6.510752809902619E-05 66836193	  19       1.41       1.49  5.381567564425980E-02  5.919166062756081E-05 66836193	  19       1.41       1.49  6.319851267180215E-02  7.237798429969560E-05 66836193
  20       1.49       1.57  5.681114027023698E-02  6.519179878840773E-05 64070243	  20       1.49       1.57  5.261556404452036E-02  5.926468994246671E-05 64070243	  20       1.49       1.57  6.169266422813491E-02  7.248872173005365E-05 64070243
  21       1.57       1.65  5.552203192110854E-02  6.609822917702639E-05 61601962	  21       1.57       1.65  5.146245063553960E-02  6.011481447217459E-05 61601962	  21       1.57       1.65  6.023729653951868E-02  7.345468812605606E-05 61601962
  22       1.65       1.73  5.425252448650494E-02  6.487620017175604E-05 59438971	  22       1.65       1.73  5.032517348293326E-02  5.904316404242048E-05 59438971	  22       1.65       1.73  5.880682098273774E-02  7.203430933485418E-05 59438971
  23       1.73       1.81  5.302257056904378E-02  6.327642933742554E-05 57564349	  23       1.73       1.81  4.921812219283756E-02  5.762643008569801E-05 57564349	  23       1.73       1.81  5.742753972547276E-02  7.020985295066312E-05 57564349
  24       1.81       1.89  5.173555277029322E-02  6.286962747255553E-05 55927463	  24       1.81       1.89  4.805048331044463E-02  5.725987001890242E-05 55927463	  24       1.81       1.89  5.599705718696690E-02  6.975060763456002E-05 55927463
  25       1.89       1.96  5.054231697804750E-02  6.267637843529850E-05 54545537	  25       1.89       1.96  4.697408175193705E-02  5.708864065459494E-05 54545537	  25       1.89       1.96  5.466248698323486E-02  6.953233524147955E-05 54545537
  26       1.96       2.04  4.930601268530190E-02  6.022543079010388E-05 53398000	  26       1.96       2.04  4.585372104294493E-02  5.493708111199752E-05 53398000	  26       1.96       2.04  5.328642441472280E-02  6.669729893734348E-05 53398000
  27       2.04       2.12  4.843726926802118E-02  6.199984112969297E-05 52502440	  27       2.04       2.12  4.505764043235732E-02  5.634945401699532E-05 52502440	  27       2.04       2.12  5.233252054358297E-02  6.898205671020309E-05 52502440
  28       2.12       2.20  4.740074766560502E-02  6.068279976620642E-05 51856246	  28       2.12       2.20  4.411592383872943E-02  5.529817849106381E-05 51856246	  28       2.12       2.20  5.118190844918363E-02  6.728528485638348E-05 51856246
  29       2.20       2.28  4.651792552909532E-02  6.200996426080712E-05 51443595	  29       2.20       2.28  4.331022255291447E-02  5.642932352304178E-05 51443595	  29       2.20       2.28  5.020738216405404E-02  6.888980262132166E-05 51443595
  30       2.28       2.36  4.563475432561608E-02  5.904205514655433E-05 51279027	  30       2.28       2.36  4.250796152478475E-02  5.380901404036815E-05 51279027	  30       2.28       2.36  4.922714977117289E-02  6.546635564363694E-05 51279027
  31       2.36       2.44  4.487713381950587E-02  5.830622671427513E-05 51360582	  31       2.36       2.44  4.181260674889843E-02  5.316751194059259E-05 51360582	  31       2.36       2.44  4.839607399547650E-02  6.460956219418055E-05 51360582
  32       2.44       2.51  4.412473575726220E-02  5.812143121329692E-05 51714554	  32       2.44       2.51  4.112293760221443E-02  5.298847328234820E-05 51714554	  32       2.44       2.51  4.756946182893032E-02  6.442196307922473E-05 51714554
  33       2.51       2.59  4.342956956488983E-02  5.860886674984621E-05 52350604	  33       2.51       2.59  4.048453084445210E-02  5.340983044522737E-05 52350604	  33       2.51       2.59  4.680717449547302E-02  6.497893376011600E-05 52350604
  34       2.59       2.67  4.300203269192156E-02  5.862231362530914E-05 53281627	  34       2.59       2.67  4.009872599066236E-02  5.356119791211185E-05 53281627	  34       2.59       2.67  4.632899677003603E-02  6.479008927198890E-05 53281627
  35       2.67       2.75  4.245620176366013E-02  5.624085652565683E-05 54564501	  35       2.67       2.75  3.959364566860419E-02  5.135710948058727E-05 54564501	  35       2.67       2.75  4.573612509246847E-02  6.221439567785506E-05 54564501
  36       2.75       2.83  4.206994031601625E-02  5.672677177906061E-05 56224880	  36       2.75       2.83  3.923916853361189E-02  5.171577934763398E-05 56224880	  36       2.75       2.83  4.531242787750678E-02  6.286955969494576E-05 56224880
  37       2.83       2.91  4.171953271872474E-02  5.668176644053407E-05 58317651	  37       2.83       2.91  3.891576134682118E-02  5.171941544943025E-05 58317651	  37       2.83       2.91  4.493041650743695E-02  6.275614358003575E-05 58317651
  38       2.91       2.98  4.157185952334273E-02  5.747269942371778E-05 60908046	  38       2.91       2.98  3.878217619667278E-02  5.245122577932077E-05 60908046	  38       2.91       2.98  4.476598210009998E-02  6.361920065032031E-05 60908046
  39       2.98       3.06  4.149183629038603E-02  5.845518444704320E-05 64168563	  39       2.98       3.06  3.871285547357115E-02  5.330981604241545E-05 64168563	  39       2.98       3.06  4.467224827031656E-02  6.475399570422042E-05 64168563
  40       3.06       3.14  4.122064307750028E-02  6.323609664131180E-05 68347954	  40       3.06       3.14  3.846029707035899E-02  5.712074688239950E-05 68347954	  40       3.06       3.14  4.437968397008727E-02  7.082424192569348E-05 68347954
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
# Sum:                       1.6710655924343520E-06  2.1304933530191765E-09 20479000
#=====================================================================================	#=====================================================================================	#=====================================================================================
