# title = Rapidity Muon
# xlabel = $y_{\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^-}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 1919548716
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  1.098337462099002E-02  1.684690886015224E-05 63459446	   1      -2.50      -2.25  1.004372561776445E-02  1.513279481007514E-05 63459446	   1      -2.50      -2.25  1.210463553103858E-02  1.899021492584102E-05 63459446
   2      -2.25      -2.00  1.532107958440456E-02  2.113976608748226E-05 86921123	   2      -2.25      -2.00  1.403351690805260E-02  1.900105507097860E-05 86921123	   2      -2.25      -2.00  1.685351312323357E-02  2.381568374808996E-05 86921123
   3      -2.00      -1.75  2.058025774209778E-02  2.652522448223250E-05 113363968	   3      -2.00      -1.75  1.887790834216728E-02  2.377966624434055E-05 113363968	   3      -2.00      -1.75  2.260194896404165E-02  2.996322814372108E-05 113363968
   4      -1.75      -1.50  2.637399420518850E-02  2.745044847168393E-05 139797470	   4      -1.75      -1.50  2.423534149734720E-02  2.474156008326971E-05 139797470	   4      -1.75      -1.50  2.890579673937822E-02  3.082366753553069E-05 139797470
   5      -1.50      -1.25  3.230438533143095E-02  2.918163738543610E-05 164813130	   5      -1.50      -1.25  2.973838958984376E-02  2.641825834542245E-05 164813130	   5      -1.50      -1.25  3.533162859182073E-02  3.260133519100131E-05 164813130
   6      -1.25      -1.00  3.804477857851891E-02  3.093234715928475E-05 187707759	   6      -1.25      -1.00  3.507546696963738E-02  2.804401246569040E-05 187707759	   6      -1.25      -1.00  4.153806400286011E-02  3.450161845357873E-05 187707759
   7      -1.00      -0.75  4.301218879814233E-02  3.244000155690849E-05 207802337	   7      -1.00      -0.75  3.971298048957040E-02  2.947755319272459E-05 207802337	   7      -1.00      -0.75  4.688238497329753E-02  3.608159835939570E-05 207802337
   8      -0.75      -0.50  4.692366092747442E-02  3.178013734944340E-05 224756374	   8      -0.75      -0.50  4.337101477875487E-02  2.892714236412948E-05 224756374	   8      -0.75      -0.50  5.108237618151014E-02  3.528407209472177E-05 224756374
   9      -0.50      -0.25  4.966218486393149E-02  3.177096096770449E-05 238152127	   9      -0.50      -0.25  4.593330129783586E-02  2.894734526729032E-05 238152127	   9      -0.50      -0.25  5.402136027972423E-02  3.523170430141645E-05 238152127
  10      -0.25       0.00  5.106290151978943E-02  3.064111563614877E-05 247497627	  10      -0.25       0.00  4.724977357394710E-02  2.794597630299668E-05 247497627	  10      -0.25       0.00  5.551646562563042E-02  3.394088982973340E-05 247497627
  11       0.00       0.25  5.099098436917976E-02  2.978189245269455E-05 252360569	  11       0.00       0.25  4.718558852581615E-02  2.718706664896059E-05 252360569	  11       0.00       0.25  5.543492502448529E-02  3.295505796802526E-05 252360569
  12       0.25       0.50  4.968655311260269E-02  2.977152118698394E-05 252266670	  12       0.25       0.50  4.595977147589715E-02  2.714305953996240E-05 252266670	  12       0.25       0.50  5.404235294043225E-02  3.298967194414289E-05 252266670
  13       0.50       0.75  4.701169803218471E-02  2.887808101456430E-05 246778623	  13       0.50       0.75  4.344877916272560E-02  2.631885301588015E-05 246778623	  13       0.50       0.75  5.118324671943256E-02  3.201249335695984E-05 246778623
  14       0.75       1.00  4.303888167819698E-02  2.779274442848893E-05 235715666	  14       0.75       1.00  3.973551284669640E-02  2.529789071206962E-05 235715666	  14       0.75       1.00  4.691450303032245E-02  3.085550462585789E-05 235715666
  15       1.00       1.25  3.806554959507106E-02  2.676955008023814E-05 218909629	  15       1.00       1.25  3.509342210217443E-02  2.431393829484501E-05 218909629	  15       1.00       1.25  4.156236893320172E-02  2.979283520386163E-05 218909629
  16       1.25       1.50  3.241430618873316E-02  2.527343256012996E-05 196573375	  16       1.25       1.50  2.983587896772480E-02  2.291136086066016E-05 196573375	  16       1.25       1.50  3.545715769624084E-02  2.818925678110522E-05 196573375
  17       1.50       1.75  2.638297452123027E-02  2.385407686104155E-05 169429156	  17       1.50       1.75  2.424207865934660E-02  2.155959670869164E-05 169429156	  17       1.50       1.75  2.891760336493655E-02  2.669414134602762E-05 169429156
  18       1.75       2.00  2.059451687238452E-02  2.046441417604675E-05 139003181	  18       1.75       2.00  1.889311868295169E-02  1.848287879032088E-05 139003181	  18       1.75       2.00  2.261447279505543E-02  2.292377191647392E-05 139003181
  19       2.00       2.25  1.529938276446381E-02  1.711539019218355E-05 107815545	  19       2.00       2.25  1.401462768061429E-02  1.545680444809417E-05 107815545	  19       2.00       2.25  1.682821452161121E-02  1.917240733694526E-05 107815545
  20       2.25       2.50  1.097323719304320E-02  1.433706944897766E-05 79954225	  20       2.25       2.50  1.003439252133033E-02  1.291356686762301E-05 79954225	  20       2.25       2.50  1.209349186422002E-02  1.610937449660614E-05 79954225
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
# Sum:                       1.6710655924343378E-06  2.1304805631817489E-09 20479000
#=====================================================================================	#=====================================================================================	#=====================================================================================
