# title = Azimuthal Angle between Muon and anti-Muon
# xlabel = $\phi_{\mu^+\mu^-}\,$[$^{\circ}$]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\phi_{\mu^+\mu^-}}\,\left[\frac{\text{fb}}{\text{$^{\circ}$}}\right]$
# xmin=  0.000E+00
# xmax=  3.142E+00
# ymin=  1.000E-01
# ymax=  2.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 1919548716
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.08  4.148618917731828E-02  3.856631489405560E-05 200841834
   2       0.08       0.16  4.268807147107995E-02  4.001075756625602E-05 212941223
   3       0.16       0.24  4.546608259553141E-02  4.056370486371762E-05 203538492
   4       0.24       0.31  4.906532461099784E-02  4.190727682096821E-05 187215588
   5       0.31       0.39  5.263046701289227E-02  4.434945935886195E-05 170630746
   6       0.39       0.47  5.573953061007016E-02  4.754499568005785E-05 155657228
   7       0.47       0.55  5.804195822037202E-02  5.020214494450288E-05 142533624
   8       0.55       0.63  5.950043050080619E-02  5.263977746473529E-05 131106769
   9       0.63       0.71  6.036629646590569E-02  5.580284749146568E-05 121140546
  10       0.71       0.79  6.078846342361690E-02  5.865315262044399E-05 112419376
  11       0.79       0.86  6.065711962545998E-02  5.685446444493398E-05 104732654
  12       0.86       0.94  6.040933501911887E-02  5.853573998410362E-05 97920138
  13       0.94       1.02  5.981889499550587E-02  5.966794197812980E-05 91868863
  14       1.02       1.10  5.912434754413067E-02  6.062728532541796E-05 86486584
  15       1.10       1.18  5.832444552777415E-02  6.112928725413003E-05 81664901
  16       1.18       1.26  5.718424383209764E-02  5.994433645565790E-05 77305626
  17       1.26       1.33  5.613984445239274E-02  6.024117850571296E-05 73428931
  18       1.33       1.41  5.510273498834952E-02  6.144488609314206E-05 69941856
  19       1.41       1.49  5.381567564425980E-02  5.919166062756081E-05 66836193
  20       1.49       1.57  5.261556404452036E-02  5.926468994246671E-05 64070243
  21       1.57       1.65  5.146245063553960E-02  6.011481447217459E-05 61601962
  22       1.65       1.73  5.032517348293326E-02  5.904316404242048E-05 59438971
  23       1.73       1.81  4.921812219283756E-02  5.762643008569801E-05 57564349
  24       1.81       1.89  4.805048331044463E-02  5.725987001890242E-05 55927463
  25       1.89       1.96  4.697408175193705E-02  5.708864065459494E-05 54545537
  26       1.96       2.04  4.585372104294493E-02  5.493708111199752E-05 53398000
  27       2.04       2.12  4.505764043235732E-02  5.634945401699532E-05 52502440
  28       2.12       2.20  4.411592383872943E-02  5.529817849106381E-05 51856246
  29       2.20       2.28  4.331022255291447E-02  5.642932352304178E-05 51443595
  30       2.28       2.36  4.250796152478475E-02  5.380901404036815E-05 51279027
  31       2.36       2.44  4.181260674889843E-02  5.316751194059259E-05 51360582
  32       2.44       2.51  4.112293760221443E-02  5.298847328234820E-05 51714554
  33       2.51       2.59  4.048453084445210E-02  5.340983044522737E-05 52350604
  34       2.59       2.67  4.009872599066236E-02  5.356119791211185E-05 53281627
  35       2.67       2.75  3.959364566860419E-02  5.135710948058727E-05 54564501
  36       2.75       2.83  3.923916853361189E-02  5.171577934763398E-05 56224880
  37       2.83       2.91  3.891576134682118E-02  5.171941544943025E-05 58317651
  38       2.91       2.98  3.878217619667278E-02  5.245122577932077E-05 60908046
  39       2.98       3.06  3.871285547357115E-02  5.330981604241545E-05 64168563
  40       3.06       3.14  3.846029707035899E-02  5.712074688239950E-05 68347954
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       1.5554476617683798E-06  2.0091419655072945E-09 20479000
#=====================================================================================
