# title = Rapidity Muon
# xlabel = $y_{\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^-}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 1919548716
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  1.004372561776445E-02  1.513279481007514E-05 63459446
   2      -2.25      -2.00  1.403351690805260E-02  1.900105507097860E-05 86921123
   3      -2.00      -1.75  1.887790834216728E-02  2.377966624434055E-05 113363968
   4      -1.75      -1.50  2.423534149734720E-02  2.474156008326971E-05 139797470
   5      -1.50      -1.25  2.973838958984376E-02  2.641825834542245E-05 164813130
   6      -1.25      -1.00  3.507546696963738E-02  2.804401246569040E-05 187707759
   7      -1.00      -0.75  3.971298048957040E-02  2.947755319272459E-05 207802337
   8      -0.75      -0.50  4.337101477875487E-02  2.892714236412948E-05 224756374
   9      -0.50      -0.25  4.593330129783586E-02  2.894734526729032E-05 238152127
  10      -0.25       0.00  4.724977357394710E-02  2.794597630299668E-05 247497627
  11       0.00       0.25  4.718558852581615E-02  2.718706664896059E-05 252360569
  12       0.25       0.50  4.595977147589715E-02  2.714305953996240E-05 252266670
  13       0.50       0.75  4.344877916272560E-02  2.631885301588015E-05 246778623
  14       0.75       1.00  3.973551284669640E-02  2.529789071206962E-05 235715666
  15       1.00       1.25  3.509342210217443E-02  2.431393829484501E-05 218909629
  16       1.25       1.50  2.983587896772480E-02  2.291136086066016E-05 196573375
  17       1.50       1.75  2.424207865934660E-02  2.155959670869164E-05 169429156
  18       1.75       2.00  1.889311868295169E-02  1.848287879032088E-05 139003181
  19       2.00       2.25  1.401462768061429E-02  1.545680444809417E-05 107815545
  20       2.25       2.50  1.003439252133033E-02  1.291356686762301E-05 79954225
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       1.5554476617683745E-06  2.0091301519597523E-09 20479000
#=====================================================================================
