# title = Rapidity separation Leptons
# xlabel = $\Delta y_{\text{e}^-\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{e}^-\mu^-}}\,[\text{fb}]$
# xmin= -5.000E+00
# xmax=  5.000E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 1919548716
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -5.00      -4.75  7.458906362496588E-05  1.026588489847166E-06 786814
   2      -4.75      -4.50  3.108397730658371E-04  2.440064078910826E-06 2924276
   3      -4.50      -4.25  7.045208124546537E-04  3.828481694593899E-06 6087391
   4      -4.25      -4.00  1.303938370804725E-03  5.529127990345923E-06 10430841
   5      -4.00      -3.75  2.164803433192399E-03  7.248422388725614E-06 16058117
   6      -3.75      -3.50  3.348849490401188E-03  9.382657518759945E-06 22998614
   7      -3.50      -3.25  4.926857243230277E-03  1.244792318496229E-05 31259837
   8      -3.25      -3.00  6.867531184857748E-03  1.464578651867105E-05 40809547
   9      -3.00      -2.75  9.187126007920562E-03  1.720483627480180E-05 51532738
  10      -2.75      -2.50  1.192391156652262E-02  1.857655301488576E-05 63448695
  11      -2.50      -2.25  1.491911645343003E-02  1.996797525059943E-05 76501678
  12      -2.25      -2.00  1.810794534263029E-02  2.123153524799899E-05 90817289
  13      -2.00      -1.75  2.137738323237078E-02  2.200162656746922E-05 106584516
  14      -1.75      -1.50  2.452396961707673E-02  2.206749798431072E-05 124052585
  15      -1.50      -1.25  2.734623466509137E-02  2.148041570692445E-05 143426557
  16      -1.25      -1.00  2.967916043068554E-02  2.015241182614717E-05 164755481
  17      -1.00      -0.75  3.150527385284696E-02  1.902184992846093E-05 187893312
  18      -0.75      -0.50  3.275216895506429E-02  1.719754292660484E-05 212619990
  19      -0.50      -0.25  3.351498570410447E-02  1.588948180682426E-05 238805594
  20      -0.25       0.00  3.387672787524937E-02  1.522524905538145E-05 265446774
  21       0.00       0.25  3.389820256355208E-02  1.553275748240926E-05 263326960
  22       0.25       0.50  3.350063128375170E-02  1.675018760588525E-05 232933301
  23       0.50       0.75  3.277901145277529E-02  1.876616946696833E-05 203536825
  24       0.75       1.00  3.149883711994913E-02  2.103863316232811E-05 176372462
  25       1.00       1.25  2.972512982529654E-02  2.324210346694397E-05 151470006
  26       1.25       1.50  2.731059164762242E-02  2.452857356223840E-05 129223637
  27       1.50       1.75  2.451010413007635E-02  2.568118963681378E-05 109756524
  28       1.75       2.00  2.133503406845559E-02  2.618609073242608E-05 92833884
  29       2.00       2.25  1.808507480063792E-02  2.522253037659853E-05 78197241
  30       2.25       2.50  1.491656242129625E-02  2.414601232871976E-05 65365341
  31       2.50       2.75  1.191610827733217E-02  2.354006548736874E-05 54061922
  32       2.75       3.00  9.158580302461486E-03  1.919911782503530E-05 43985523
  33       3.00       3.25  6.862252180979152E-03  1.661313053937276E-05 35014361
  34       3.25       3.50  4.910926014084971E-03  1.379960289375220E-05 27059761
  35       3.50       3.75  3.349477278451138E-03  1.137299775677453E-05 20130659
  36       3.75       4.00  2.167692113947749E-03  8.423897934980867E-06 14240939
  37       4.00       4.25  1.295126849097606E-03  6.620849247217828E-06 9381913
  38       4.25       4.50  6.936532805227178E-04  4.000681920965732E-06 5537998
  39       4.50       4.75  3.091668361704650E-04  2.622866162845495E-06 2683577
  40       4.75       5.00  7.649416911854381E-05  1.217976435846451E-06 724520
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       1.5554476617683649E-06  2.0091337934429331E-09 20479000
#=====================================================================================
