# title = Invariant Mass Electron--anti-Muon System
# xlabel = $M_{\text{e}^-\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^-\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-07
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1919548716
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      40.00  2.356818290858659E-04  1.262632488904138E-07 233672050
   2      40.00      80.00  7.169751533865985E-04  2.600032829890853E-07 636319078
   3      80.00     120.00  8.782189861323452E-04  3.255162023525816E-07 611809190
   4     120.00     160.00  7.219920535008397E-04  3.255166894205485E-07 420893744
   5     160.00     200.00  5.287534440768695E-04  3.007205603255510E-07 301527915
   6     200.00     240.00  3.772770376634826E-04  2.747462567806351E-07 225612798
   7     240.00     280.00  2.708306458274487E-04  2.404444722544289E-07 174582155
   8     280.00     320.00  1.956732666737293E-04  2.032360050214542E-07 138496192
   9     320.00     360.00  1.438015131959198E-04  1.760354031269930E-07 112067649
  10     360.00     400.00  1.072800831618990E-04  1.531891356571624E-07 92109115
  11     400.00     440.00  8.064593415897275E-05  1.334088982142620E-07 76684806
  12     440.00     480.00  6.156864432260444E-05  1.119588796444999E-07 64503290
  13     480.00     520.00  4.752464180737295E-05  9.870447045751614E-08 54803719
  14     520.00     560.00  3.708540471515268E-05  8.657000393032458E-08 46901874
  15     560.00     600.00  2.930398599912707E-05  7.562587047846146E-08 40439773
  16     600.00     640.00  2.311582627200496E-05  6.645545835485387E-08 35083817
  17     640.00     680.00  1.840709124181277E-05  5.767263731983232E-08 30595882
  18     680.00     720.00  1.487947920768013E-05  5.104491194079656E-08 26826796
  19     720.00     760.00  1.198067706329985E-05  4.560303346682014E-08 23616160
  20     760.00     800.00  9.892317328823255E-06  4.400657799914774E-08 20889346
  21     800.00     840.00  8.049950284025073E-06  3.693730630541260E-08 18532918
  22     840.00     880.00  6.656204715753162E-06  3.335711226158371E-08 16514432
  23     880.00     920.00  5.491045097619129E-06  2.972731465072537E-08 14750085
  24     920.00     960.00  4.613893625068439E-06  2.749012745970041E-08 13223690
  25     960.00    1000.00  3.784569147421867E-06  2.301876823594214E-08 11867286
  26    1000.00    1040.00  3.209660982835671E-06  2.235487605618865E-08 10701109
  27    1040.00    1080.00  2.707428584035951E-06  1.945563931733872E-08 9657996
  28    1080.00    1120.00  2.253763257468728E-06  1.778927096785894E-08 8734846
  29    1120.00    1160.00  1.959244734243561E-06  1.575023353539997E-08 7920127
  30    1160.00    1200.00  1.631729022582520E-06  1.455924389711828E-08 7198003
  31    1200.00    1240.00  1.401863462517862E-06  1.291233458961971E-08 6552537
  32    1240.00    1280.00  1.204471030279437E-06  1.252842326349075E-08 5969447
  33    1280.00    1320.00  1.039979884572583E-06  1.142010566326741E-08 5455563
  34    1320.00    1360.00  8.882437286191831E-07  1.025448043236726E-08 4987458
  35    1360.00    1400.00  7.736027518333289E-07  9.444990502771909E-09 4570130
  36    1400.00    1440.00  6.471359417616594E-07  8.167978026925489E-09 4192498
  37    1440.00    1480.00  5.603251831083860E-07  7.133335617838001E-09 3848930
  38    1480.00    1520.00  4.937596246961481E-07  7.051853560654580E-09 3542426
  39    1520.00    1560.00  4.284684852021077E-07  7.246031598083610E-09 3255620
  40    1560.00    1600.00  3.711998875518373E-07  5.929153765102631E-09 3003802
  41    1600.00    1640.00  3.193585161519293E-07  5.730819021444781E-09 2773248
  42    1640.00    1680.00  2.784542211060127E-07  4.581909492839304E-09 2563122
  43    1680.00    1720.00  2.559674200056069E-07  5.256522692594549E-09 2367708
  44    1720.00    1760.00  2.326825712367529E-07  4.858014235865024E-09 2190846
  45    1760.00    1800.00  1.912354923599114E-07  4.047134303527187E-09 2030755
  46    1800.00    1840.00  1.645180974723540E-07  3.297587681565856E-09 1881348
  47    1840.00    1880.00  1.432490755417818E-07  3.239694830437241E-09 1747625
  48    1880.00    1920.00  1.299786585111762E-07  3.222052779608353E-09 1622310
  49    1920.00    1960.00  1.167206438642064E-07  3.193103745339154E-09 1508421
  50    1960.00    2000.00  9.849723378137953E-08  2.759768881855153E-09 1404176
  51    2000.00    2040.00  8.746966731782860E-08  2.360549265122900E-09 1306092
  52    2040.00    2080.00  7.653996147697235E-08  2.114065335204776E-09 1217780
  53    2080.00    2120.00  6.978375445370308E-08  2.199382400163046E-09 1135881
  54    2120.00    2160.00  6.387208192793155E-08  2.146572890306119E-09 1058094
  55    2160.00    2200.00  5.347346920309910E-08  1.691733348047459E-09 987597
  56    2200.00    2240.00  4.570706010468171E-08  1.511064318191505E-09 922059
  57    2240.00    2280.00  4.406146798603015E-08  1.575816771535394E-09 862644
  58    2280.00    2320.00  3.846691198529844E-08  1.391617669352510E-09 807096
  59    2320.00    2360.00  3.525945829962183E-08  1.509498332555672E-09 753181
  60    2360.00    2400.00  2.879962721215101E-08  9.923461531815345E-10 705954
  61    2400.00    2440.00  2.704724239526785E-08  1.041967840645468E-09 661059
  62    2440.00    2480.00  2.563677001254137E-08  1.276424103674521E-09 619066
  63    2480.00    2520.00  2.308960371137001E-08  1.218109118183060E-09 580123
  64    2520.00    2560.00  1.930298279596148E-08  9.041673232494178E-10 544593
  65    2560.00    2600.00  1.772975614601349E-08  8.670174083793157E-10 509649
  66    2600.00    2640.00  1.615721678764553E-08  8.692557152226758E-10 478980
  67    2640.00    2680.00  1.326452209917644E-08  6.969223040459754E-10 449329
  68    2680.00    2720.00  1.203174764070551E-08  6.506941638068796E-10 421944
  69    2720.00    2760.00  1.211904613169797E-08  8.251061207903464E-10 396225
  70    2760.00    2800.00  9.762330164112406E-09  6.128528380782749E-10 372662
  71    2800.00    2840.00  9.077700917118570E-09  4.706832262597191E-10 350627
  72    2840.00    2880.00  7.950449670375970E-09  4.186176623694204E-10 329657
  73    2880.00    2920.00  6.201819012558157E-09  3.327701192866947E-10 309835
  74    2920.00    2960.00  5.710215757467040E-09  2.811785702620957E-10 292804
  75    2960.00    3000.00  5.046184508523368E-09  3.117504178950156E-10 274410
  76    3000.00    3040.00  5.438405149747518E-09  4.175188056314334E-10 259471
  77    3040.00    3080.00  4.281623484712522E-09  3.195250485135043E-10 243579
  78    3080.00    3120.00  4.649251616295130E-09  3.523380616058698E-10 229771
  79    3120.00    3160.00  4.233430814890986E-09  3.276421673558971E-10 216795
  80    3160.00    3200.00  3.117076237309724E-09  2.111947501047122E-10 204878
  81    3200.00    3240.00  3.022167539410469E-09  2.160373160639675E-10 192762
  82    3240.00    3280.00  2.405570444819989E-09  1.975251938044219E-10 181970
  83    3280.00    3320.00  2.324038670090434E-09  2.083649003015654E-10 170789
  84    3320.00    3360.00  2.175567027875703E-09  2.730227308743773E-10 161315
  85    3360.00    3400.00  1.824021888348140E-09  1.415544564726154E-10 152677
  86    3400.00    3440.00  2.036366998464942E-09  2.016406774519272E-10 144205
  87    3440.00    3480.00  1.645639878943842E-09  1.740885324356112E-10 136550
  88    3480.00    3520.00  1.431409126695359E-09  1.333502970878221E-10 128526
  89    3520.00    3560.00  1.369236867063399E-09  1.523259972052945E-10 121943
  90    3560.00    3600.00  1.235492239124386E-09  1.153549609850874E-10 114548
  91    3600.00    3640.00  1.050294317048574E-09  1.113971665671248E-10 108361
  92    3640.00    3680.00  7.644517512736170E-10  5.266016992986735E-11 102953
  93    3680.00    3720.00  7.341228449703622E-10  6.833229026596455E-11 96786
  94    3720.00    3760.00  7.869378750580244E-10  9.634336971338364E-11 92165
  95    3760.00    3800.00  7.140752567281364E-10  9.822892078603147E-11 86857
  96    3800.00    3840.00  6.021581862817634E-10  6.523368369858309E-11 82814
  97    3840.00    3880.00  5.905346949010420E-10  7.047300177505236E-11 78105
  98    3880.00    3920.00  4.131561686240814E-10  3.744855113835817E-11 73727
  99    3920.00    3960.00  4.179503140514540E-10  5.803855996950423E-11 69619
 100    3960.00    4000.00  4.230574909956567E-10  4.701012814226158E-11 65855
 101    4000.00    4040.00  3.427932384395951E-10  3.433245000963445E-11 62887
 102    4040.00    4080.00  3.699338170044860E-10  4.611802386519735E-11 59113
 103    4080.00    4120.00  2.881958029691228E-10  3.017700252597912E-11 56309
 104    4120.00    4160.00  2.799630036729713E-10  3.285514316467915E-11 53610
 105    4160.00    4200.00  3.255067494217003E-10  5.354860856000654E-11 50589
 106    4200.00    4240.00  2.166867865044183E-10  3.070669272422946E-11 47939
 107    4240.00    4280.00  2.416532801019398E-10  4.337651950549692E-11 45153
 108    4280.00    4320.00  2.718246385586604E-10  4.980976414862668E-11 42993
 109    4320.00    4360.00  1.885689818908392E-10  5.769392410152564E-11 40404
 110    4360.00    4400.00  1.323017394892408E-10  1.504332991498046E-11 38622
 111    4400.00    4440.00  1.952811200765877E-10  4.126367124792524E-11 36476
 112    4440.00    4480.00  1.226491314149697E-10  1.838041684577870E-11 34689
 113    4480.00    4520.00  9.784141787082119E-11  1.158388662297308E-11 32867
 114    4520.00    4560.00  1.244356667791362E-10  2.248824720652005E-11 31337
 115    4560.00    4600.00  7.326420453533588E-11  1.116533389726817E-11 29261
 116    4600.00    4640.00  7.282245635099611E-11  1.132504001367384E-11 28328
 117    4640.00    4680.00  1.188280826488538E-10  5.263909335394285E-11 26770
 118    4680.00    4720.00  8.203090018640926E-11  1.738127800629587E-11 25323
 119    4720.00    4760.00  5.498329592173545E-11  8.907600926472374E-12 23945
 120    4760.00    4800.00  5.255418441327219E-11  8.666794705914418E-12 22454
 121    4800.00    4840.00  5.109513767928291E-11  9.716698253106643E-12 21419
 122    4840.00    4880.00  4.820941846735641E-11  7.693103215469905E-12 20489
 123    4880.00    4920.00  3.043747603533279E-11  5.844512453473440E-12 19104
 124    4920.00    4960.00  5.716070056424592E-11  2.257092471293038E-11 18222
 125    4960.00    5000.00  3.991944558443373E-11  1.375226961823966E-11 17483
 126    5000.00    5040.00  3.412602921079396E-11  7.737425666685809E-12 16551
 127    5040.00    5080.00  3.639177162676805E-11  1.144159864439702E-11 15716
 128    5080.00    5120.00  3.250173714574494E-11  6.429795085041322E-12 15159
 129    5120.00    5160.00  1.780519509867638E-11  3.089525525011032E-12 14057
 130    5160.00    5200.00  2.257122841556084E-11  6.531485623880249E-12 13595
 131    5200.00    5240.00  1.770876473210665E-11  3.621790592470166E-12 12665
 132    5240.00    5280.00  1.297841844687465E-11  2.401285448608281E-12 12153
 133    5280.00    5320.00  2.258781677198414E-11  7.585078860096936E-12 11430
 134    5320.00    5360.00  1.479154327016222E-11  2.120505299526400E-12 11003
 135    5360.00    5400.00  1.640924414298039E-11  4.819320762423072E-12 10309
 136    5400.00    5440.00  8.253497290907341E-12  1.600224054068011E-12 9747
 137    5440.00    5480.00  1.023641813455392E-11  1.917872340175162E-12 9462
 138    5480.00    5520.00  7.877872279968355E-12  1.410565655245371E-12 9061
 139    5520.00    5560.00  9.452081105635542E-12  2.898504304466078E-12 8455
 140    5560.00    5600.00  5.372506975715844E-12  1.412481628643830E-12 8032
 141    5600.00    5640.00  9.941258600594805E-12  2.992379262353355E-12 7555
 142    5640.00    5680.00  6.786247916146803E-12  1.805318849865491E-12 7255
 143    5680.00    5720.00  8.169682145746918E-12  3.267718975822428E-12 6794
 144    5720.00    5760.00  6.889288282868896E-12  2.312065095186496E-12 6512
 145    5760.00    5800.00  5.033876156919428E-12  9.652337029539999E-13 6137
 146    5800.00    5840.00  5.426643952970266E-12  1.759168243138749E-12 5797
 147    5840.00    5880.00  2.091712910894687E-12  4.492663992402695E-13 5558
 148    5880.00    5920.00  2.535600265478824E-12  4.639600730002844E-13 5291
 149    5920.00    5960.00  2.973314864131243E-12  9.150086679900739E-13 4960
 150    5960.00    6000.00  3.801543187692149E-12  7.657596009495668E-13 4773
 151    6000.00    6040.00  2.606823227383616E-12  6.557389560668684E-13 4389
 152    6040.00    6080.00  9.638371301793611E-13  2.691583541988064E-13 4329
 153    6080.00    6120.00  2.448413381706620E-12  6.646139279873265E-13 4105
 154    6120.00    6160.00  1.358323903653273E-12  2.920125395631921E-13 3921
 155    6160.00    6200.00  2.181360725056237E-12  1.214774852390998E-12 3569
 156    6200.00    6240.00  3.167658783419355E-12  1.953859219314179E-12 3448
 157    6240.00    6280.00  1.492910460497552E-12  6.464067156605925E-13 3288
 158    6280.00    6320.00  1.052859923090461E-12  2.799139052436727E-13 3072
 159    6320.00    6360.00  6.974275970672729E-13  2.692940709010798E-13 3036
 160    6360.00    6400.00  8.450456050239475E-13  4.435969342640031E-13 2798
 161    6400.00    6440.00  1.121675666738891E-12  4.369272526597638E-13 2751
 162    6440.00    6480.00  1.996806180842058E-12  9.103669312280986E-13 2514
 163    6480.00    6520.00  7.425516046508454E-13  2.054954273122843E-13 2372
 164    6520.00    6560.00  7.310582985416169E-13  3.142778103803684E-13 2259
 165    6560.00    6600.00  4.674409095557718E-13  1.327897028358818E-13 2153
 166    6600.00    6640.00  5.554699723632097E-13  1.977497387284096E-13 2154
 167    6640.00    6680.00  4.423110704691318E-13  2.283839390059044E-13 1963
 168    6680.00    6720.00  3.024117918358295E-13  6.622302432433075E-14 1847
 169    6720.00    6760.00  7.226447564622425E-13  3.925693306109646E-13 1769
 170    6760.00    6800.00  1.772444010401488E-13  6.076829368343713E-14 1624
 171    6800.00    6840.00  2.412339287055668E-13  9.330680462471463E-14 1509
 172    6840.00    6880.00  5.012301908967301E-13  2.788142077453644E-13 1505
 173    6880.00    6920.00  4.936440213469045E-13  3.203962325435218E-13 1382
 174    6920.00    6960.00  1.952360724960114E-13  8.137366124106580E-14 1291
 175    6960.00    7000.00  3.070946027968327E-13  1.158369134467950E-13 1301
 176    7000.00    7040.00  1.843220962464507E-13  5.986603985071208E-14 1239
 177    7040.00    7080.00  1.377399608426257E-13  4.707540926422461E-14 1148
 178    7080.00    7120.00  1.178553953903844E-13  3.621016159281509E-14 1092
 179    7120.00    7160.00  5.324694311385534E-14  1.348171394657825E-14 1071
 180    7160.00    7200.00  3.206422855023189E-13  1.658629341436324E-13 971
 181    7200.00    7240.00  2.281368245860068E-13  1.182473398573077E-13 946
 182    7240.00    7280.00  1.120447335542571E-13  4.332656471188257E-14 863
 183    7280.00    7320.00  1.017902680118176E-13  5.773493913078718E-14 788
 184    7320.00    7360.00  1.298294176186802E-13  7.698389608200473E-14 793
 185    7360.00    7400.00  2.264138158626154E-13  1.741028646523219E-13 736
 186    7400.00    7440.00  2.403459945284484E-13  1.687505542343801E-13 684
 187    7440.00    7480.00  4.747539150756770E-14  2.100706440252291E-14 638
 188    7480.00    7520.00  9.930732659705695E-14  5.535674917660802E-14 653
 189    7520.00    7560.00  6.143261327623083E-14  3.324066177703899E-14 578
 190    7560.00    7600.00  1.506974635636686E-14  8.228755747402770E-15 590
 191    7600.00    7640.00  2.081191576812400E-14  1.002735408497129E-14 532
 192    7640.00    7680.00  2.172847439019450E-14  1.487419312259252E-14 457
 193    7680.00    7720.00  2.047200439704039E-14  1.365297805445851E-14 457
 194    7720.00    7760.00  7.529519356494046E-14  6.578192180494238E-14 436
 195    7760.00    7800.00  4.752468786654932E-14  3.608678064503279E-14 431
 196    7800.00    7840.00  2.617596726138561E-14  1.992269530700224E-14 373
 197    7840.00    7880.00  9.625469990911993E-15  3.481835957299522E-15 403
 198    7880.00    7920.00  9.390680992995573E-15  6.637425288561370E-15 338
 199    7920.00    7960.00  1.275592118583622E-14  6.865569475701237E-15 332
 200    7960.00    8000.00  2.570124209403484E-15  1.199290943319027E-15 314
 201    8000.00    8040.00  1.647475072980860E-15  6.337458441570319E-16 281
 202    8040.00    8080.00  1.788481046437537E-14  8.538826857242536E-15 271
 203    8080.00    8120.00  8.414413407311871E-15  4.630101264701602E-15 284
 204    8120.00    8160.00  1.399339747644638E-14  7.706137694063688E-15 290
 205    8160.00    8200.00  1.096070079775867E-15  4.043477256199369E-16 224
 206    8200.00    8240.00  1.908885680500079E-15  1.015655987111749E-15 217
 207    8240.00    8280.00  1.164003085049839E-15  4.766652327661614E-16 232
 208    8280.00    8320.00  6.232554076504289E-16  2.525010710003095E-16 193
 209    8320.00    8360.00  6.416437903448805E-15  4.049370254525781E-15 211
 210    8360.00    8400.00  5.772447982004328E-15  4.762477412896539E-15 178
 211    8400.00    8440.00  2.265736734486533E-16  1.395054942381111E-16 155
 212    8440.00    8480.00  2.121080323663536E-15  1.156728712252548E-15 144
 213    8480.00    8520.00  7.650363103208077E-16  3.682870047201257E-16 137
 214    8520.00    8560.00  1.559335746721138E-15  9.162521095251103E-16 143
 215    8560.00    8600.00  2.172076293569272E-15  1.648315682432287E-15 132
 216    8600.00    8640.00  3.078304316074710E-15  1.594699436069887E-15 121
 217    8640.00    8680.00  4.465611542197945E-15  3.941508983969662E-15 125
 218    8680.00    8720.00  1.305383005391394E-15  9.221975984694563E-16 101
 219    8720.00    8760.00  1.395584267617893E-15  1.229141302794120E-15 100
 220    8760.00    8800.00  9.990967088928298E-17  5.370135091061671E-17 85
 221    8800.00    8840.00  2.400570862803161E-16  1.660202835787278E-16 73
 222    8840.00    8880.00  3.841942787373637E-16  2.205828689428228E-16 98
 223    8880.00    8920.00  5.938007770781101E-16  2.815925445650481E-16 69
 224    8920.00    8960.00  4.525277963490891E-16  3.307276839551624E-16 72
 225    8960.00    9000.00  1.957334645437405E-16  9.097977454237340E-17 61
 226    9000.00    9040.00  4.210092727683614E-16  3.948861821373053E-16 74
 227    9040.00    9080.00  7.388272028825535E-17  5.212922056382067E-17 67
 228    9080.00    9120.00  2.274556138878644E-16  9.619707672947635E-17 62
 229    9120.00    9160.00  6.237108794844506E-17  4.492908250436148E-17 51
 230    9160.00    9200.00  2.896746694769195E-17  2.386516501610374E-17 45
 231    9200.00    9240.00  5.038749990150798E-15  5.025985097780003E-15 35
 232    9240.00    9280.00  6.477934446810020E-17  3.459272079362274E-17 42
 233    9280.00    9320.00  5.744272980821856E-17  3.983102945344897E-17 22
 234    9320.00    9360.00  3.104401476701877E-17  1.717478113419554E-17 36
 235    9360.00    9400.00  2.881625067653139E-17  1.869189806893223E-17 26
 236    9400.00    9440.00  9.565944789217521E-18  6.953682528329744E-18 26
 237    9440.00    9480.00  2.748283718432785E-17  1.911054249536974E-17 27
 238    9480.00    9520.00  6.233016185557605E-17  3.032957321998926E-17 32
 239    9520.00    9560.00  5.398402777296588E-18  3.430153406641781E-18 29
 240    9560.00    9600.00  1.816914498165699E-17  1.726966920444795E-17 26
 241    9600.00    9640.00  2.364050623401987E-17  2.042046925678662E-17 18
 242    9640.00    9680.00  4.643410809916778E-18  3.928531711142849E-18 15
 243    9680.00    9720.00  4.841416417084390E-19  3.505968514694678E-19 15
 244    9720.00    9760.00  2.054574427143750E-17  1.956948355604385E-17 16
 245    9760.00    9800.00  1.151773032052296E-17  8.366591324757884E-18 15
 246    9800.00    9840.00  6.606348081224601E-18  6.531365056204829E-18 11
 247    9840.00    9880.00  8.469498376800673E-20  6.222563817840938E-20 9
 248    9880.00    9920.00  2.000283512774664E-18  1.986660662157838E-18 13
 249    9920.00    9960.00  2.205890229565669E-20  1.933076032015185E-20 7
 250    9960.00   10000.00  1.343395077618367E-20  7.959359802642800E-21 13
 251   10000.00   10040.00  1.227911676359610E-19  9.719998764807409E-20 8
 252   10040.00   10080.00  5.920741712294972E-21  4.747892222778277E-21 7
 253   10080.00   10120.00  2.075751405144479E-21  1.267556396398516E-21 4
 254   10120.00   10160.00  5.259777062554047E-20  3.754578410973906E-20 7
 255   10160.00   10200.00  3.840279071482976E-21  2.719747555272809E-21 5
 256   10200.00   10240.00  1.729092467385098E-21  1.336775340415123E-21 4
 257   10240.00   10280.00  2.097405864563279E-21  1.619576512588953E-21 3
 258   10280.00   10320.00  3.919804179616299E-22  3.916094786813724E-22 3
 259   10320.00   10360.00  3.555696077173572E-19  2.862057336329151E-19 6
 260   10360.00   10400.00  3.658497373043201E-20  3.654410808703955E-20 2
 261   10400.00   10440.00  3.514116145226210E-18  3.424301069965310E-18 3
 262   10440.00   10480.00  3.032753012655351E-26  3.020953912336965E-26 2
 263   10480.00   10520.00  6.642301780564043E-24  6.642301777648535E-24 1
 264   10520.00   10560.00  2.758437613228489E-20  2.291328503910372E-20 6
 265   10560.00   10600.00  3.325232775217481E-21  3.325232773660638E-21 1
 266   10600.00   10640.00  1.510910107242110E-22  1.376626262746871E-22 2
 267   10640.00   10680.00  1.880848972771518E-21  1.880848972270732E-21 1
 268   10680.00   10720.00  7.016263460886758E-19  7.016263459018641E-19 1
 269   10720.00   10760.00  0.000000000000000E+00  0.000000000000000E+00 0
 270   10760.00   10800.00  3.781570602174729E-20  3.781570600520321E-20 1
 271   10800.00   10840.00  0.000000000000000E+00  0.000000000000000E+00 0
 272   10840.00   10880.00  2.232376522888812E-26  1.635540752023801E-26 2
 273   10880.00   10920.00  4.716360519512692E-22  3.832222631302496E-22 2
 274   10920.00   10960.00  0.000000000000000E+00  0.000000000000000E+00 0
 275   10960.00   11000.00  0.000000000000000E+00  0.000000000000000E+00 0
 276   11000.00   11040.00  0.000000000000000E+00  0.000000000000000E+00 0
 277   11040.00   11080.00  0.000000000000000E+00  0.000000000000000E+00 0
 278   11080.00   11120.00  0.000000000000000E+00  0.000000000000000E+00 0
 279   11120.00   11160.00  7.416288857875095E-20  7.416288854398642E-20 1
 280   11160.00   11200.00  0.000000000000000E+00  0.000000000000000E+00 0
 281   11200.00   11240.00  0.000000000000000E+00  0.000000000000000E+00 0
 282   11240.00   11280.00  1.150170501715767E-27  1.150170501239949E-27 1
 283   11280.00   11320.00  0.000000000000000E+00  0.000000000000000E+00 0
 284   11320.00   11360.00  0.000000000000000E+00  0.000000000000000E+00 0
 285   11360.00   11400.00  0.000000000000000E+00  0.000000000000000E+00 0
 286   11400.00   11440.00  0.000000000000000E+00  0.000000000000000E+00 0
 287   11440.00   11480.00  0.000000000000000E+00  0.000000000000000E+00 0
 288   11480.00   11520.00  0.000000000000000E+00  0.000000000000000E+00 0
 289   11520.00   11560.00  0.000000000000000E+00  0.000000000000000E+00 0
 290   11560.00   11600.00  0.000000000000000E+00  0.000000000000000E+00 0
 291   11600.00   11640.00  0.000000000000000E+00  0.000000000000000E+00 0
 292   11640.00   11680.00  0.000000000000000E+00  0.000000000000000E+00 0
 293   11680.00   11720.00  0.000000000000000E+00  0.000000000000000E+00 0
 294   11720.00   11760.00  0.000000000000000E+00  0.000000000000000E+00 0
 295   11760.00   11800.00  0.000000000000000E+00  0.000000000000000E+00 0
 296   11800.00   11840.00  0.000000000000000E+00  0.000000000000000E+00 0
 297   11840.00   11880.00  0.000000000000000E+00  0.000000000000000E+00 0
 298   11880.00   11920.00  0.000000000000000E+00  0.000000000000000E+00 0
 299   11920.00   11960.00  0.000000000000000E+00  0.000000000000000E+00 0
 300   11960.00   12000.00  0.000000000000000E+00  0.000000000000000E+00 0
 301   12000.00   12040.00  0.000000000000000E+00  0.000000000000000E+00 0
 302   12040.00   12080.00  0.000000000000000E+00  0.000000000000000E+00 0
 303   12080.00   12120.00  0.000000000000000E+00  0.000000000000000E+00 0
 304   12120.00   12160.00  0.000000000000000E+00  0.000000000000000E+00 0
 305   12160.00   12200.00  0.000000000000000E+00  0.000000000000000E+00 0
