# title = Rapidity Jet pair
# xlabel = $y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1919548716
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0
   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0
   5      -3.50      -3.25  7.856852149548472E-19  7.856852147338983E-19 1
   6      -3.25      -3.00  1.634180238839597E-07  3.800598052856215E-09 167203
   7      -3.00      -2.75  8.555071859833256E-06  4.558305897608335E-08 2072650
   8      -2.75      -2.50  8.762177874784362E-05  2.572075486823039E-07 7748060
   9      -2.50      -2.25  4.727239128405542E-04  9.002063054516089E-07 19457745
  10      -2.25      -2.00  1.686530199778866E-03  2.174191389887282E-06 39610423
  11      -2.00      -1.75  4.549590626904185E-03  4.458404993307184E-06 69203231
  12      -1.75      -1.50  1.002313359127453E-02  7.774881562258978E-06 107035267
  13      -1.50      -1.25  1.901954621559688E-02  1.254731538569820E-05 150725090
  14      -1.25      -1.00  3.200415129191990E-02  1.906012581745190E-05 197500355
  15      -1.00      -0.75  4.877072098265856E-02  2.760040388354153E-05 244538356
  16      -0.75      -0.50  6.753711827202033E-02  3.737743718895771E-05 289230785
  17      -0.50      -0.25  8.493837855318012E-02  4.815641535365929E-05 327917991
  18      -0.25       0.00  9.584680329189421E-02  5.581060503892905E-05 354561874
  19       0.00       0.25  9.586668869385863E-02  5.675340584490438E-05 353555182
  20       0.25       0.50  8.495227636970998E-02  5.230685979858661E-05 324741057
  21       0.50       0.75  6.754242639876644E-02  4.184109324418800E-05 283891985
  22       0.75       1.00  4.877006047262198E-02  3.145258092144376E-05 237912811
  23       1.00       1.25  3.197354357736684E-02  2.139856097252227E-05 190472033
  24       1.25       1.50  1.899668232877609E-02  1.435727220037885E-05 144060088
  25       1.50       1.75  1.002925749901777E-02  8.643283298086746E-06 101292884
  26       1.75       2.00  4.551013112118105E-03  4.837570584265183E-06 64717668
  27       2.00       2.25  1.690288783653488E-03  2.437771800694629E-06 36494978
  28       2.25       2.50  4.722484377499076E-04  9.495725014936799E-07 17566916
  29       2.50       2.75  8.832568400669099E-05  2.850316524096807E-07 6768492
  30       2.75       3.00  8.503884109302432E-06  5.119120798230854E-08 1715122
  31       3.00       3.25  1.584540189102745E-07  3.294592612272934E-09 119753
  32       3.25       3.50  0.000000000000000E+00  0.000000000000000E+00 0
  33       3.50       3.75  0.000000000000000E+00  0.000000000000000E+00 0
  34       3.75       4.00  0.000000000000000E+00  0.000000000000000E+00 0
  35       4.00       4.25  0.000000000000000E+00  0.000000000000000E+00 0
  36       4.25       4.50  0.000000000000000E+00  0.000000000000000E+00 0
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       1.8035878976326585E-06  2.2658009063954810E-09 20479000
#=====================================================================================
