# title = Transverse Momentum Softer Jet
# xlabel = $p_{\text{T},\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 1919548716
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      10.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      30.00      50.00  1.447246042545568E-03  5.332818809099994E-07 571680421
   3      50.00      70.00  1.532233849005659E-03  5.942372683463180E-07 552715760
   4      70.00      90.00  1.391731726441962E-03  6.341703314526169E-07 473593215
   5      90.00     110.00  1.147992966645688E-03  5.992104928152717E-07 386177240
   6     110.00     130.00  8.934447936266394E-04  5.559814499267465E-07 303579039
   7     130.00     150.00  6.686665288504325E-04  4.947169941318564E-07 232698384
   8     150.00     170.00  4.920706652854833E-04  4.307688814273570E-07 179285542
   9     170.00     190.00  3.649004206666564E-04  3.820044827598524E-07 140599157
  10     190.00     210.00  2.712340784792711E-04  3.353358344154658E-07 112045323
  11     210.00     230.00  2.037562394756393E-04  2.971743614782743E-07 90554641
  12     230.00     250.00  1.536810925542614E-04  2.526540374068961E-07 74088351
  13     250.00     270.00  1.173786185114675E-04  2.220074809610989E-07 61267190
  14     270.00     290.00  9.012166885290138E-05  1.864889563454690E-07 51134982
  15     290.00     310.00  7.042781504394917E-05  1.735702920958911E-07 43042997
  16     310.00     330.00  5.454531105514988E-05  1.413405777945735E-07 36490130
  17     330.00     350.00  4.292889078477571E-05  1.275279785184591E-07 31154829
  18     350.00     370.00  3.415073629698464E-05  1.125806707219533E-07 26747316
  19     370.00     390.00  2.717820890347833E-05  9.826991551211475E-08 23088726
  20     390.00     410.00  2.172668161524560E-05  8.901893768470597E-08 20036509
  21     410.00     430.00  1.748687506931896E-05  7.542061475594494E-08 17458886
  22     430.00     450.00  1.407104548538296E-05  7.093627161346693E-08 15272226
  23     450.00     470.00  1.142289999037724E-05  6.073398280400688E-08 13410941
  24     470.00     490.00  9.474146175138884E-06  6.035238578679158E-08 11813325
  25     490.00     510.00  7.719984465547927E-06  4.895836166495543E-08 10436889
  26     510.00     530.00  6.231333871839021E-06  4.107054824521030E-08 9258138
  27     530.00     550.00  5.202858506551802E-06  4.104339826734904E-08 8231789
  28     550.00     570.00  4.267381095710639E-06  3.771276773803676E-08 7323767
  29     570.00     590.00  3.564338215848444E-06  3.157747934958730E-08 6541420
  30     590.00     610.00  2.964934185179818E-06  2.869257006252901E-08 5857621
