# title = Azimuthal Angle between two jets
# xlabel = $\phi_{\text{j}_1\text{j}_2}\,$[$^{\circ}$]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\phi_{\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{$^{\circ}$}}\right]$
# xmin=  0.000E+00
# xmax=  3.142E+00
# ymin=  1.000E-01
# ymax=  2.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 81115
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       0.08  1.756100938781176E-20  2.043900353901567E-20 21	   1       0.00       0.08  1.230992287955088E-20  8.919682616616737E-21 21	   1       0.00       0.08  9.867280356024701E-21  8.825545848445885E-21 21
   2       0.08       0.16  8.033544954156987E-21  8.310424617357428E-21 24	   2       0.08       0.16  2.476239857856971E-21  2.372614385035127E-21 24	   2       0.08       0.16  3.006286594411624E-21  3.682736608504765E-21 24
   3       0.16       0.24 -7.334424844205996E-22  1.552869098475224E-21 22	   3       0.16       0.24 -1.482123671296141E-21  1.084795489457644E-21 22	   3       0.16       0.24 -2.046016187706363E-21  2.369463750968095E-21 22
   4       0.24       0.31 -3.083508151530500E-21  2.085919745109278E-21 22	   4       0.24       0.31 -2.558146159047491E-21  1.966636915132803E-21 22	   4       0.24       0.31 -2.517709890597693E-21  1.999682700519407E-21 22
   5       0.31       0.39 -1.258927318007019E-21  1.897099824341003E-21 21	   5       0.31       0.39 -9.276044136190446E-22  1.862908847831113E-21 21	   5       0.31       0.39 -4.244386864677815E-22  5.017100415369125E-22 21
   6       0.39       0.47 -4.674319698978393E-21  3.456859694566127E-21 18	   6       0.39       0.47 -2.837127529773702E-21  2.570797265261349E-21 18	   6       0.39       0.47 -3.618761437047233E-21  3.496939547750559E-21 18
   7       0.47       0.55  2.095382727199121E-21  1.642146640369964E-21 23	   7       0.47       0.55  3.671168118453497E-22  3.027754903647425E-22 23	   7       0.47       0.55 -8.870364059917449E-22  6.871253569635221E-22 23
   8       0.55       0.63 -9.530405482551057E-21  7.887830493622699E-21 24	   8       0.55       0.63 -7.359604555177360E-21  7.199768169953226E-21 24	   8       0.55       0.63 -3.176384837824600E-21  3.435224559089155E-21 24
   9       0.63       0.71 -2.955085578357762E-21  2.300369773441698E-21 18	   9       0.63       0.71 -8.113727691737826E-22  5.973822834137604E-22 18	   9       0.63       0.71 -1.000787190430831E-21  4.425326800546044E-22 18
  10       0.71       0.79 -1.252855241655497E-21  2.251171630196711E-21 22	  10       0.71       0.79  2.675990106869064E-22  1.600923791522507E-21 22	  10       0.71       0.79  2.131174696122070E-21  3.490547496499666E-21 22
  11       0.79       0.86  1.672208120689478E-23  2.461693015683685E-22 17	  11       0.79       0.86 -1.729942861629744E-22  2.320148566999064E-22 17	  11       0.79       0.86 -4.182304509918339E-22  2.792996599993994E-22 17
  12       0.86       0.94  2.795074829471268E-21  1.777410345662123E-21 28	  12       0.86       0.94  1.164432910644403E-20  1.016963462905509E-20 28	  12       0.86       0.94 -1.302423990943975E-21  1.754678735800784E-21 28
  13       0.94       1.02 -4.681930644729713E-21  5.142089667448454E-21 24	  13       0.94       1.02  6.437191376634528E-21  6.567920128943087E-21 24	  13       0.94       1.02  4.643837350439057E-21  2.737384164687335E-21 24
  14       1.02       1.10  4.257839972575210E-22  1.094001988505147E-21 31	  14       1.02       1.10  2.617360773844823E-21  1.683663378843417E-21 31	  14       1.02       1.10  2.694913617449334E-21  2.566821188531285E-21 31
  15       1.10       1.18 -5.250766536107680E-22  6.521545474228560E-22 21	  15       1.10       1.18 -5.442533839478465E-22  4.712647925666332E-22 21	  15       1.10       1.18 -7.518760223700649E-22  5.600611663747768E-22 21
  16       1.18       1.26  1.579759620628380E-20  1.125971393191434E-20 22	  16       1.18       1.26  9.253846064729527E-21  7.662881316821555E-21 22	  16       1.18       1.26  7.111454928311302E-21  1.324887285031337E-20 22
  17       1.26       1.33  1.879742072765409E-21  2.290936437466810E-21 28	  17       1.26       1.33 -1.189697894688579E-21  2.258153714345530E-21 28	  17       1.26       1.33 -4.469016862396954E-23  2.962231851530133E-21 28
  18       1.33       1.41  1.913761762183141E-21  3.411103604650987E-21 21	  18       1.33       1.41  2.843659371738367E-21  2.336172910826053E-21 21	  18       1.33       1.41 -1.558637908784354E-21  6.289226634426783E-21 21
  19       1.41       1.49 -9.779854588636765E-21  1.337356139140763E-20 24	  19       1.41       1.49 -1.351086465962117E-20  2.009434246997593E-20 24	  19       1.41       1.49 -1.133368452128423E-20  1.231841173049652E-20 24
  20       1.49       1.57 -4.835777064754893E-21  5.290950717727520E-21 20	  20       1.49       1.57 -1.630530961894629E-21  2.523064411826864E-21 20	  20       1.49       1.57 -1.996843478244337E-20  2.002381443497655E-20 20
  21       1.57       1.65 -7.593813659362166E-21  5.467469145264163E-21 16	  21       1.57       1.65  3.173110802062247E-21  5.003065421440621E-21 16	  21       1.57       1.65  1.249275312763319E-20  1.429962528376338E-20 16
  22       1.65       1.73 -1.030333030120322E-21  5.878332178907639E-21 20	  22       1.65       1.73  2.334969933160525E-21  3.807713124728456E-21 20	  22       1.65       1.73 -4.783003402259172E-21  3.939769731500721E-21 20
  23       1.73       1.81 -1.630721727143717E-20  1.091674137782858E-20 21	  23       1.73       1.81 -2.001566168920670E-20  1.992235471621222E-20 21	  23       1.73       1.81 -1.860263441693864E-20  1.575238907857890E-20 21
  24       1.81       1.89 -3.413931245505212E-21  4.166217948943744E-21 25	  24       1.81       1.89 -3.547208863791118E-21  2.420685591660508E-21 25	  24       1.81       1.89 -2.410265574341613E-21  2.889885058311168E-21 25
  25       1.89       1.96  3.956686670292359E-21  3.489738835416052E-21 28	  25       1.89       1.96  4.622398463360722E-22  3.650948777360635E-21 28	  25       1.89       1.96 -8.736918833623797E-22  6.713314893853494E-21 28
  26       1.96       2.04  5.454887407630260E-21  4.092473171887322E-21 24	  26       1.96       2.04 -7.682304245490068E-21  6.886670064599525E-21 24	  26       1.96       2.04 -3.673714436109154E-21  2.133393067616233E-21 24
  27       2.04       2.12 -3.506082585326973E-22  5.864140885150092E-22 25	  27       2.04       2.12  8.908806593004200E-22  1.050508664057760E-21 25	  27       2.04       2.12 -3.700447134481985E-22  6.586919744517970E-22 25
  28       2.12       2.20 -3.016890409829481E-21  2.438829275342181E-21 26	  28       2.12       2.20 -1.631445520738861E-21  1.100822772613490E-21 26	  28       2.12       2.20 -1.989097448509515E-21  1.334858566591065E-21 26
  29       2.20       2.28  1.181611458166317E-20  1.766574303509469E-20 40	  29       2.20       2.28 -1.515402863995225E-20  1.715996750703003E-20 40	  29       2.20       2.28  1.728910109884181E-20  1.941524552800791E-20 40
  30       2.28       2.36  5.425103616634132E-21  5.874792990024172E-21 28	  30       2.28       2.36  6.373420868155294E-21  4.789964082296740E-21 28	  30       2.28       2.36 -1.885393207627387E-20  1.278185737613899E-20 28
  31       2.36       2.44 -6.581738307940024E-21  1.199290249618120E-20 31	  31       2.36       2.44 -4.166682160150677E-20  3.775810237410869E-20 31	  31       2.36       2.44 -8.624624991613840E-20  8.256952925165511E-20 31
  32       2.44       2.51  1.106880026160388E-21  7.867052754970710E-21 23	  32       2.44       2.51 -2.741373496073330E-21  7.753730414609780E-21 23	  32       2.44       2.51  1.347803760122304E-20  9.310266495064966E-21 23
  33       2.51       2.59  1.297037118462195E-21  1.309582444097906E-20 31	  33       2.51       2.59 -2.715035496419150E-21  1.009281438177911E-20 31	  33       2.51       2.59 -3.033681385868404E-20  2.018082704817166E-20 31
  34       2.59       2.67  1.494932634252851E-21  2.162849974775770E-21 32	  34       2.59       2.67  6.519095270115371E-22  2.059612291433072E-21 32	  34       2.59       2.67  3.114828809871278E-21  3.302115993199060E-21 32
  35       2.67       2.75  9.944987731442407E-22  1.541974647126572E-21 27	  35       2.67       2.75  1.891250658839881E-21  2.232360796580308E-21 27	  35       2.67       2.75  7.103256087419674E-22  3.228447234886380E-21 27
  36       2.75       2.83 -4.348767870920831E-21  3.490179797495376E-21 22	  36       2.75       2.83 -9.971470261623563E-22  1.254089418192491E-21 22	  36       2.75       2.83 -3.334493457000250E-21  2.246990173727211E-21 22
  37       2.83       2.91 -1.955927950163776E-21  7.069000567825667E-21 30	  37       2.83       2.91  2.956862088249877E-20  3.230843719275698E-20 30	  37       2.83       2.91 -9.195686060204539E-21  1.238650835872049E-20 30
  38       2.91       2.98 -1.135243777613757E-20  9.719638479266476E-21 38	  38       2.91       2.98 -2.668046666110498E-22  1.758599630013715E-21 38	  38       2.91       2.98  4.400467118401824E-21  4.630422396816703E-21 38
  39       2.98       3.06  4.259607146955225E-21  9.299162802441704E-21 28	  39       2.98       3.06  5.840563890289352E-21  7.401211205991341E-21 28	  39       2.98       3.06  7.338315601243391E-21  6.726680417333739E-21 28
  40       3.06       3.14  1.949716897561610E-20  2.310390850908638E-20 35	  40       3.06       3.14  1.280703760976685E-20  1.255268972610079E-20 35	  40       3.06       3.14  1.386332906737164E-20  2.468683823303617E-20 35
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
# Sum:                       5.1511801601550479E-22  4.0887133528055531E-21 1001
#=====================================================================================	#=====================================================================================	#=====================================================================================
