# title = Rapidity Harder Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 80542
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  4.487543302613147E-06  1.044575842799835E-07 3984131	   1      -4.50      -4.25  3.593549193270658E-06  8.466970724406365E-08 3984131	   1      -4.50      -4.25  5.747953703461310E-06  1.319804494792077E-07 3984131
   2      -4.25      -4.00  1.155170569189294E-05  1.871017817568316E-07 6228308	   2      -4.25      -4.00  9.370474572255962E-06  1.529552571878677E-07 6228308	   2      -4.25      -4.00  1.457187363413145E-05  2.339689566359837E-07 6228308
   3      -4.00      -3.75  2.585547720874677E-05  3.164113483738360E-07 9071501	   3      -4.00      -3.75  2.113732541230495E-05  2.606198312514662E-07 9071501	   3      -4.00      -3.75  3.231247034760707E-05  3.921398777979396E-07 9071501
   4      -3.75      -3.50  5.316844765093291E-05  5.055082776314818E-07 12438542	   4      -3.75      -3.50  4.384900028651297E-05  4.190582185328143E-07 12438542	   4      -3.75      -3.50  6.576507514653292E-05  6.217065024533745E-07 12438542
   5      -3.50      -3.25  1.027484814447065E-04  7.874561084657751E-07 16159905	   5      -3.50      -3.25  8.542337628770885E-05  6.570017573553119E-07 16159905	   5      -3.50      -3.25  1.258964481496365E-04  9.610843207852926E-07 16159905
   6      -3.25      -3.00  1.808970092723763E-04  1.111685126963420E-06 20015119	   6      -3.25      -3.00  1.514100069680634E-04  9.326166368545247E-07 20015119	   6      -3.25      -3.00  2.199172927020036E-04  1.348078115411680E-06 20015119
   7      -3.00      -2.75  2.913775973715231E-04  1.531330186435758E-06 23735962	   7      -3.00      -2.75  2.453884854620502E-04  1.291858270638868E-06 23735962	   7      -3.00      -2.75  3.517028591297138E-04  1.844807626810198E-06 23735962
   8      -2.75      -2.50  4.329771939457035E-04  1.955794501467116E-06 27046045	   8      -2.75      -2.50  3.666138005516528E-04  1.657523660936999E-06 27046045	   8      -2.75      -2.50  5.193680076392531E-04  2.343723326658724E-06 27046045
   9      -2.50      -2.25  5.904442369338245E-04  2.367775596032582E-06 29727419	   9      -2.50      -2.25  5.022042239708023E-04  2.015344103082546E-06 29727419	   9      -2.50      -2.25  7.045715740382340E-04  2.823395659645348E-06 29727419
  10      -2.25      -2.00  7.402001515861514E-04  2.691223534525348E-06 31653999	  10      -2.25      -2.00  6.318098804018152E-04  2.297228934430710E-06 31653999	  10      -2.25      -2.00  8.796796323050277E-04  3.198443904388013E-06 31653999
  11      -2.00      -1.75  8.720946343103668E-04  3.018729366470738E-06 32809923	  11      -2.00      -1.75  7.465925383377599E-04  2.584018009173581E-06 32809923	  11      -2.00      -1.75  1.032901141728501E-03  3.576103054617508E-06 32809923
  12      -1.75      -1.50  9.428990236011053E-04  3.146118515770205E-06 33178608	  12      -1.75      -1.50  8.090685403551527E-04  2.697621044662846E-06 33178608	  12      -1.75      -1.50  1.113807758477429E-03  3.719631236643807E-06 33178608
  13      -1.50      -1.25  9.552296221225258E-04  3.325513001474558E-06 32837768	  13      -1.50      -1.25  8.208994082441275E-04  2.852787779388540E-06 32837768	  13      -1.50      -1.25  1.126371661788221E-03  3.929388138189818E-06 32837768
  14      -1.25      -1.00  9.017096412812362E-04  3.053484126348043E-06 31971018	  14      -1.25      -1.00  7.757647463062237E-04  2.626965719424923E-06 31971018	  14      -1.25      -1.00  1.061892173288550E-03  3.596247038622128E-06 31971018
  15      -1.00      -0.75  8.064120137472844E-04  3.024857403565984E-06 30816996	  15      -1.00      -0.75  6.939367382374453E-04  2.597868868125153E-06 30816996	  15      -1.00      -0.75  9.493761150647435E-04  3.569203142098279E-06 30816996
  16      -0.75      -0.50  6.830603679905969E-04  2.524890572964339E-06 29691762	  16      -0.75      -0.50  5.874633165678532E-04  2.170371416555456E-06 29691762	  16      -0.75      -0.50  8.046214710852253E-04  2.976382112188472E-06 29691762
  17      -0.50      -0.25  5.854092936397931E-04  2.331620874231813E-06 28852688	  17      -0.50      -0.25  5.029166775115948E-04  2.003851538361015E-06 28852688	  17      -0.50      -0.25  6.904160024654713E-04  2.749046164452605E-06 28852688
  18      -0.25       0.00  5.155677408525597E-04  2.119287426693253E-06 28504205	  18      -0.25       0.00  4.425139858736010E-04  1.819610117004300E-06 28504205	  18      -0.25       0.00  6.086428278626596E-04  2.501227581695452E-06 28504205
  19       0.00       0.25  5.045231549539251E-04  1.971585934933026E-06 28709490	  19       0.00       0.25  4.328606460432275E-04  1.690467890333511E-06 28709490	  19       0.00       0.25  5.958845256571246E-04  2.330591525624799E-06 28709490
  20       0.25       0.50  5.443359985943557E-04  2.089061105471752E-06 29494414	  20       0.25       0.50  4.674735817075483E-04  1.792598943149375E-06 29494414	  20       0.25       0.50  6.422442917793747E-04  2.467375519540034E-06 29494414
  21       0.50       0.75  6.276539493497303E-04  2.283064096954334E-06 30792192	  21       0.50       0.75  5.396289646755604E-04  1.962257006770333E-06 30792192	  21       0.50       0.75  7.396735579557212E-04  2.691762059590589E-06 30792192
  22       0.75       1.00  7.427699886010108E-04  2.576611826968777E-06 32468241	  22       0.75       1.00  6.390743716523949E-04  2.214220082182822E-06 32468241	  22       0.75       1.00  8.746377784340312E-04  3.038363814658216E-06 32468241
  23       1.00       1.25  8.530373621469536E-04  2.759249297296892E-06 34179811	  23       1.00       1.25  7.339954890324851E-04  2.372959632708365E-06 34179811	  23       1.00       1.25  1.004442766069131E-03  3.251075593910036E-06 34179811
