# title = Rapidity Softer Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 80542
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  3.841641074829851E-05  3.429362618149877E-07 20151058	   1      -4.50      -4.25  3.179952029562290E-05  2.854147806884476E-07 20151058	   1      -4.50      -4.25  4.730100677130810E-05  4.198156166882848E-07 20151058
   2      -4.25      -4.00  7.091590577435891E-05  5.030095432048030E-07 24232528	   2      -4.25      -4.00  5.907885518033550E-05  4.210934895750984E-07 24232528	   2      -4.25      -4.00  8.667757748129371E-05  6.116419024400689E-07 24232528
   3      -4.00      -3.75  1.233857575963612E-04  7.290125694544747E-07 27868278	   3      -4.00      -3.75  1.033946861242058E-04  6.124622989040025E-07 27868278	   3      -4.00      -3.75  1.497953707269958E-04  8.828274221859158E-07 27868278
   4      -3.75      -3.50  2.020804116900923E-04  1.003638474923026E-06 30910340	   4      -3.75      -3.50  1.702511554690329E-04  8.468432470636805E-07 30910340	   4      -3.75      -3.50  2.438210774395338E-04  1.209193270523080E-06 30910340
   5      -3.50      -3.25  3.040078076230722E-04  1.305640631748069E-06 33278027	   5      -3.50      -3.25  2.573248985527521E-04  1.106291878122044E-06 33278027	   5      -3.50      -3.25  3.648330628130245E-04  1.565386223521728E-06 33278027
   6      -3.25      -3.00  4.313696476909441E-04  1.681561523898054E-06 34866039	   6      -3.25      -3.00  3.664636845427435E-04  1.428438966340051E-06 34866039	   6      -3.25      -3.00  5.155011251923604E-04  2.009989713377471E-06 34866039
   7      -3.00      -2.75  5.751064663233497E-04  2.049016529660961E-06 35614694	   7      -3.00      -2.75  4.901023106550126E-04  1.744818017421763E-06 35614694	   7      -3.00      -2.75  6.848116419450643E-04  2.442357598122711E-06 35614694
   8      -2.75      -2.50  7.111012200462229E-04  2.377074342411255E-06 35404699	   8      -2.75      -2.50  6.077034368575532E-04  2.029928528888390E-06 35404699	   8      -2.75      -2.50  8.439917580064060E-04  2.823917055681901E-06 35404699
   9      -2.50      -2.25  8.227130720626620E-04  2.637047365882103E-06 34291712	   9      -2.50      -2.25  7.048046821496744E-04  2.257247375015845E-06 34291712	   9      -2.50      -2.25  9.737169463636480E-04  3.124282843791775E-06 34291712
  10      -2.25      -2.00  8.917598893350625E-04  2.860718473556678E-06 32411568	  10      -2.25      -2.00  7.652338268999688E-04  2.452876288782294E-06 32411568	  10      -2.25      -2.00  1.053387866198929E-03  3.382525841306684E-06 32411568
  11      -2.00      -1.75  9.128054896568633E-04  2.922679512213685E-06 29870172	  11      -2.00      -1.75  7.842473239310051E-04  2.508325521815367E-06 29870172	  11      -2.00      -1.75  1.076712410976113E-03  3.452067194772612E-06 29870172
