# title = Transverse Mass of W
# xlabel = $M_{\text{T},\text{W}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{T},\text{W}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 81115
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00 -9.485627867847906E-23  4.638102147881207E-23 113	   1       0.00      20.00 -4.116202607510040E-23  3.935302358239048E-23 113	   1       0.00      20.00 -1.380107624466131E-22  8.222442391456336E-23 113
   2      20.00      40.00  6.840832783867025E-23  9.388028012697466E-23 103	   2      20.00      40.00  1.457561224038589E-22  1.365138909476034E-22 103	   2      20.00      40.00  2.653470110795057E-23  9.033494412389331E-23 103
   3      40.00      60.00  9.420042712157404E-24  6.516535875851002E-23 156	   3      40.00      60.00 -1.367451965531320E-22  1.517366313943890E-22 156	   3      40.00      60.00 -2.889360193722795E-22  3.301475354944588E-22 156
   4      60.00      80.00 -1.689715936427520E-23  1.420414825085377E-22 284	   4      60.00      80.00 -5.963199758904375E-23  1.584184627955427E-22 284	   4      60.00      80.00 -6.693712600614642E-23  1.748699665702015E-22 284
   5      80.00     100.00  6.783333618407334E-23  7.977215460903391E-23 76	   5      80.00     100.00  2.617269839469857E-23  2.329861463816662E-23 76	   5      80.00     100.00 -3.910789394734632E-23  4.599469771074038E-23 76
   6     100.00     120.00 -4.553110624246405E-24  4.918095169264186E-24 10	   6     100.00     120.00  6.868000838775640E-25  1.193158174267183E-24 10	   6     100.00     120.00  1.249473972860392E-23  1.327834994578768E-23 10
   7     120.00     140.00 -4.117515117421746E-24  4.256728671114639E-24 15	   7     120.00     140.00 -1.899670695731350E-24  1.638676247139556E-24 15	   7     120.00     140.00 -4.032509363074412E-24  4.654273599026228E-24 15
   8     140.00     160.00 -2.803879272662678E-25  2.276893791433609E-25 17	   8     140.00     160.00 -4.345502437080854E-25  4.388947474994517E-25 17	   8     140.00     160.00 -7.954225759516798E-25  7.067017307003160E-25 17
   9     160.00     180.00  9.305423840104641E-25  9.996625818468521E-25 9	   9     160.00     180.00  1.555260400233068E-25  2.112323728267142E-25 9	   9     160.00     180.00 -3.093201338182155E-25  2.438430566856758E-25 9
  10     180.00     200.00  2.048274615586744E-25  1.950496511012771E-25 12	  10     180.00     200.00  8.042267816675232E-26  1.024875198022514E-25 12	  10     180.00     200.00 -4.872099405835617E-25  4.116895484411370E-25 12
  11     200.00     220.00 -8.144141705490027E-28  8.144091504128957E-28 1	  11     200.00     220.00  6.388738352563143E-28  6.388698971696206E-28 1	  11     200.00     220.00  1.063731500107280E-27  1.063724943152472E-27 1
  12     220.00     240.00 -2.347676542886540E-25  2.186977441864816E-25 9	  12     220.00     240.00 -3.733086196549166E-25  3.176718118820435E-25 9	  12     220.00     240.00 -4.446241051893624E-25  3.048703495763333E-25 9
  13     240.00     260.00  8.199870396182349E-26  7.335958076324823E-26 3	  13     240.00     260.00  4.720845204149072E-26  4.173918167410575E-26 3	  13     240.00     260.00  1.536781314193712E-25  1.454215566177622E-25 3
  14     260.00     280.00 -3.569713806774115E-26  4.562191193927165E-26 9	  14     260.00     280.00 -8.269122072346634E-26  8.669956569406298E-26 9	  14     260.00     280.00 -7.826221812879830E-26  8.971160314572539E-26 9
  15     280.00     300.00 -1.498320209149324E-28  1.498310973343203E-28 1	  15     280.00     300.00 -3.687027217205180E-28  3.687004489974823E-28 1	  15     280.00     300.00 -1.305893967038875E-28  1.305885917368704E-28 1
  16     300.00     320.00 -3.805165706986159E-26  3.710170067522253E-26 6	  16     300.00     320.00 -5.989006406272110E-26  5.902521767094510E-26 6	  16     300.00     320.00 -3.258813769356465E-25  3.255668991393211E-25 6
  17     320.00     340.00 -1.425586058301940E-25  1.538647271471562E-25 10	  17     320.00     340.00 -2.018963320355354E-25  1.610747329521985E-25 10	  17     320.00     340.00 -4.782890610918765E-25  3.816376837232540E-25 10
  18     340.00     360.00 -1.815132338399258E-28  3.466852337451054E-28 4	  18     340.00     360.00  1.139313301761355E-27  1.528320474550366E-27 4	  18     340.00     360.00 -5.872589776167601E-28  4.200079885582972E-28 4
  19     360.00     380.00  1.657485344637326E-26  1.335350174180687E-26 7	  19     360.00     380.00  2.425237733139890E-26  1.546180550997987E-26 7	  19     360.00     380.00  4.869580817303938E-27  2.123658840405112E-26 7
  20     380.00     400.00  1.067476834259729E-28  4.883571939696054E-28 5	  20     380.00     400.00 -1.571290178881895E-27  1.528897888107871E-27 5	  20     380.00     400.00 -1.190808514447638E-27  1.028234633805712E-27 5
  21     400.00     420.00  8.182281838993916E-26  8.507294753237008E-26 6	  21     400.00     420.00  2.459133724822797E-26  3.003722602053053E-26 6	  21     400.00     420.00 -3.365772947033251E-26  2.389337154813329E-26 6
  22     420.00     440.00  4.564003235135328E-28  3.836380213161484E-28 5	  22     420.00     440.00  1.768349326622286E-27  1.915325995899539E-27 5	  22     420.00     440.00  1.011350561619944E-27  1.301666475884587E-27 5
  23     440.00     460.00  8.768831461369082E-27  1.270502695562397E-26 7	  23     440.00     460.00 -4.827319522422275E-27  4.837080016331053E-27 7	  23     440.00     460.00 -9.699044780414529E-27  6.992737641080383E-27 7
