# title = Transverse Momentum Harder Jet
# xlabel = $p_{\text{T},\text{j}_1}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-05
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 80542
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      10.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   1      10.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   1      10.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      30.00      50.00  5.196410574459942E-07  5.695418755299318E-09 4779478	   2      30.00      50.00  4.396159779991803E-07  4.797506457483805E-09 4779478	   2      30.00      50.00  6.257011954760056E-07  6.891240179818304E-09 4779478
   3      50.00      70.00  2.161632049739159E-06  1.264194263009654E-08 17580182	   3      50.00      70.00  1.839773214394173E-06  1.072460902591294E-08 17580182	   3      50.00      70.00  2.583352226948349E-06  1.516220627219941E-08 17580182
   4      70.00      90.00  4.503352226058674E-06  2.001225004995292E-08 30739699	   4      70.00      90.00  3.851891851640966E-06  1.705637239468179E-08 30739699	   4      70.00      90.00  5.348886085634729E-06  2.386319331630005E-08 30739699
   5      90.00     110.00  7.372158696917756E-06  2.732577067572340E-08 41006490	   5      90.00     110.00  6.330168929350538E-06  2.338678634512484E-08 41006490	   5      90.00     110.00  8.714659254563278E-06  3.241771912315493E-08 41006490
   6     110.00     130.00  1.055166620536929E-05  3.378520127093120E-08 47262422	   6     110.00     130.00  9.087415946380393E-06  2.899633268199817E-08 47262422	   6     110.00     130.00  1.242699980750679E-05  3.994385250370453E-08 47262422
   7     130.00     150.00  1.366565009411564E-05  3.990511424672458E-08 49810441	   7     130.00     150.00  1.179367543941522E-05  3.432414554829462E-08 49810441	   7     130.00     150.00  1.605298602185153E-05  4.705156783524803E-08 49810441
   8     150.00     170.00  1.531054296913090E-05  4.324959374878499E-08 49086810	   8     150.00     170.00  1.322035297939158E-05  3.724000909561230E-08 49086810	   8     150.00     170.00  1.797064774528161E-05  5.092462395612676E-08 49086810
   9     170.00     190.00  1.580245099777318E-05  4.376926787993401E-08 46439474	   9     170.00     190.00  1.363449693485407E-05  3.766248847561216E-08 46439474	   9     170.00     190.00  1.856141473315024E-05  5.156831994954137E-08 46439474
  10     190.00     210.00  1.533314061697481E-05  4.597894455369586E-08 43045627	  10     190.00     210.00  1.321677638020396E-05  3.950873318542741E-08 43045627	  10     190.00     210.00  1.802690587207705E-05  5.424703367162223E-08 43045627
