# title = Transverse Momentum Softer Jet
# xlabel = $p_{\text{T},\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 80542
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      10.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   1      10.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0	   1      10.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      30.00      50.00  1.614588670260869E-05  3.542631046593591E-08 116166843	   2      30.00      50.00  1.389789395732282E-05  3.042911821816791E-08 116166843	   2      30.00      50.00  1.901892902249134E-05  4.183429439890120E-08 116166843
   3      50.00      70.00  2.187126591121603E-05  4.565049714225356E-08 123577223	   3      50.00      70.00  1.884512848811994E-05  3.925470560931622E-08 123577223	   3      50.00      70.00  2.573111600247577E-05  5.383213628317934E-08 123577223
   4      70.00      90.00  2.497611005235188E-05  5.234911765568045E-08 114430347	   4      70.00      90.00  2.153441096445092E-05  4.505015906114569E-08 114430347	   4      70.00      90.00  2.935917627256952E-05  6.167075799649944E-08 114430347
   5      90.00     110.00  2.511157528660261E-05  5.455859398258882E-08 98737127	   5      90.00     110.00  2.164518271879956E-05  4.692487837701963E-08 98737127	   5      90.00     110.00  2.952469260834484E-05  6.430774044151221E-08 98737127
   6     110.00     130.00  2.314211360389241E-05  5.383804933408444E-08 80682397	   6     110.00     130.00  1.992171008840845E-05  4.629074308395454E-08 80682397	   6     110.00     130.00  2.724574596169615E-05  6.347392115283396E-08 80682397
   7     130.00     150.00  1.940025418233853E-05  5.046329909588017E-08 63483941	   7     130.00     150.00  1.666005827667198E-05  4.329655991383783E-08 63483941	   7     130.00     150.00  2.289943073424868E-05  5.962898277882071E-08 63483941
   8     150.00     170.00  1.581784688646363E-05  4.690214784687747E-08 49855702	   8     150.00     170.00  1.354182938026801E-05  4.013849838141225E-08 49855702	   8     150.00     170.00  1.873284559920092E-05  5.557205510218797E-08 49855702
   9     170.00     190.00  1.292042840825770E-05  4.056777583739119E-08 39638514	   9     170.00     190.00  1.103193437255506E-05  3.470557944238216E-08 39638514	   9     170.00     190.00  1.534479479544933E-05  4.807980259519664E-08 39638514
  10     190.00     210.00  1.056179843268912E-05  3.578959809732994E-08 31897123	  10     190.00     210.00  8.995394134714924E-06  3.055231149872524E-08 31897123	  10     190.00     210.00  1.257723618822127E-05  4.251384508499137E-08 31897123
  11     210.00     230.00  8.572236775849026E-06  3.172158412338019E-08 25967685	  11     210.00     230.00  7.282138091188261E-06  2.700659240150838E-08 25967685	  11     210.00     230.00  1.023608257645595E-05  3.778962357744823E-08 25967685
  12     230.00     250.00  7.001974130370388E-06  2.890454421246248E-08 21357697	  12     230.00     250.00  5.934807881638405E-06  2.456920747713718E-08 21357697	  12     230.00     250.00  8.381028993220652E-06  3.449125882376912E-08 21357697
  13     250.00     270.00  5.637012676425088E-06  2.499496024386077E-08 17736956	  13     250.00     270.00  4.767373060818693E-06  2.120220599312915E-08 17736956	  13     250.00     270.00  6.763029506336835E-06  2.989082790280520E-08 17736956
  14     270.00     290.00  4.727257533039842E-06  2.306161624056376E-08 14856982	  14     270.00     290.00  3.990336738789044E-06  1.954617898492348E-08 14856982	  14     270.00     290.00  5.682940807927313E-06  2.760082889485192E-08 14856982
  15     290.00     310.00  3.865514633001780E-06  2.050104621593717E-08 12528009	  15     290.00     310.00  3.256545559522984E-06  1.735819408218582E-08 12528009	  15     290.00     310.00  4.656647323788376E-06  2.456240413791666E-08 12528009
  16     310.00     330.00  3.173925880234568E-06  1.821770735764592E-08 10640689	  16     310.00     330.00  2.668654083797409E-06  1.539544883312355E-08 10640689	  16     310.00     330.00  3.831455669644942E-06  2.187082632584179E-08 10640689
  17     330.00     350.00  2.606978221013095E-06  1.597451329034144E-08 9087996	  17     330.00     350.00  2.187374944460535E-06  1.345865206855043E-08 9087996	  17     330.00     350.00  3.154067798648188E-06  1.924144240377840E-08 9087996
  18     350.00     370.00  2.146168134593039E-06  1.414519697975733E-08 7808735	  18     350.00     370.00  1.797305565646532E-06  1.189445629283165E-08 7808735	  18     350.00     370.00  2.601787290913185E-06  1.707376297762283E-08 7808735
  19     370.00     390.00  1.781746177890147E-06  1.285170928800592E-08 6742663	  19     370.00     390.00  1.489783778239822E-06  1.080570334054706E-08 6742663	  19     370.00     390.00  2.163571394783581E-06  1.551139971842281E-08 6742663
  20     390.00     410.00  1.460533642121064E-06  1.167902463765701E-08 5853040	  20     390.00     410.00  1.218778424017555E-06  9.791018577236103E-09 5853040	  20     390.00     410.00  1.777279717289467E-06  1.414068130813821E-08 5853040
  21     410.00     430.00  1.209834580274104E-06  1.047966667227558E-08 5095260	  21     410.00     430.00  1.007771587084873E-06  8.770840992731063E-09 5095260	  21     410.00     430.00  1.475012788727649E-06  1.271028840539969E-08 5095260
  22     430.00     450.00  1.008346264226412E-06  9.205709711236302E-09 4460034	  22     430.00     450.00  8.387373930492630E-07  7.702975333585313E-09 4460034	  22     430.00     450.00  1.231190259899871E-06  1.116764466270320E-08 4460034
  23     450.00     470.00  8.465125346419686E-07  1.012400161090187E-08 3916662	  23     450.00     470.00  7.031109409923559E-07  8.511931921963571E-09 3916662	  23     450.00     470.00  1.035169980436545E-06  1.221519150764135E-08 3916662
  24     470.00     490.00  6.988105380952103E-07  7.041667505791380E-09 3448858	  24     470.00     490.00  5.791780064761233E-07  5.870747272793389E-09 3448858	  24     470.00     490.00  8.565201877664517E-07  8.575698309270824E-09 3448858
  25     490.00     510.00  5.914354353725382E-07  6.512521650457236E-09 3046202	  25     490.00     510.00  4.896269667196821E-07  5.433395391416267E-09 3046202	  25     490.00     510.00  7.257754445566212E-07  7.924677403497470E-09 3046202
  26     510.00     530.00  4.898231544064938E-07  5.732416875811995E-09 2698332	  26     510.00     530.00  4.047920816805773E-07  4.761945314763405E-09 2698332	  26     510.00     530.00  6.022059892714579E-07  7.009530887178352E-09 2698332
  27     530.00     550.00  4.180054013998961E-07  5.306072384348358E-09 2395989	  27     530.00     550.00  3.450597733080859E-07  4.410416093008745E-09 2395989	  27     530.00     550.00  5.145007432019880E-07  6.482054632642106E-09 2395989
