# title = Transverse Momentum Jet Pair
# xlabel = $p_{\text{T},\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-05
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 80542
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00      20.00  5.110507494355235E-06  2.387271776152469E-08 19608426	   1       0.00      20.00  4.366477634362765E-06  2.046324070015744E-08 19608426	   1       0.00      20.00  6.073523689350191E-06  2.825684261624265E-08 19608426
   2      20.00      40.00  1.410613290429207E-05  3.713542194109239E-08 36649313	   2      20.00      40.00  1.206595813563504E-05  3.180717894531455E-08 36649313	   2      20.00      40.00  1.674021008373750E-05  4.399081247622997E-08 36649313
   3      40.00      60.00  2.058146609555929E-05  4.604870306457301E-08 42544973	   3      40.00      60.00  1.762160132554884E-05  3.943980556277031E-08 42544973	   3      40.00      60.00  2.439430684756967E-05  5.454341523859435E-08 42544973
   4      60.00      80.00  2.389731034473487E-05  4.871336487356791E-08 44570941	   4      60.00      80.00  2.047287659379229E-05  4.177069791246464E-08 44570941	   4      60.00      80.00  2.830043035742760E-05  5.761964734999334E-08 44570941
   5      80.00     100.00  2.458258546308287E-05  5.031486143481290E-08 44639866	   5      80.00     100.00  2.106981866310476E-05  4.312753398500791E-08 44639866	   5      80.00     100.00  2.909124504838870E-05  5.953032782399639E-08 44639866
   6     100.00     120.00  2.332665633602838E-05  4.818793319557595E-08 43460122	   6     100.00     120.00  1.999687577143787E-05  4.134760504970403E-08 43460122	   6     100.00     120.00  2.759463167438641E-05  5.694316258681464E-08 43460122
   7     120.00     140.00  2.105611003254544E-05  4.605554996112545E-08 41591166	   7     120.00     140.00  1.804638690951291E-05  3.949038843582725E-08 41591166	   7     120.00     140.00  2.491052652045881E-05  5.445995085202051E-08 41591166
   8     140.00     160.00  1.808542842625102E-05  4.321437199765542E-08 39333545	   8     140.00     160.00  1.549409620996490E-05  3.704808631444938E-08 39333545	   8     140.00     160.00  2.140228075640715E-05  5.110798644382534E-08 39333545
   9     160.00     180.00  1.522150645191380E-05  4.038301977225098E-08 36902300	   9     160.00     180.00  1.303347654675785E-05  3.460550295625994E-08 36902300	   9     160.00     180.00  1.802095160751932E-05  4.777677858516643E-08 36902300
  10     180.00     200.00  1.243194137252275E-05  3.604480901463079E-08 34416595	  10     180.00     200.00  1.063522067686964E-05  3.085404507897086E-08 34416595	  10     180.00     200.00  1.473086183532109E-05  4.269498060131575E-08 34416595
  11     200.00     220.00  9.926582171667178E-06  3.344423543575057E-08 32021674	  11     200.00     220.00  8.483654191750991E-06  2.861060442158291E-08 32021674	  11     200.00     220.00  1.177298963954899E-05  3.963839035534913E-08 32021674
  12     220.00     240.00  7.755077308414200E-06  3.007266830391244E-08 29740755	  12     220.00     240.00  6.619723259495173E-06  2.571085131409168E-08 29740755	  12     220.00     240.00  9.208300559356223E-06  3.566524592177501E-08 29740755
  13     240.00     260.00  5.929611561816346E-06  2.785552909249994E-08 27578571	  13     240.00     260.00  5.053787937572276E-06  2.380665009225873E-08 27578571	  13     240.00     260.00  7.051224456847001E-06  3.304623952343583E-08 27578571
  14     260.00     280.00  4.471222881919079E-06  2.488978221523278E-08 25566820	  14     260.00     280.00  3.805311450802393E-06  2.124874151364323E-08 25566820	  14     260.00     280.00  5.324287927234671E-06  2.956264440393326E-08 25566820
  15     280.00     300.00  3.337672042592689E-06  2.418939224034870E-08 23698516	  15     280.00     300.00  2.834489028698148E-06  2.061787957120519E-08 23698516	  15     280.00     300.00  3.982869270361233E-06  2.877571243279991E-08 23698516
  16     300.00     320.00  2.461345567249745E-06  2.106314466080795E-08 21962522	  16     300.00     320.00  2.085401514445174E-06  1.796612277160059E-08 21962522	  16     300.00     320.00  2.943835290995956E-06  2.503875811437744E-08 21962522
  17     320.00     340.00  1.860595136591504E-06  1.903395286866187E-08 20341704	  17     320.00     340.00  1.573324189093615E-06  1.621720416159576E-08 20341704	  17     320.00     340.00  2.229500055116105E-06  2.265380186540144E-08 20341704
  18     340.00     360.00  1.399400740085959E-06  1.728005749732958E-08 18833572	  18     340.00     360.00  1.181038917592732E-06  1.470152058514535E-08 18833572	  18     340.00     360.00  1.679950527413907E-06  2.059847726222165E-08 18833572
  19     360.00     380.00  1.020034333218120E-06  1.553326394482276E-08 17473432	  19     360.00     380.00  8.598333500979288E-07  1.321480946030820E-08 17473432	  19     360.00     380.00  1.225669924577370E-06  1.851579433874171E-08 17473432
  20     380.00     400.00  7.575524492425248E-07  1.407570833756432E-08 16217699	  20     380.00     400.00  6.369780100023472E-07  1.196376768226785E-08 16217699	  20     380.00     400.00  9.124142268421580E-07  1.679446957660485E-08 16217699
  21     400.00     420.00  5.557470537850089E-07  1.289168589932430E-08 15098094	  21     400.00     420.00  4.669223231579252E-07  1.094909621170047E-08 15098094	  21     400.00     420.00  6.695989152811907E-07  1.539372899081923E-08 15098094
  22     420.00     440.00  3.983490391504138E-07  1.168717156690702E-08 14063459	  22     420.00     440.00  3.333964276220467E-07  9.916339073782471E-09 14063459	  22     420.00     440.00  4.816675730504007E-07  1.396980733645388E-08 14063459
  23     440.00     460.00  3.030518350580557E-07  1.071396977512881E-08 13109553	  23     440.00     460.00  2.537002004196214E-07  9.083604620227729E-09 13109553	  23     440.00     460.00  3.661468138944256E-07  1.281622985027034E-08 13109553
  24     460.00     480.00  1.848556880766859E-07  9.342565723811107E-09 12243494	  24     460.00     480.00  1.538468586783492E-07  7.919425420661957E-09 12243494	  24     460.00     480.00  2.244144609999068E-07  1.117852905447613E-08 12243494
  25     480.00     500.00  1.313638981378138E-07  8.602365284228899E-09 11451930	  25     480.00     500.00  1.092833298040275E-07  7.288737048559466E-09 11451930	  25     480.00     500.00  1.593540418656814E-07  1.029709215796143E-08 11451930
  26     500.00     520.00  9.852734835712905E-08  7.849275264633813E-09 10718988	  26     500.00     520.00  8.188405983497405E-08  6.640318224623924E-09 10718988	  26     500.00     520.00  1.195118253220684E-07  9.411120737682677E-09 10718988
  27     520.00     540.00  4.645707279310284E-08  6.986372741376288E-09 10053082	  27     520.00     540.00  3.841762471251493E-08  5.905628926553440E-09 10053082	  27     520.00     540.00  5.630271312793559E-08  8.383699321932591E-09 10053082
  28     540.00     560.00  4.625695854454512E-08  6.601761030370878E-09 9435278	  28     540.00     560.00  3.845120828658737E-08  5.576963693888213E-09 9435278	  28     540.00     560.00  5.583506694631445E-08  7.926714307309754E-09 9435278
