# title = Azimuthal Angle between two jets
# xlabel = $\phi_{\text{j}_1\text{j}_2}\,$[$^{\circ}$]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\phi_{\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{$^{\circ}$}}\right]$
# xmin=  0.000E+00
# xmax=  3.142E+00
# ymin=  1.000E-01
# ymax=  2.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 80542
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.08 -1.086802971492733E-03  2.772056818892282E-06 13281564
   2       0.08       0.16 -1.083158351105679E-03  2.781108367255959E-06 13304738
   3       0.16       0.24 -1.072771768448671E-03  2.771026947687608E-06 13344453
   4       0.24       0.31 -1.056737906267000E-03  2.722654141663332E-06 13407870
   5       0.31       0.39 -1.035471466958172E-03  2.673873896669821E-06 13482940
   6       0.39       0.47 -1.015260182844535E-03  2.633157373397100E-06 13586289
   7       0.47       0.55 -9.800895039856772E-04  2.565377226527261E-06 13709195
   8       0.55       0.63 -9.397265893197117E-04  2.489049488484291E-06 13852627
   9       0.63       0.71 -8.964185364885555E-04  2.392585021834680E-06 14030190
  10       0.71       0.79 -8.485281131716269E-04  2.304257602190069E-06 14216319
  11       0.79       0.86 -7.879570645401299E-04  2.177455661240373E-06 14435521
  12       0.86       0.94 -7.237698568777019E-04  2.050623937541987E-06 14681935
  13       0.94       1.02 -6.472828980274854E-04  1.939982146651680E-06 14954563
  14       1.02       1.10 -5.604545188247886E-04  1.859533927752202E-06 15253005
  15       1.10       1.18 -4.657072961532778E-04  1.744868687943566E-06 15582044
  16       1.18       1.26 -3.595207810202835E-04  1.668790017646964E-06 15948918
  17       1.26       1.33 -2.360857648126446E-04  1.623556280483776E-06 16337393
  18       1.33       1.41 -1.053211176582948E-04  1.643375667355211E-06 16786295
  19       1.41       1.49  4.278183303951061E-05  1.750359853280845E-06 17262016
  20       1.49       1.57  2.042599765508870E-04  1.891472869278780E-06 17792531
  21       1.57       1.65  3.870269886635693E-04  2.142629902278176E-06 18350611
  22       1.65       1.73  5.878652645977334E-04  2.451830776345336E-06 18972265
  23       1.73       1.81  8.095475611535595E-04  2.808882862420109E-06 19657450
  24       1.81       1.89  1.049459042448439E-03  3.259112326335626E-06 20391734
  25       1.89       1.96  1.308911003614598E-03  3.743459329649867E-06 21203114
  26       1.96       2.04  1.593304528553862E-03  4.344877735371327E-06 22084995
  27       2.04       2.12  1.912680152071683E-03  4.902687261421015E-06 23079559
  28       2.12       2.20  2.249124642635833E-03  5.583624006640151E-06 24134016
  29       2.20       2.28  2.601543812864767E-03  6.172000828496498E-06 25313730
  30       2.28       2.36  2.988378237429664E-03  6.910004405531552E-06 26607010
  31       2.36       2.44  3.408020610702444E-03  7.791033585194010E-06 28045596
  32       2.44       2.51  3.826882616152977E-03  8.590864147668359E-06 29637914
  33       2.51       2.59  4.297561250299286E-03  9.396598074200151E-06 31414660
  34       2.59       2.67  4.753801720548048E-03  9.983160804694698E-06 33400628
  35       2.67       2.75  5.235734946391923E-03  1.107117553870949E-05 35627761
  36       2.75       2.83  5.699776799412064E-03  1.191175164986164E-05 38174700
  37       2.83       2.91  6.151522093535999E-03  1.242149719920941E-05 41074030
  38       2.91       2.98  6.532956804332819E-03  1.328930120218351E-05 44416765
  39       2.98       3.06  6.833217461634833E-03  1.368591772018017E-05 48359910
  40       3.06       3.14  7.043506266328903E-03  1.381227969791858E-05 53068181
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       1.1315753120711234E-19  1.2874661107954370E-19 1001
#=====================================================================================
