# title = Cosine of Angle between two jets
# xlabel = $\cos\theta_{\text{j}_1\text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\cos\theta_{\text{j}_1\text{j}_2}}\,[\text{fb}]$
# xmin= -1.000E+00
# xmax=  1.000E+00
# ymin=  1.000E-04
# ymax=  2.000E+00
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 81115
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -1.00      -0.90 -3.452113465843058E-21  2.894304566980636E-20 332
   2      -0.90      -0.80  2.285493273395205E-21  1.703510443278140E-20 150
   3      -0.80      -0.70  4.983956496450582E-21  1.908876466664525E-20 91
   4      -0.70      -0.60  1.047084803924000E-20  8.960822400932454E-21 59
   5      -0.60      -0.50 -5.723025554317645E-21  3.431791801904203E-21 52
   6      -0.50      -0.40  5.469431907646197E-21  3.909837431724211E-21 47
   7      -0.40      -0.30  2.756319265902992E-21  4.146884118653079E-21 44
   8      -0.30      -0.20 -3.549586548378860E-21  4.151115215664908E-21 26
   9      -0.20      -0.10  1.324379008575935E-22  7.160326100403312E-22 29
  10      -0.10       0.00 -4.896883783473699E-22  3.441129908087232E-22 23
  11       0.00       0.10 -1.394736024693949E-22  9.433015987549843E-23 16
  12       0.10       0.20 -1.816058555642535E-21  1.170184455015798E-21 20
  13       0.20       0.30  1.196584033441889E-21  1.407104824762845E-21 25
  14       0.30       0.40  1.438724323323701E-21  1.595385653594014E-21 16
  15       0.40       0.50  1.579695612754557E-21  1.264122867264782E-21 12
  16       0.50       0.60 -9.384617250681955E-21  5.412025861328179E-21 23
  17       0.60       0.70 -5.517411005464448E-22  5.301975610560632E-22 13
  18       0.70       0.80 -9.700786356474816E-24  7.048883226146413E-24 8
  19       0.80       0.90 -4.325568226534696E-23  3.550431433496845E-23 11
  20       0.90       1.00 -3.049768008558860E-24  3.360667634668256E-24 4
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       5.1511801601550799E-22  4.0887276585973535E-21 1001
#=====================================================================================
