# title = Distance Electron--anti-Muon
# xlabel = $\Delta R_{\text{e}^-\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta R_{\text{e}^-\mu^+}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  6.000E+00
# ymin=  1.000E-04
# ymax=  1.000E+00
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 80542
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.10       0.30  1.404315374662527E-04  9.903374386018969E-07 18006011
   2       0.30       0.50  2.824269164798562E-04  1.358499793634490E-06 25586222
   3       0.50       0.70  4.306730010169706E-04  1.761867889055644E-06 30576629
   4       0.70       0.90  5.821427671607789E-04  2.140346953219396E-06 34808961
   5       0.90       1.10  7.333094213705013E-04  2.501977152929171E-06 38685974
   6       1.10       1.30  8.816550925164670E-04  2.842817577302554E-06 42399993
   7       1.30       1.50  1.031523428235509E-03  3.161930074919865E-06 45940471
   8       1.50       1.70  1.167804364674154E-03  3.433126171094889E-06 49424515
   9       1.70       1.90  1.301683155263756E-03  3.698160003374555E-06 52748338
  10       1.90       2.10  1.427064798001126E-03  3.975130659780514E-06 55998238
  11       2.10       2.30  1.542338795161396E-03  4.172335174394468E-06 59162001
  12       2.30       2.50  1.659413135519849E-03  4.360947101549229E-06 62242654
  13       2.50       2.70  1.773767469609904E-03  4.439770315454284E-06 65235076
  14       2.70       2.90  1.873571308054706E-03  4.675227884086377E-06 68153537
  15       2.90       3.10  1.977668607868166E-03  4.681696890424518E-06 70699325
  16       3.10       3.30  1.615676366798471E-03  4.475397172708607E-06 55592811
  17       3.30       3.50  1.050227568149743E-03  3.986834472251843E-06 34996173
  18       3.50       3.70  7.473986361038848E-04  3.454156605878361E-06 25257954
  19       3.70       3.90  5.295958643243658E-04  2.723026186615025E-06 18608413
  20       3.90       4.10  3.820315817179360E-04  2.317693033878003E-06 13681136
  21       4.10       4.30  2.630572925463335E-04  2.225138789278632E-06 9870885
  22       4.30       4.50  1.756873744541195E-04  1.453360902306807E-06 6918974
  23       4.50       4.70  1.149769536158445E-04  1.214410547852344E-06 4633752
  24       4.70       4.90  6.995174597859592E-05  9.147273315083302E-07 2900900
  25       4.90       5.10  3.912962420836121E-05  7.175364929014689E-07 1638578
  26       5.10       5.30  1.945563937398262E-05  4.323030569007854E-07 827028
  27       5.30       5.50  7.931470564732929E-06  3.031138529414673E-07 357002
  28       5.50       5.70  2.508634350802568E-06  1.645523840788648E-07 111315
  29       5.70       5.90  2.469808826152265E-07  4.347295365780322E-08 14234
  30       5.90       6.10  0.000000000000000E+00  0.000000000000000E+00 0
  31       6.10       6.30  0.000000000000000E+00  0.000000000000000E+00 0
  32       6.30       6.50  0.000000000000000E+00  0.000000000000000E+00 0
  33       6.50       6.70  0.000000000000000E+00  0.000000000000000E+00 0
  34       6.70       6.90  0.000000000000000E+00  0.000000000000000E+00 0
  35       6.90       7.10  0.000000000000000E+00  0.000000000000000E+00 0
  36       7.10       7.30  0.000000000000000E+00  0.000000000000000E+00 0
  37       7.30       7.50  0.000000000000000E+00  0.000000000000000E+00 0
  38       7.50       7.70  0.000000000000000E+00  0.000000000000000E+00 0
  39       7.70       7.90  0.000000000000000E+00  0.000000000000000E+00 0
  40       7.90       8.10  0.000000000000000E+00  0.000000000000000E+00 0
  41       8.10       8.30  0.000000000000000E+00  0.000000000000000E+00 0
  42       8.30       8.50  0.000000000000000E+00  0.000000000000000E+00 0
  43       8.50       8.70  0.000000000000000E+00  0.000000000000000E+00 0
  44       8.70       8.90  0.000000000000000E+00  0.000000000000000E+00 0
  45       8.90       9.10  0.000000000000000E+00  0.000000000000000E+00 0
  46       9.10       9.30  0.000000000000000E+00  0.000000000000000E+00 0
  47       9.30       9.50  0.000000000000000E+00  0.000000000000000E+00 0
  48       9.50       9.70  0.000000000000000E+00  0.000000000000000E+00 0
  49       9.70       9.90  0.000000000000000E+00  0.000000000000000E+00 0
  50       9.90      10.10  0.000000000000000E+00  0.000000000000000E+00 0
  51      10.10      10.30  0.000000000000000E+00  0.000000000000000E+00 0
  52      10.30      10.50  0.000000000000000E+00  0.000000000000000E+00 0
  53      10.50      10.70  0.000000000000000E+00  0.000000000000000E+00 0
  54      10.70      10.90  0.000000000000000E+00  0.000000000000000E+00 0
  55      10.90      11.10  0.000000000000000E+00  0.000000000000000E+00 0
  56      11.10      11.30  0.000000000000000E+00  0.000000000000000E+00 0
