# title = Distance Jet Pair
# xlabel = $\Delta R_{\text{j}_1\text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta R_{\text{j}_1\text{j}_2}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  1.100E+01
# ymin=  1.000E-05
# ymax=  1.000E+00
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 81115
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.10       0.30  0.000000000000000E+00  0.000000000000000E+00 0
   2       0.30       0.50  0.000000000000000E+00  0.000000000000000E+00 0
   3       0.50       0.70  0.000000000000000E+00  0.000000000000000E+00 0
   4       0.70       0.90  0.000000000000000E+00  0.000000000000000E+00 0
   5       0.90       1.10  0.000000000000000E+00  0.000000000000000E+00 0
   6       1.10       1.30  0.000000000000000E+00  0.000000000000000E+00 0
   7       1.30       1.50  0.000000000000000E+00  0.000000000000000E+00 0
   8       1.50       1.70  0.000000000000000E+00  0.000000000000000E+00 0
   9       1.70       1.90  0.000000000000000E+00  0.000000000000000E+00 0
  10       1.90       2.10  0.000000000000000E+00  0.000000000000000E+00 0
  11       2.10       2.30  0.000000000000000E+00  0.000000000000000E+00 0
  12       2.30       2.50  0.000000000000000E+00  0.000000000000000E+00 0
  13       2.50       2.70 -7.553968209878577E-23  3.169261653518700E-22 8
  14       2.70       2.90  5.224137196364949E-23  1.391211070803564E-22 16
  15       2.90       3.10 -3.186413391523017E-21  2.368489077629526E-21 35
  16       3.10       3.30 -2.511948267077137E-21  1.890278059119614E-21 28
  17       3.30       3.50  1.067524269323780E-20  7.105971328085488E-21 54
  18       3.50       3.70 -2.806086631697935E-21  3.573220124496899E-21 63
  19       3.70       3.90 -9.776182152967345E-21  5.703845490133777E-21 74
  20       3.90       4.10 -2.408694061846120E-21  3.580703098853368E-21 79
  21       4.10       4.30 -2.148666461544316E-21  3.628849788825012E-21 80
  22       4.30       4.50  1.248251088341282E-20  8.677964157785979E-21 61
  23       4.50       4.70 -5.370442493691357E-21  4.170317342492030E-21 58
  24       4.70       4.90  7.672250251813865E-21  5.323339537854329E-21 66
  25       4.90       5.10 -7.393383924058803E-21  5.823803042575970E-21 62
  26       5.10       5.30  1.165805790655329E-21  2.524893146054775E-21 46
  27       5.30       5.50  1.117093193824374E-20  8.912265775720611E-21 43
  28       5.50       5.70 -2.683141307298910E-21  1.909996056059696E-21 43
  29       5.70       5.90 -2.173354386797518E-22  2.813325350259879E-21 36
  30       5.90       6.10 -6.374201171543845E-22  6.411189707906940E-22 31
  31       6.10       6.30 -3.463916527078803E-21  4.722584564371193E-21 23
  32       6.30       6.50  4.363972885777420E-22  3.729471301337626E-22 26
  33       6.50       6.70  9.453845410478725E-23  1.146099435773637E-22 12
  34       6.70       6.90  1.747178757824980E-21  1.562712678079999E-21 13
  35       6.90       7.10  1.026903910374758E-21  1.032316225304069E-21 8
  36       7.10       7.30 -1.390184849923644E-21  2.852758921709329E-21 9
  37       7.30       7.50  3.967608445478610E-24  4.512500262636016E-24 11
  38       7.50       7.70 -1.040407186456845E-28  1.040400773275602E-28 1
  39       7.70       7.90  1.173307750487288E-22  1.174749220510803E-22 4
  40       7.90       8.10 -2.824740165725424E-25  2.669492215871665E-25 6
  41       8.10       8.30 -8.144141705490027E-26  8.144091504128957E-26 3
  42       8.30       8.50  0.000000000000000E+00  0.000000000000000E+00 0
  43       8.50       8.70  9.698997464943581E-27  9.698937679285209E-27 1
  44       8.70       8.90 -1.650896414090771E-29  1.650886237788594E-29 1
  45       8.90       9.10  0.000000000000000E+00  0.000000000000000E+00 0
  46       9.10       9.30  0.000000000000000E+00  0.000000000000000E+00 0
  47       9.30       9.50  0.000000000000000E+00  0.000000000000000E+00 0
  48       9.50       9.70  0.000000000000000E+00  0.000000000000000E+00 0
  49       9.70       9.90  0.000000000000000E+00  0.000000000000000E+00 0
  50       9.90      10.10  0.000000000000000E+00  0.000000000000000E+00 0
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       5.1511801601550507E-22  4.0886907875793774E-21 1001
#=====================================================================================
