# title = Distance muon Pair
# xlabel = $\Delta R_{\mu^+\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta R_{\mu^+\mu^-}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  6.000E+00
# ymin=  1.000E-04
# ymax=  1.000E+00
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 81115
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.10       0.30  4.939063548788830E-23  9.411542526303709E-23 162
   2       0.30       0.50 -3.271480226078598E-21  1.713559265321037E-21 156
   3       0.50       0.70 -1.450928646723508E-21  3.585839419540820E-21 117
   4       0.70       0.90  7.449959251719978E-22  8.427053882907160E-21 133
   5       0.90       1.10 -3.927488846798570E-21  5.282410439256176E-21 67
   6       1.10       1.30 -1.240234374953056E-21  4.153926338335870E-21 69
   7       1.30       1.50  2.263270401339736E-22  4.202713609820756E-21 57
   8       1.50       1.70 -2.325117094752872E-21  6.242252432703795E-21 31
   9       1.70       1.90  5.233693541068333E-21  9.510556005538251E-21 36
  10       1.90       2.10 -1.913702136654175E-21  5.718449884703915E-21 29
  11       2.10       2.30  2.614142790817149E-21  4.597415063877789E-21 19
  12       2.30       2.50 -1.946574060005661E-22  2.927480271011284E-21 28
  13       2.50       2.70 -2.254785138235420E-21  2.206565033912409E-21 22
  14       2.70       2.90  3.626358523644300E-21  1.812178259803704E-21 17
  15       2.90       3.10  6.457624949612798E-21  8.258716736235749E-21 19
  16       3.10       3.30  1.170485172341983E-22  3.109142972729592E-22 14
  17       3.30       3.50  8.781080378644885E-23  1.480082057734415E-22 5
  18       3.50       3.70  0.000000000000000E+00  0.000000000000000E+00 0
  19       3.70       3.90  0.000000000000000E+00  0.000000000000000E+00 0
  20       3.90       4.10  0.000000000000000E+00  0.000000000000000E+00 0
  21       4.10       4.30  0.000000000000000E+00  0.000000000000000E+00 0
  22       4.30       4.50  0.000000000000000E+00  0.000000000000000E+00 0
  23       4.50       4.70  0.000000000000000E+00  0.000000000000000E+00 0
  24       4.70       4.90  0.000000000000000E+00  0.000000000000000E+00 0
  25       4.90       5.10  0.000000000000000E+00  0.000000000000000E+00 0
  26       5.10       5.30  0.000000000000000E+00  0.000000000000000E+00 0
  27       5.30       5.50  0.000000000000000E+00  0.000000000000000E+00 0
  28       5.50       5.70  0.000000000000000E+00  0.000000000000000E+00 0
  29       5.70       5.90  0.000000000000000E+00  0.000000000000000E+00 0
  30       5.90       6.10  0.000000000000000E+00  0.000000000000000E+00 0
# Underflow:                -3.4087766827949165E-24  3.3784199653456443E-24 20
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       5.1511801601550592E-22  4.0887246096632302E-21 1001
#=====================================================================================
