# title = CMS Energy
# xlabel = $\sqrt{\hat{s}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\sqrt{\hat{s}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 80542
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     600.00     700.00  4.859085629812916E-09  6.524370521474447E-11 894493
   8     700.00     800.00  5.531995279990580E-07  1.995072725963635E-09 12998361
   9     800.00     900.00  1.819071473025096E-06  4.781890526079378E-09 22969419
  10     900.00    1000.00  2.674897028454497E-06  6.692134325047430E-09 28422918
  11    1000.00    1100.00  3.048170439927306E-06  7.873270260712159E-09 31129266
  12    1100.00    1200.00  3.150931065591956E-06  8.632166292964717E-09 32141688
  13    1200.00    1300.00  3.120618788493861E-06  8.919241639738722E-09 32137357
  14    1300.00    1400.00  2.979583625842225E-06  8.845652644328006E-09 31557921
  15    1400.00    1500.00  2.784754640677752E-06  8.825572480906989E-09 30646735
  16    1500.00    1600.00  2.578129508421914E-06  8.271966742634400E-09 29548417
  17    1600.00    1700.00  2.351177952830528E-06  8.087278837222971E-09 28345934
  18    1700.00    1800.00  2.135711907992475E-06  7.598092138645277E-09 27113424
  19    1800.00    1900.00  1.941649813568470E-06  7.256011095159123E-09 25903427
  20    1900.00    2000.00  1.728038793697362E-06  6.696823092459935E-09 24695250
  21    2000.00    2100.00  1.557982243431495E-06  6.658287241572267E-09 23527518
  22    2100.00    2200.00  1.374577857982197E-06  5.702399091266857E-09 22414701
  23    2200.00    2300.00  1.224744086813994E-06  5.429285981731286E-09 21352950
  24    2300.00    2400.00  1.072934699691319E-06  4.860215903445186E-09 20344333
  25    2400.00    2500.00  9.670829606785603E-07  4.689948121978905E-09 19371626
  26    2500.00    2600.00  8.452690149563446E-07  4.261123017466378E-09 18464812
  27    2600.00    2700.00  7.438120790458670E-07  3.980466282738008E-09 17612785
  28    2700.00    2800.00  6.460437926800040E-07  3.502742480805521E-09 16789105
  29    2800.00    2900.00  5.747387277369561E-07  3.214036514793254E-09 16018218
  30    2900.00    3000.00  5.035850655521656E-07  2.935203419043006E-09 15296349
