# title = Rapidity Harder Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 80542
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  4.487543302613147E-06  1.044575842799835E-07 3984131
   2      -4.25      -4.00  1.155170569189294E-05  1.871017817568316E-07 6228308
   3      -4.00      -3.75  2.585547720874677E-05  3.164113483738360E-07 9071501
   4      -3.75      -3.50  5.316844765093291E-05  5.055082776314818E-07 12438542
   5      -3.50      -3.25  1.027484814447065E-04  7.874561084657751E-07 16159905
   6      -3.25      -3.00  1.808970092723763E-04  1.111685126963420E-06 20015119
   7      -3.00      -2.75  2.913775973715231E-04  1.531330186435758E-06 23735962
   8      -2.75      -2.50  4.329771939457035E-04  1.955794501467116E-06 27046045
   9      -2.50      -2.25  5.904442369338245E-04  2.367775596032582E-06 29727419
  10      -2.25      -2.00  7.402001515861514E-04  2.691223534525348E-06 31653999
  11      -2.00      -1.75  8.720946343103668E-04  3.018729366470738E-06 32809923
  12      -1.75      -1.50  9.428990236011053E-04  3.146118515770205E-06 33178608
  13      -1.50      -1.25  9.552296221225258E-04  3.325513001474558E-06 32837768
  14      -1.25      -1.00  9.017096412812362E-04  3.053484126348043E-06 31971018
  15      -1.00      -0.75  8.064120137472844E-04  3.024857403565984E-06 30816996
  16      -0.75      -0.50  6.830603679905969E-04  2.524890572964339E-06 29691762
  17      -0.50      -0.25  5.854092936397931E-04  2.331620874231813E-06 28852688
  18      -0.25       0.00  5.155677408525597E-04  2.119287426693253E-06 28504205
  19       0.00       0.25  5.045231549539251E-04  1.971585934933026E-06 28709490
  20       0.25       0.50  5.443359985943557E-04  2.089061105471752E-06 29494414
  21       0.50       0.75  6.276539493497303E-04  2.283064096954334E-06 30792192
  22       0.75       1.00  7.427699886010108E-04  2.576611826968777E-06 32468241
  23       1.00       1.25  8.530373621469536E-04  2.759249297296892E-06 34179811
  24       1.25       1.50  9.310733531135775E-04  2.889083320242170E-06 35653948
  25       1.50       1.75  9.438580744796712E-04  2.871500789090838E-06 36502768
  26       1.75       2.00  8.995307002714582E-04  2.817581599436327E-06 36521080
  27       2.00       2.25  7.872062978046502E-04  2.544863505517156E-06 35558894
  28       2.25       2.50  6.457955790477525E-04  2.222395474671473E-06 33611155
  29       2.50       2.75  4.892899294673145E-04  1.926903614514622E-06 30688595
  30       2.75       3.00  3.373872658329529E-04  1.480808959012025E-06 26958113
  31       3.00       3.25  2.173567836130414E-04  1.125102415188209E-06 22634066
  32       3.25       3.50  1.276428977746450E-04  8.090579202982831E-07 18103683
  33       3.50       3.75  6.776900760152815E-05  5.307984953933342E-07 13703648
  34       3.75       4.00  3.291116286093684E-05  3.273193953008714E-07 9744261
  35       4.00       4.25  1.474251454344382E-05  2.000440007686804E-07 6445343
  36       4.25       4.50  6.135347698067705E-06  1.192597205277245E-07 3933894
# Underflow:                 7.3953096347180719E-26  7.3945131395141456E-26 3
# Overflow:                  6.8387038910457318E-22  4.9591394739479289E-22 4
#-------------------------------------------------------------------------------------
# Sum:                       1.1315753120711236E-19  1.2874603863509044E-19 1001
#=====================================================================================
