# title = Transverse Momentum Jet Pair
# xlabel = $p_{\text{T},\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-05
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 80542
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  5.110507494355235E-06  2.387271776152469E-08 19608426
   2      20.00      40.00  1.410613290429207E-05  3.713542194109239E-08 36649313
   3      40.00      60.00  2.058146609555929E-05  4.604870306457301E-08 42544973
   4      60.00      80.00  2.389731034473487E-05  4.871336487356791E-08 44570941
   5      80.00     100.00  2.458258546308287E-05  5.031486143481290E-08 44639866
   6     100.00     120.00  2.332665633602838E-05  4.818793319557595E-08 43460122
   7     120.00     140.00  2.105611003254544E-05  4.605554996112545E-08 41591166
   8     140.00     160.00  1.808542842625102E-05  4.321437199765542E-08 39333545
   9     160.00     180.00  1.522150645191380E-05  4.038301977225098E-08 36902300
  10     180.00     200.00  1.243194137252275E-05  3.604480901463079E-08 34416595
  11     200.00     220.00  9.926582171667178E-06  3.344423543575057E-08 32021674
  12     220.00     240.00  7.755077308414200E-06  3.007266830391244E-08 29740755
  13     240.00     260.00  5.929611561816346E-06  2.785552909249994E-08 27578571
  14     260.00     280.00  4.471222881919079E-06  2.488978221523278E-08 25566820
  15     280.00     300.00  3.337672042592689E-06  2.418939224034870E-08 23698516
  16     300.00     320.00  2.461345567249745E-06  2.106314466080795E-08 21962522
  17     320.00     340.00  1.860595136591504E-06  1.903395286866187E-08 20341704
  18     340.00     360.00  1.399400740085959E-06  1.728005749732958E-08 18833572
  19     360.00     380.00  1.020034333218120E-06  1.553326394482276E-08 17473432
  20     380.00     400.00  7.575524492425248E-07  1.407570833756432E-08 16217699
  21     400.00     420.00  5.557470537850089E-07  1.289168589932430E-08 15098094
  22     420.00     440.00  3.983490391504138E-07  1.168717156690702E-08 14063459
  23     440.00     460.00  3.030518350580557E-07  1.071396977512881E-08 13109553
  24     460.00     480.00  1.848556880766859E-07  9.342565723811107E-09 12243494
  25     480.00     500.00  1.313638981378138E-07  8.602365284228899E-09 11451930
  26     500.00     520.00  9.852734835712905E-08  7.849275264633813E-09 10718988
  27     520.00     540.00  4.645707279310284E-08  6.986372741376288E-09 10053082
  28     540.00     560.00  4.625695854454512E-08  6.601761030370878E-09 9435278
  29     560.00     580.00 -6.370915763484079E-09  5.851735758124624E-09 8863753
  30     580.00     600.00 -1.316015757649912E-08  5.293592133180409E-09 8335449
  31     600.00     620.00 -2.384556529432619E-08  4.719671398855231E-09 7851749
  32     620.00     640.00 -3.221163285421616E-08  4.288160505216395E-09 7398513
  33     640.00     660.00 -3.617885636629337E-08  3.986237047984653E-09 6979943
  34     660.00     680.00 -2.959160721286208E-08  3.669310845924774E-09 6590522
  35     680.00     700.00 -3.381876964607348E-08  3.406552508644890E-09 6229700
  36     700.00     720.00 -3.123887634014706E-08  3.060167361940229E-09 5889691
  37     720.00     740.00 -3.573996569022971E-08  2.802112061348184E-09 5571639
  38     740.00     760.00 -3.615180387344787E-08  2.476400659850187E-09 5284914
  39     760.00     780.00 -3.194622891758010E-08  2.335535496948851E-09 5004262
  40     780.00     800.00 -3.274138501061758E-08  2.080849339337706E-09 4744518
  41     800.00     820.00 -3.122287755690020E-08  1.928594779030059E-09 4511735
  42     820.00     840.00 -2.426183450744427E-08  1.779122865104383E-09 4277717
