# title = Rapidity anti-Muon
# xlabel = $y_{\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 81115
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  3.442901169990106E-21  3.830657022626063E-21 14
   2      -2.25      -2.00 -5.745763097386461E-21  6.275561686421410E-21 19
   3      -2.00      -1.75 -9.957647311029082E-21  1.655844214415273E-20 17
   4      -1.75      -1.50 -3.251027454187746E-22  3.254835112239835E-21 48
   5      -1.50      -1.25 -4.348572918912819E-22  1.398617855794432E-21 36
   6      -1.25      -1.00  6.063613977254963E-21  4.971427590865997E-21 52
   7      -1.00      -0.75  4.273965575099382E-23  3.286553100574703E-21 47
   8      -0.75      -0.50  5.235227810457345E-21  2.645711064078323E-21 72
   9      -0.50      -0.25  2.200717284638365E-21  2.576763840609900E-21 68
  10      -0.25       0.00 -2.158424610165068E-21  1.433535986366842E-21 75
  11       0.00       0.25 -2.718667623310890E-21  1.979640482769476E-21 82
  12       0.25       0.50 -6.110608311263260E-21  5.823761447069838E-21 82
  13       0.50       0.75 -3.287712756148418E-22  1.105052743714149E-21 71
  14       0.75       1.00  4.806506596826569E-22  6.586733050027097E-22 72
  15       1.00       1.25  2.916740543208059E-21  1.924657500180381E-21 63
  16       1.25       1.50 -5.304731463607249E-22  3.834852572037151E-22 51
  17       1.50       1.75  2.448766828283380E-21  2.260980612774943E-21 51
  18       1.75       2.00 -2.513961185206808E-22  3.602953901416800E-22 33
  19       2.00       2.25  3.180253846695765E-22  2.660045498558931E-22 26
  20       2.25       2.50 -9.128877929197581E-25  4.410337553070643E-23 22
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                      -1.3533102762046353E-21  5.2479509594800251E-21 1001
#=====================================================================================
