# title = Rapidity Electron
# xlabel = $y_{\text{e}^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{e}^-}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 80542
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  3.065379734398346E-04  1.602280300317345E-06 26006516
   2      -2.25      -2.00  3.964900457436771E-04  1.900024441078172E-06 30755581
   3      -2.00      -1.75  4.975065310504121E-04  2.079917438527076E-06 35588124
   4      -1.75      -1.50  5.992894925076655E-04  2.252330095410377E-06 40383037
   5      -1.50      -1.25  6.970369122544203E-04  2.415644290539414E-06 44900269
   6      -1.25      -1.00  7.890097585981546E-04  2.498080758773916E-06 49011950
   7      -1.00      -0.75  8.606324837017119E-04  2.503569917055869E-06 52517888
   8      -0.75      -0.50  9.269124420263588E-04  2.511571916515566E-06 55312990
   9      -0.50      -0.25  9.767806296490172E-04  2.487871647218994E-06 57340497
  10      -0.25       0.00  1.007159606337299E-03  2.488230247322537E-06 58450992
  11       0.00       0.25  1.016479745475691E-03  2.531656674709622E-06 58646689
  12       0.25       0.50  1.018607212510314E-03  2.601646343019085E-06 57838274
  13       0.50       0.75  9.965899541495335E-04  2.630999762341617E-06 56046004
  14       0.75       1.00  9.600872948499512E-04  2.699626499650515E-06 53285809
  15       1.00       1.25  8.982924053818140E-04  2.754864852268141E-06 49613790
  16       1.25       1.50  8.175145816459171E-04  2.740105501001977E-06 45150128
  17       1.50       1.75  7.139044528883732E-04  2.538409305950876E-06 40077985
  18       1.75       2.00  6.045351697944414E-04  2.342722759841302E-06 34608863
  19       2.00       2.25  4.884613185111448E-04  2.353415067487435E-06 29029217
  20       2.25       2.50  3.764174979614776E-04  1.798656874203040E-06 23700435
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       1.1970448380183044E-19  1.2231907546860105E-19 1001
#=====================================================================================
