# title = Rapidity Muon
# xlabel = $y_{\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^-}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 81115
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -2.50      -2.25 -1.189086240278374E-20  1.145050708621572E-20 11
   2      -2.25      -2.00 -2.873992511619541E-21  2.405429720722177E-21 15
   3      -2.00      -1.75  5.117303381763661E-21  4.264182722850075E-21 20
   4      -1.75      -1.50  1.450768260646034E-20  1.061119289441355E-20 35
   5      -1.50      -1.25 -4.684961346434724E-21  6.763552034128234E-21 52
   6      -1.25      -1.00  2.061100670900816E-21  4.672696592144823E-21 51
   7      -1.00      -0.75  2.072226957986664E-21  3.456253941462366E-21 67
   8      -0.75      -0.50 -8.511857974911400E-22  1.969853752620172E-21 60
   9      -0.50      -0.25 -1.637164562251245E-21  1.420094331171059E-21 75
  10      -0.25       0.00 -7.399073424193760E-21  6.277705542000568E-21 74
  11       0.00       0.25  2.582077146824622E-21  2.441459971697218E-21 64
  12       0.25       0.50 -4.507007606761756E-21  5.884014952706262E-21 81
  13       0.50       0.75  2.378029726399247E-21  1.529749987061359E-21 66
  14       0.75       1.00 -9.382687171569579E-22  8.938565538173685E-22 69
  15       1.00       1.25 -4.360645280703935E-22  5.393915206470727E-22 66
  16       1.25       1.50 -1.045261064056462E-21  1.334480017737671E-21 63
  17       1.50       1.75  1.178797387719013E-21  1.402738198760036E-21 55
  18       1.75       2.00  6.323837239520640E-22  4.943695107392009E-22 32
  19       2.00       2.25  9.419205967372542E-23  2.959939813038932E-22 25
  20       2.25       2.50  2.268071943210236E-22  2.171037638229036E-22 20
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                      -1.3533102762046345E-21  5.2479338116509579E-21 1001
#=====================================================================================
