# title = Total Transverse Energy without Gluon
# xlabel = $H_{\text{T},\text{no g}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}H_{\text{T},\text{no g}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  2.000E+03
# ymin=  1.000E-06
# ymax=  1.000E-03
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 80542
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      10.00      70.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      70.00     130.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     130.00     190.00  1.665994297321230E-10  2.133137044313701E-11 58104
   4     190.00     250.00  6.188224817470077E-08  6.470858217259662E-10 4275594
   5     250.00     310.00  8.497220222070024E-07  3.066899452136876E-09 24409829
   6     310.00     370.00  2.592715394490473E-06  6.594304892732962E-09 45859897
   7     370.00     430.00  4.628611638507553E-06  1.026662533812989E-08 58014906
   8     430.00     490.00  6.409944311217086E-06  1.354760859412999E-08 61140082
   9     490.00     550.00  6.941520254183206E-06  1.482252725577040E-08 58430242
  10     550.00     610.00  6.621045384006750E-06  1.519460246429482E-08 53771419
  11     610.00     670.00  5.802704674001055E-06  1.531373561595944E-08 48733312
  12     670.00     730.00  4.922953564591369E-06  1.404665415203824E-08 43870507
  13     730.00     790.00  4.094265201152440E-06  1.246917311069663E-08 39393185
  14     790.00     850.00  3.398353485762457E-06  1.133278361041037E-08 35401846
  15     850.00     910.00  2.814915623181815E-06  1.037288617328643E-08 31901799
  16     910.00     970.00  2.314461985554812E-06  9.172145062154700E-09 28815329
  17     970.00    1030.00  1.903168818239649E-06  8.176039166457521E-09 26095982
  18    1030.00    1090.00  1.582255562388976E-06  7.290267942939468E-09 23700934
  19    1090.00    1150.00  1.293986932260034E-06  6.438757484408166E-09 21606383
  20    1150.00    1210.00  1.063023881562645E-06  5.693779298866509E-09 19734312
  21    1210.00    1270.00  8.699818780624318E-07  5.058143784796630E-09 18073131
