# title = Transverse Momentum Softer Jet
# xlabel = $p_{\text{T},\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 80542
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      10.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      30.00      50.00  1.389789395732282E-05  3.042911821816791E-08 116166843
   3      50.00      70.00  1.884512848811994E-05  3.925470560931622E-08 123577223
   4      70.00      90.00  2.153441096445092E-05  4.505015906114569E-08 114430347
   5      90.00     110.00  2.164518271879956E-05  4.692487837701963E-08 98737127
   6     110.00     130.00  1.992171008840845E-05  4.629074308395454E-08 80682397
   7     130.00     150.00  1.666005827667198E-05  4.329655991383783E-08 63483941
   8     150.00     170.00  1.354182938026801E-05  4.013849838141225E-08 49855702
   9     170.00     190.00  1.103193437255506E-05  3.470557944238216E-08 39638514
  10     190.00     210.00  8.995394134714924E-06  3.055231149872524E-08 31897123
  11     210.00     230.00  7.282138091188261E-06  2.700659240150838E-08 25967685
  12     230.00     250.00  5.934807881638405E-06  2.456920747713718E-08 21357697
  13     250.00     270.00  4.767373060818693E-06  2.120220599312915E-08 17736956
  14     270.00     290.00  3.990336738789044E-06  1.954617898492348E-08 14856982
  15     290.00     310.00  3.256545559522984E-06  1.735819408218582E-08 12528009
  16     310.00     330.00  2.668654083797409E-06  1.539544883312355E-08 10640689
  17     330.00     350.00  2.187374944460535E-06  1.345865206855043E-08 9087996
  18     350.00     370.00  1.797305565646532E-06  1.189445629283165E-08 7808735
  19     370.00     390.00  1.489783778239822E-06  1.080570334054706E-08 6742663
  20     390.00     410.00  1.218778424017555E-06  9.791018577236103E-09 5853040
  21     410.00     430.00  1.007771587084873E-06  8.770840992731063E-09 5095260
  22     430.00     450.00  8.387373930492630E-07  7.702975333585313E-09 4460034
  23     450.00     470.00  7.031109409923559E-07  8.511931921963571E-09 3916662
  24     470.00     490.00  5.791780064761233E-07  5.870747272793389E-09 3448858
  25     490.00     510.00  4.896269667196821E-07  5.433395391416267E-09 3046202
  26     510.00     530.00  4.047920816805773E-07  4.761945314763405E-09 2698332
  27     530.00     550.00  3.450597733080859E-07  4.410416093008745E-09 2395989
  28     550.00     570.00  2.921212951004457E-07  3.968238404606517E-09 2130820
  29     570.00     590.00  2.383865136288342E-07  3.476653297309528E-09 1901837
  30     590.00     610.00  2.016555427104988E-07  3.147044459874764E-09 1699747
  31     610.00     630.00  1.672940413544127E-07  2.799380147182878E-09 1523539
  32     630.00     650.00  1.477502576893284E-07  2.750450254884501E-09 1367280
  33     650.00     670.00  1.219045403132843E-07  2.237855072795434E-09 1228188
  34     670.00     690.00  9.814434128763473E-08  1.739343506099767E-09 1104075
  35     690.00     710.00  8.711860773301833E-08  1.721399840524151E-09 996805
  36     710.00     730.00  7.099499756169731E-08  1.549163358620595E-09 900771
  37     730.00     750.00  6.114691115865776E-08  1.356903925846996E-09 814412
  38     750.00     770.00  5.096287253026775E-08  1.134818608324715E-09 735811
  39     770.00     790.00  4.291193232030717E-08  1.149403039183123E-09 667177
  40     790.00     810.00  3.595823173945796E-08  9.350015418917288E-10 605373
  41     810.00     830.00  3.160486549749322E-08  8.668865425187749E-10 550437
  42     830.00     850.00  2.637176643259584E-08  8.679183255027465E-10 500380
  43     850.00     870.00  2.078821597249230E-08  5.514317079482242E-10 455464
  44     870.00     890.00  1.859911125155120E-08  6.107721450243311E-10 415208
  45     890.00     910.00  1.619168707587030E-08  6.066135123238601E-10 376959
  46     910.00     930.00  1.311625913652503E-08  4.512482211048891E-10 344360
  47     930.00     950.00  1.110085172931849E-08  3.811351341861017E-10 315509
  48     950.00     970.00  9.836819547417192E-09  3.694997646763193E-10 287473
  49     970.00     990.00  8.443291898554482E-09  2.817873202264520E-10 262357
  50     990.00    1010.00  7.438851283445587E-09  3.543437899340312E-10 240366
  51    1010.00    1030.00  6.023093274349042E-09  3.033767675541755E-10 218993
  52    1030.00    1050.00  5.088994071647092E-09  2.108624259682531E-10 201568
  53    1050.00    1070.00  3.964428744512402E-09  1.787584083374793E-10 184639
  54    1070.00    1090.00  3.649146100463527E-09  1.934771499452698E-10 169136
  55    1090.00    1110.00  3.423293237570844E-09  1.813712340612685E-10 154939
  56    1110.00    1130.00  2.326862244217772E-09  1.050249050796189E-10 142253
  57    1130.00    1150.00  2.115750629142886E-09  1.161041141285853E-10 130936
  58    1150.00    1170.00  1.849427042517485E-09  9.642091263893847E-11 120520
  59    1170.00    1190.00  1.566081098687936E-09  8.933172781273771E-11 110740
  60    1190.00    1210.00  1.250286259669600E-09  7.395421110302394E-11 101444
  61    1210.00    1230.00  1.185783223059784E-09  7.525093615383370E-11 93324
  62    1230.00    1250.00  9.568627939868188E-10  6.232608724859978E-11 86339
  63    1250.00    1270.00  6.885460668048357E-10  3.799203780244195E-11 79193
  64    1270.00    1290.00  6.752228138222770E-10  4.456200917746102E-11 72623
  65    1290.00    1310.00  5.622674957393846E-10  4.545685065757002E-11 67284
  66    1310.00    1330.00  4.264571833109148E-10  2.736092502615702E-11 62267
  67    1330.00    1350.00  3.601300999613464E-10  2.540084684524548E-11 57005
  68    1350.00    1370.00  3.496568612535622E-10  2.652820278274933E-11 52219
  69    1370.00    1390.00  2.876347454766953E-10  4.192234750444954E-11 48173
  70    1390.00    1410.00  2.396813957004953E-10  2.162845055620341E-11 44471
  71    1410.00    1430.00  2.167601440238654E-10  1.470058462624319E-11 41181
  72    1430.00    1450.00  1.706634836787649E-10  1.520919918219395E-11 37992
  73    1450.00    1470.00  1.625132020666464E-10  1.507546377978658E-11 35027
  74    1470.00    1490.00  1.214209412820830E-10  1.132244529394829E-11 32624
  75    1490.00    1510.00  1.018502509744097E-10  1.050753721622322E-11 29609
  76    1510.00    1530.00  8.158431241232657E-11  7.732369655020471E-12 27468
  77    1530.00    1550.00  6.810539120477058E-11  6.392429670462599E-12 25257
  78    1550.00    1570.00  5.896960170846030E-11  5.211548103505108E-12 23388
  79    1570.00    1590.00  4.403144823072324E-11  4.332167619030418E-12 21639
  80    1590.00    1610.00  4.726077719507271E-11  6.066688551730197E-12 20162
  81    1610.00    1630.00  3.872689347344879E-11  5.485361878397349E-12 18460
