# title = Invariant Mass Electron--anti-Muon System
# xlabel = $M_{\text{e}^-\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^-\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-07
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 80542
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      40.00  6.709234677794925E-06  1.525789460593127E-08 56757313
   2      40.00      80.00  2.087915927570604E-05  3.040834517139922E-08 155704568
   3      80.00     120.00  2.643849059431866E-05  3.861940156446701E-08 151090702
   4     120.00     160.00  2.175628715297565E-05  3.858932358042983E-08 105410379
   5     160.00     200.00  1.554054285694577E-05  3.406085754463827E-08 76366081
   6     200.00     240.00  1.077914942718200E-05  2.955409961520490E-08 57544778
   7     240.00     280.00  7.479682258882460E-06  2.541049733827346E-08 44701117
   8     280.00     320.00  5.176166403453371E-06  2.130394497797513E-08 35544392
   9     320.00     360.00  3.707684492645613E-06  1.932466468655108E-08 28825019
  10     360.00     400.00  2.683109027791651E-06  1.683696930759334E-08 23715692
  11     400.00     440.00  1.947718841255750E-06  1.349237497777387E-08 19771023
  12     440.00     480.00  1.451808295882249E-06  1.165292864189892E-08 16654551
  13     480.00     520.00  1.076422316808355E-06  9.836662352057160E-09 14162189
  14     520.00     560.00  8.027730166120177E-07  8.340721822131421E-09 12135700
  15     560.00     600.00  6.201169046755367E-07  7.239195633639009E-09 10473437
  16     600.00     640.00  4.898254419715449E-07  6.524268079670392E-09 9093119
  17     640.00     680.00  3.698766909749018E-07  5.709156321991824E-09 7933306
  18     680.00     720.00  2.852607832528686E-07  5.069944034812771E-09 6971931
  19     720.00     760.00  2.351575247088857E-07  4.370327478263567E-09 6142093
  20     760.00     800.00  1.896835394749125E-07  4.141921409610180E-09 5434518
  21     800.00     840.00  1.467571580287000E-07  3.455679786384900E-09 4826882
  22     840.00     880.00  1.164565250434547E-07  3.080622553377216E-09 4306622
  23     880.00     920.00  9.684406243786318E-08  2.790047892348182E-09 3850184
  24     920.00     960.00  7.792527748015789E-08  2.496081789110093E-09 3452119
  25     960.00    1000.00  6.276280164879350E-08  2.240615550173964E-09 3103909
  26    1000.00    1040.00  5.287629396881271E-08  1.989618014812974E-09 2801118
  27    1040.00    1080.00  3.989910918811402E-08  1.739814825539662E-09 2529923
  28    1080.00    1120.00  3.539328104993739E-08  1.638966155560624E-09 2287454
  29    1120.00    1160.00  2.766686538451176E-08  1.401415059335655E-09 2076142
  30    1160.00    1200.00  2.588605171624800E-08  1.455319442054114E-09 1887995
  31    1200.00    1240.00  2.169125752318894E-08  1.293426446819059E-09 1719788
  32    1240.00    1280.00  1.755685854356204E-08  1.059295315339357E-09 1566409
  33    1280.00    1320.00  1.384682156138253E-08  1.000031173650957E-09 1433379
  34    1320.00    1360.00  1.277813888097568E-08  9.465949447232065E-10 1310213
  35    1360.00    1400.00  1.027505543976366E-08  9.351892069020272E-10 1200707
  36    1400.00    1440.00  9.233966828073370E-09  7.492346275990243E-10 1103546
  37    1440.00    1480.00  7.825566787978901E-09  6.227109793237223E-10 1012508
  38    1480.00    1520.00  6.685020964941575E-09  6.834150942178971E-10 930648
