# title = Invariant Mass Jet Pair
# xlabel = $M_{\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  4.000E+02
# xmax=  2.000E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 80542
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      20.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      60.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     100.00     140.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     140.00     180.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     180.00     220.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     220.00     260.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     260.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
   8     300.00     340.00  0.000000000000000E+00  0.000000000000000E+00 0
   9     340.00     380.00  0.000000000000000E+00  0.000000000000000E+00 0
  10     380.00     420.00  0.000000000000000E+00  0.000000000000000E+00 0
  11     420.00     460.00  0.000000000000000E+00  0.000000000000000E+00 0
  12     460.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0
  13     500.00     540.00  5.263288647188275E-06  2.046644975958540E-08 24825040
  14     540.00     580.00  5.361235152528397E-06  2.040297984662968E-08 24446687
  15     580.00     620.00  5.353833658417363E-06  2.022130364290143E-08 23957080
  16     620.00     660.00  5.311662977119647E-06  2.021090190639211E-08 23382145
  17     660.00     700.00  5.210806577447584E-06  1.988244487097156E-08 22769646
  18     700.00     740.00  5.065974640320664E-06  1.981788443038981E-08 22131989
  19     740.00     780.00  4.913463814930097E-06  1.940890391881597E-08 21485450
  20     780.00     820.00  4.766894485008538E-06  1.918018839778517E-08 20825184
  21     820.00     860.00  4.573122791175681E-06  1.836737182669684E-08 20166774
  22     860.00     900.00  4.434829641972768E-06  1.833492141050688E-08 19523797
  23     900.00     940.00  4.219174009379722E-06  1.752552366366775E-08 18884186
  24     940.00     980.00  4.044928310914447E-06  1.698025903221653E-08 18273558
  25     980.00    1020.00  3.892291206201066E-06  1.665940206558663E-08 17663031
  26    1020.00    1060.00  3.658519977742099E-06  1.611406630276731E-08 17085981
  27    1060.00    1100.00  3.509199265012154E-06  1.644975649762346E-08 16515689
  28    1100.00    1140.00  3.366164279870664E-06  1.609344871894146E-08 15967407
