# title = CMS Energy
# xlabel = $\sqrt{\hat{s}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\sqrt{\hat{s}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 81115
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     600.00     700.00  0.000000000000000E+00  0.000000000000000E+00 0
   8     700.00     800.00  2.647392212773377E-24  2.002661762085401E-24 5
   9     800.00     900.00 -3.008429427185140E-24  7.901663685934707E-24 11
  10     900.00    1000.00 -2.458054434908586E-24  1.730450168581506E-23 18
  11    1000.00    1100.00  2.723889210411775E-24  2.572789956732418E-24 10
  12    1100.00    1200.00  4.139082160790128E-23  2.660229236770892E-23 32
  13    1200.00    1300.00 -2.209718552746175E-23  1.826724296639798E-23 31
  14    1300.00    1400.00 -1.815136994420469E-23  1.138417349069562E-23 19
  15    1400.00    1500.00 -6.675383144153472E-24  6.804337062943312E-24 23
  16    1500.00    1600.00  9.760740578567636E-24  1.034501194276462E-23 33
  17    1600.00    1700.00 -6.025648296950014E-24  8.039800843255099E-24 28
  18    1700.00    1800.00 -1.560302364889146E-23  1.113727961415358E-23 24
  19    1800.00    1900.00 -6.653445449535849E-23  6.434663098116447E-23 30
  20    1900.00    2000.00  1.781405010024773E-25  3.163315907334185E-24 22
  21    2000.00    2100.00 -1.648582804958442E-25  1.076385056843560E-24 34
  22    2100.00    2200.00 -1.958454264218736E-24  3.845017021015102E-24 24
  23    2200.00    2300.00 -9.591205510225818E-25  2.026012168235209E-24 35
  24    2300.00    2400.00  1.553644848643887E-24  3.600097240514199E-24 16
  25    2400.00    2500.00 -1.161653556427722E-24  3.911317863979423E-24 24
  26    2500.00    2600.00  3.311807347438031E-24  2.718671777576975E-24 21
  27    2600.00    2700.00 -1.334522703473023E-23  1.030099017648623E-23 21
  28    2700.00    2800.00  2.275758301541432E-24  3.300945043878388E-24 17
  29    2800.00    2900.00 -7.851940594518555E-25  6.862154523206814E-25 28
  30    2900.00    3000.00 -8.576899277822454E-25  5.081852111111895E-25 14
  31    3000.00    3100.00 -3.654580756354886E-25  1.277136520736981E-24 17
