# title = Rapidity Jet pair
# xlabel = $y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 81115
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0
   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0
   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0
   6      -3.25      -3.00  0.000000000000000E+00  0.000000000000000E+00 0
   7      -3.00      -2.75  0.000000000000000E+00  0.000000000000000E+00 0
   8      -2.75      -2.50  4.941721938572488E-24  4.941691477269589E-24 1
   9      -2.50      -2.25 -2.975572627071232E-21  3.056198811887121E-21 13
  10      -2.25      -2.00 -1.349464604026354E-22  1.392675219814552E-22 17
  11      -2.00      -1.75  4.724468847915827E-22  2.645618167014987E-21 21
  12      -1.75      -1.50 -1.234821929463095E-21  1.699189707252991E-21 34
  13      -1.50      -1.25  4.940387013210677E-23  1.879765673296030E-21 37
  14      -1.25      -1.00 -6.481282508241014E-21  6.633038330322726E-21 64
  15      -1.00      -0.75 -2.066140956407416E-20  2.648988179731629E-20 56
  16      -0.75      -0.50 -2.687910434923351E-21  4.824642133154212E-21 80
  17      -0.50      -0.25  1.163120732888368E-20  7.206360320523956E-21 94
  18      -0.25       0.00 -8.567459832697061E-22  9.476641214007729E-21 101
  19       0.00       0.25 -8.558978499090310E-21  5.691207989762825E-21 103
  20       0.25       0.50 -2.857745988481810E-21  2.737867383201980E-21 83
  21       0.50       0.75 -3.868945344996672E-21  4.895562745483894E-21 80
  22       0.75       1.00  1.694200224863750E-21  1.258768064723852E-21 61
  23       1.00       1.25 -1.005423854668191E-21  1.298028805171537E-21 55
  24       1.25       1.50 -6.163761378921868E-22  9.471898370668569E-22 37
  25       1.50       1.75 -1.665438457896100E-21  1.395160800919325E-21 33
  26       1.75       2.00 -1.968242347702249E-24  2.723259489170589E-22 17
  27       2.00       2.25  2.388458573558482E-23  5.401838904394076E-23 7
  28       2.25       2.50 -1.347817157583705E-22  8.632188644862060E-23 6
  29       2.50       2.75  0.000000000000000E+00  0.000000000000000E+00 0
  30       2.75       3.00 -2.131185288929521E-22  2.131172152075318E-22 1
  31       3.00       3.25  0.000000000000000E+00  0.000000000000000E+00 0
  32       3.25       3.50  0.000000000000000E+00  0.000000000000000E+00 0
  33       3.50       3.75  0.000000000000000E+00  0.000000000000000E+00 0
  34       3.75       4.00  0.000000000000000E+00  0.000000000000000E+00 0
  35       4.00       4.25  0.000000000000000E+00  0.000000000000000E+00 0
  36       4.25       4.50  0.000000000000000E+00  0.000000000000000E+00 0
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                      -1.0019845415281053E-20  7.9199181832123198E-21 1001
#=====================================================================================
