# title = Rapidity Softer Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = false
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 80542
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  4.730100677130810E-05  4.198156166882848E-07 20151058
   2      -4.25      -4.00  8.667757748129371E-05  6.116419024400689E-07 24232528
   3      -4.00      -3.75  1.497953707269958E-04  8.828274221859158E-07 27868278
   4      -3.75      -3.50  2.438210774395338E-04  1.209193270523080E-06 30910340
   5      -3.50      -3.25  3.648330628130245E-04  1.565386223521728E-06 33278027
   6      -3.25      -3.00  5.155011251923604E-04  2.009989713377471E-06 34866039
   7      -3.00      -2.75  6.848116419450643E-04  2.442357598122711E-06 35614694
   8      -2.75      -2.50  8.439917580064060E-04  2.823917055681901E-06 35404699
   9      -2.50      -2.25  9.737169463636480E-04  3.124282843791775E-06 34291712
  10      -2.25      -2.00  1.053387866198929E-03  3.382525841306684E-06 32411568
  11      -2.00      -1.75  1.076712410976113E-03  3.452067194772612E-06 29870172
  12      -1.75      -1.50  1.028684357464472E-03  3.370369017266854E-06 26746899
  13      -1.50      -1.25  9.136802061341215E-04  3.121814610471335E-06 23231027
  14      -1.25      -1.00  7.500217011154453E-04  2.839943372938549E-06 19625285
  15      -1.00      -0.75  5.748500896239814E-04  2.378367553794538E-06 16226095
  16      -0.75      -0.50  4.161722919527212E-04  2.013849506238950E-06 13316931
  17      -0.50      -0.25  2.945901161866866E-04  1.650740588654909E-06 11136241
  18      -0.25       0.00  2.199472951657659E-04  1.417502151457938E-06 9862935
  19       0.00       0.25  2.116584815134928E-04  1.470527652016802E-06 9614308
  20       0.25       0.50  2.601305491146621E-04  1.710892015786520E-06 10392836
  21       0.50       0.75  3.656587831395972E-04  2.140482073250421E-06 12140200
  22       0.75       1.00  5.157762641114734E-04  2.548544336141947E-06 14714430
  23       1.00       1.25  6.951291490153936E-04  3.006399660087972E-06 17854967
  24       1.25       1.50  8.584525001610059E-04  3.320760252977469E-06 21319679
  25       1.50       1.75  9.965010704984637E-04  3.746109320218578E-06 24791689
  26       1.75       2.00  1.072310008241540E-03  3.673589793085386E-06 27932479
  27       2.00       2.25  1.082340204830639E-03  3.694345076848355E-06 30513522
  28       2.25       2.50  1.033778156706092E-03  3.487991746925745E-06 32387319
  29       2.50       2.75  9.164758321566229E-04  3.454037687002273E-06 33393741
  30       2.75       3.00  7.609146247248376E-04  2.883791569868190E-06 33355412
  31       3.00       3.25  5.878741272705532E-04  2.253199162071979E-06 32203074
  32       3.25       3.50  4.264282695151095E-04  1.786709724282335E-06 30093426
  33       3.50       3.75  2.897893864200751E-04  1.378612910313008E-06 27161570
  34       3.75       4.00  1.849079209776545E-04  1.009540944193270E-06 23592033
  35       4.00       4.25  1.098404107926024E-04  7.185825938554674E-07 19630643
  36       4.25       4.50  5.962849890153148E-05  4.942675157023628E-07 15546902
# Underflow:                -2.2933011194205074E-23  1.5615150092776417E-23 25
# Overflow:                 -5.8098575321281227E-21  6.9902985963604488E-21 17
#-------------------------------------------------------------------------------------
# Sum:                       1.5854441107557584E-19  1.5354861780925953E-19 1001
#=====================================================================================
