# title = Total Transverse Energy without Gluon
# xlabel = $H_{\text{T},\text{no g}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}H_{\text{T},\text{no g}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  2.000E+03
# ymin=  1.000E-06
# ymax=  1.000E-03
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 81115
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      10.00      70.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      70.00     130.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     130.00     190.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     190.00     250.00  1.319326462655619E-24  1.274881575494384E-24 3
   5     250.00     310.00  2.239076834240532E-23  1.943702781382073E-23 9
   6     310.00     370.00 -9.892001686562437E-25  1.345932681496639E-23 27
   7     370.00     430.00  5.220923897040204E-24  2.697424511975198E-23 34
   8     430.00     490.00 -3.531910599429128E-23  3.813179736573742E-23 41
   9     490.00     550.00  3.262726727128428E-24  1.339682474247180E-23 39
  10     550.00     610.00 -1.097723399347003E-23  1.760353673456696E-23 29
  11     610.00     670.00 -1.086808348275072E-22  1.074952086458898E-22 39
  12     670.00     730.00  1.244885133839746E-23  2.155349458697821E-23 36
  13     730.00     790.00 -4.933959846533543E-23  3.305795519441264E-23 33
  14     790.00     850.00  1.356523276068279E-23  2.448669040082301E-23 33
  15     850.00     910.00 -4.556363163958558E-24  8.600366073507377E-24 42
  16     910.00     970.00  6.744380667844466E-24  6.151777107628738E-24 37
  17     970.00    1030.00 -7.097207874579244E-24  8.351362592421367E-24 26
  18    1030.00    1090.00  7.073227352808737E-24  5.699303352068236E-24 21
  19    1090.00    1150.00 -1.357075232489305E-23  1.567128972565835E-23 32
  20    1150.00    1210.00  9.214207413040533E-25  2.059872494870680E-24 28
  21    1210.00    1270.00 -2.253409177333186E-24  2.059498261245792E-24 19
  22    1270.00    1330.00 -2.344234789098977E-25  4.407090661239358E-25 10
