# title = Transverse Momentum Jet Pair
# xlabel = $p_{\text{T},\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-05
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 80542
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  6.073523689350191E-06  2.825684261624265E-08 19608426
   2      20.00      40.00  1.674021008373750E-05  4.399081247622997E-08 36649313
   3      40.00      60.00  2.439430684756967E-05  5.454341523859435E-08 42544973
   4      60.00      80.00  2.830043035742760E-05  5.761964734999334E-08 44570941
   5      80.00     100.00  2.909124504838870E-05  5.953032782399639E-08 44639866
   6     100.00     120.00  2.759463167438641E-05  5.694316258681464E-08 43460122
   7     120.00     140.00  2.491052652045881E-05  5.445995085202051E-08 41591166
   8     140.00     160.00  2.140228075640715E-05  5.110798644382534E-08 39333545
   9     160.00     180.00  1.802095160751932E-05  4.777677858516643E-08 36902300
  10     180.00     200.00  1.473086183532109E-05  4.269498060131575E-08 34416595
  11     200.00     220.00  1.177298963954899E-05  3.963839035534913E-08 32021674
  12     220.00     240.00  9.208300559356223E-06  3.566524592177501E-08 29740755
  13     240.00     260.00  7.051224456847001E-06  3.304623952343583E-08 27578571
  14     260.00     280.00  5.324287927234671E-06  2.956264440393326E-08 25566820
  15     280.00     300.00  3.982869270361233E-06  2.877571243279991E-08 23698516
  16     300.00     320.00  2.943835290995956E-06  2.503875811437744E-08 21962522
  17     320.00     340.00  2.229500055116105E-06  2.265380186540144E-08 20341704
  18     340.00     360.00  1.679950527413907E-06  2.059847726222165E-08 18833572
  19     360.00     380.00  1.225669924577370E-06  1.851579433874171E-08 17473432
  20     380.00     400.00  9.124142268421580E-07  1.679446957660485E-08 16217699
  21     400.00     420.00  6.695989152811907E-07  1.539372899081923E-08 15098094
  22     420.00     440.00  4.816675730504007E-07  1.396980733645388E-08 14063459
  23     440.00     460.00  3.661468138944256E-07  1.281622985027034E-08 13109553
  24     460.00     480.00  2.244144609999068E-07  1.117852905447613E-08 12243494
  25     480.00     500.00  1.593540418656814E-07  1.029709215796143E-08 11451930
  26     500.00     520.00  1.195118253220684E-07  9.411120737682677E-09 10718988
  27     520.00     540.00  5.630271312793559E-08  8.383699321932591E-09 10053082
  28     540.00     560.00  5.583506694631445E-08  7.926714307309754E-09 9435278
  29     560.00     580.00 -7.650088055665757E-09  7.027221653775248E-09 8863753
  30     580.00     600.00 -1.592463122617364E-08  6.365282669162329E-09 8335449
  31     600.00     620.00 -2.907743977640490E-08  5.676971286292889E-09 7851749
  32     620.00     640.00 -3.940818159937715E-08  5.163134730678666E-09 7398513
  33     640.00     660.00 -4.427428938886282E-08  4.804234933994481E-09 6979943
  34     660.00     680.00 -3.622338160977854E-08  4.429792858021517E-09 6590522
  35     680.00     700.00 -4.149738705781022E-08  4.113610748134114E-09 6229700
  36     700.00     720.00 -3.851066286687065E-08  3.698664936293754E-09 5889691
  37     720.00     740.00 -4.391296644541816E-08  3.388392184375674E-09 5571639
  38     740.00     760.00 -4.445330049764339E-08  2.995335611123271E-09 5284914
  39     760.00     780.00 -3.937250537174471E-08  2.828097011394047E-09 5004262
  40     780.00     800.00 -4.025638845283332E-08  2.522584494050853E-09 4744518
  41     800.00     820.00 -3.854206761254692E-08  2.339100264923692E-09 4511735
  42     820.00     840.00 -3.002308008686350E-08  2.159278975982438E-09 4277717
  43     840.00     860.00 -3.147687861114213E-08  1.974718771850384E-09 4064782
  44     860.00     880.00 -2.629845590778126E-08  1.729417457057976E-09 3864913
  45     880.00     900.00 -2.553601963989583E-08  1.733988833824768E-09 3678151
  46     900.00     920.00 -2.627160934872829E-08  1.498944306733912E-09 3502142
  47     920.00     940.00 -2.204314941778289E-08  1.366552864189001E-09 3332855
  48     940.00     960.00 -1.990951696479345E-08  1.328341780308501E-09 3179075
  49     960.00     980.00 -1.909871660650963E-08  1.137605100733145E-09 3030049
  50     980.00    1000.00 -1.629727662669808E-08  1.131884439619842E-09 2888589
  51    1000.00    1020.00 -1.600688658534605E-08  1.001743630510980E-09 2755627
  52    1020.00    1040.00 -1.328842956329504E-08  9.102188527776654E-10 2630304
  53    1040.00    1060.00 -1.269303345891445E-08  8.273430098714690E-10 2513616
  54    1060.00    1080.00 -1.120790386096657E-08  7.821983291692338E-10 2400080
  55    1080.00    1100.00 -1.041951726815408E-08  6.788551129585667E-10 2294523
  56    1100.00    1120.00 -8.849874080279354E-09  6.709501053246784E-10 2192226
  57    1120.00    1140.00 -8.319040279200904E-09  6.077569655368384E-10 2098485
  58    1140.00    1160.00 -8.133647305608301E-09  5.306659633890437E-10 2006839
  59    1160.00    1180.00 -7.765075693427491E-09  5.445415803045198E-10 1919462
  60    1180.00    1200.00 -6.061599116216765E-09  4.799208654103237E-10 1841610
  61    1200.00    1220.00 -5.481877294296249E-09  4.456495428869494E-10 1762490
  62    1220.00    1240.00 -5.481042566575947E-09  3.962205957290035E-10 1688175
  63    1240.00    1260.00 -4.008839932755609E-09  3.896720223383290E-10 1617541
  64    1260.00    1280.00 -4.083461540071042E-09  3.435709850949581E-10 1548848
  65    1280.00    1300.00 -3.858323889461954E-09  3.040134566165910E-10 1489606
  66    1300.00    1320.00 -3.358674284046676E-09  2.992385168207814E-10 1426175
  67    1320.00    1340.00 -2.891085120046487E-09  2.690068855575172E-10 1368571
  68    1340.00    1360.00 -3.062258072285045E-09  2.337545865005195E-10 1314978
  69    1360.00    1380.00 -2.519180085134835E-09  2.404501268290376E-10 1261271
  70    1380.00    1400.00 -2.057720722803206E-09  2.099296781830295E-10 1212491
  71    1400.00    1420.00 -2.083830485096673E-09  1.939227943500738E-10 1163805
  72    1420.00    1440.00 -1.887260762620253E-09  1.864844877301200E-10 1120415
