# title = Transverse Momentum Jet Pair
# xlabel = $p_{\text{T},\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-05
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 81115
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  7.557972223918433E-25  6.976236178708746E-25 9
   2      20.00      40.00  5.920043377663844E-25  8.807820041259200E-24 17
   3      40.00      60.00  1.140248061254022E-22  9.189107788248331E-23 36
   4      60.00      80.00 -4.919947781928928E-22  3.379007430917802E-22 37
   5      80.00     100.00 -8.296566304629357E-24  6.472170279346721E-23 37
   6     100.00     120.00  4.419373606729611E-23  6.162875543942109E-23 50
   7     120.00     140.00  1.109968708247252E-23  2.493047826057919E-23 37
   8     140.00     160.00  2.954974643356033E-23  2.460711885359599E-23 39
   9     160.00     180.00 -4.864941192357233E-23  5.526700395293522E-23 42
  10     180.00     200.00 -5.670591102513229E-23  4.094406102264968E-23 38
  11     200.00     220.00  1.496255422512662E-23  1.973326200651701E-23 43
  12     220.00     240.00 -4.666206315363656E-23  2.402188414484582E-23 34
  13     240.00     260.00  3.863465458700238E-23  5.799720608148544E-23 28
  14     260.00     280.00 -7.381319850873337E-24  3.197886951118286E-23 31
  15     280.00     300.00 -1.192026141785164E-23  2.854542798815524E-23 26
  16     300.00     320.00 -7.238483436663814E-23  7.987127484513083E-23 13
  17     320.00     340.00  7.590351703225806E-23  7.041943412660691E-23 16
  18     340.00     360.00  1.230005119006771E-24  1.426276194443384E-24 19
  19     360.00     380.00 -2.920333969253781E-24  5.958747189473571E-24 17
  20     380.00     400.00  3.294125612956858E-24  8.141163389524422E-24 17
  21     400.00     420.00 -1.641947651916657E-23  1.341581036266445E-23 24
  22     420.00     440.00 -5.335947805183521E-23  4.709426001670238E-23 14
  23     440.00     460.00 -1.798512741279765E-24  1.658676953737795E-24 14
  24     460.00     480.00 -2.501546118182452E-24  2.293922253358961E-24 16
  25     480.00     500.00  4.107935532183332E-25  1.504519408760252E-24 13
  26     500.00     520.00 -5.932012178944963E-25  6.851731430608359E-25 12
  27     520.00     540.00 -6.363791837658984E-24  6.227282377644655E-24 14
  28     540.00     560.00 -3.068808607691353E-24  3.635318586781298E-24 16
  29     560.00     580.00  4.041256582471629E-24  5.059649886746967E-24 18
  30     580.00     600.00  4.451933857173579E-25  6.397023516796672E-25 10
  31     600.00     620.00  7.802426890749473E-25  6.485207741747045E-25 11
  32     620.00     640.00  1.462797173525555E-25  2.067819216248437E-25 4
  33     640.00     660.00  7.251297813318492E-26  3.051640286141753E-25 9
  34     660.00     680.00  4.001456935136833E-24  3.588910800403720E-24 9
  35     680.00     700.00 -6.651819390670080E-25  6.450241763153344E-25 6
  36     700.00     720.00  4.592258301027567E-26  4.881773223883917E-26 5
  37     720.00     740.00 -6.848410356663542E-24  6.848322011092611E-24 5
  38     740.00     760.00  2.041058376062774E-27  3.779153981887263E-26 3
  39     760.00     780.00 -2.430865261277520E-24  2.537299145285467E-24 6
  40     780.00     800.00 -4.477997515989462E-29  1.027095655175895E-28 4
  41     800.00     820.00 -1.682164267563874E-26  1.769366230813909E-25 8
  42     820.00     840.00 -3.263182077956732E-26  3.149675006296975E-26 5
  43     840.00     860.00 -1.307852376766732E-25  7.675574298368027E-26 7
  44     860.00     880.00 -1.170704222632056E-24  8.730207117031377E-25 11
  45     880.00     900.00 -1.014862447324260E-25  1.019196531666592E-25 4
