# title = Missing Transverse Momentum
# xlabel = $p_{\text{T},\text{miss}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{miss}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin=  0.000E+00
# kmax=  1.000E+02
# logscale = true
# Renormalization and factorization scale scaled by: .5000000000
# Renormalization scaled by: .5000000000
# Number of generated events: 80542
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      10.00      30.00  7.920237421582789E-05  1.062487314681327E-07 168630161
   2      30.00      50.00  6.731936499143441E-05  9.336927780535156E-08 182722660
   3      50.00      70.00  4.035238286601383E-05  7.329722066815542E-08 114796478
   4      70.00      90.00  2.245542315871268E-05  5.488608626874472E-08 74380696
   5      90.00     110.00  1.277946697058735E-05  4.030200517515682E-08 52160466
   6     110.00     130.00  7.751273381452126E-06  3.064719753708837E-08 39623766
   7     130.00     150.00  4.997439121227699E-06  2.424136083611026E-08 31281166
   8     150.00     170.00  3.288895853134713E-06  2.030126067463834E-08 25305969
   9     170.00     190.00  2.194554684204141E-06  1.643553595379656E-08 20878719
  10     190.00     210.00  1.525331438566216E-06  1.252135664161896E-08 17476753
  11     210.00     230.00  1.067932540061070E-06  1.028030566466434E-08 14809346
  12     230.00     250.00  7.372206635069686E-07  8.326867270946717E-09 12680498
  13     250.00     270.00  5.372865203014546E-07  6.862856965818772E-09 10947796
  14     270.00     290.00  3.980107482757305E-07  5.849593417608750E-09 9528921
  15     290.00     310.00  2.862563046586677E-07  4.815213228129931E-09 8352177
  16     310.00     330.00  2.181501537210166E-07  4.063174866510592E-09 7352670
  17     330.00     350.00  1.597114874076981E-07  3.448879119841075E-09 6517764
  18     350.00     370.00  1.245973031596373E-07  3.133125096968553E-09 5801828
  19     370.00     390.00  8.912414808250316E-08  2.441981728921944E-09 5188686
  20     390.00     410.00  6.811189103955700E-08  2.044447118258364E-09 4655164
  21     410.00     430.00  5.150913404936451E-08  1.863010676837057E-09 4187033
  22     430.00     450.00  4.134927057053575E-08  1.510605260294183E-09 3786456
  23     450.00     470.00  3.210046127141089E-08  1.390415412006069E-09 3433503
  24     470.00     490.00  2.478530284061757E-08  1.202666016497124E-09 3121455
  25     490.00     510.00  2.013310054935984E-08  1.012461979811520E-09 2843138
  26     510.00     530.00  1.363018009888976E-08  8.334395039473054E-10 2595709
  27     530.00     550.00  1.082932091417970E-08  7.141471888544117E-10 2375980
  28     550.00     570.00  9.590067451309924E-09  7.262758618647639E-10 2177944
  29     570.00     590.00  7.320901703628291E-09  5.815517892535623E-10 2003674
  30     590.00     610.00  4.749031722775380E-09  4.900551615773524E-10 1846104
  31     610.00     630.00  5.297751927107735E-09  4.318268958434296E-10 1700684
  32     630.00     650.00  3.427596375681661E-09  3.720260287377864E-10 1569914
  33     650.00     670.00  2.678497684658015E-09  3.298080030999541E-10 1451470
  34     670.00     690.00  2.193609449508659E-09  2.834878939895737E-10 1348033
  35     690.00     710.00  1.708540751652964E-09  2.567920185152206E-10 1249111
  36     710.00     730.00  1.362523546676561E-09  2.180101002084300E-10 1160360
  37     730.00     750.00  1.194326131524964E-09  2.180608048604618E-10 1079723
  38     750.00     770.00  9.192199361986801E-10  1.877982158080678E-10 1004333
  39     770.00     790.00  5.755664510751544E-10  1.636935979531849E-10 937766
  40     790.00     810.00  5.020561012512773E-10  1.369007060912260E-10 872519
  41     810.00     830.00  4.521775674386190E-10  1.206483570862286E-10 816657
  42     830.00     850.00  3.369563088739244E-10  1.080382987821090E-10 764447
  43     850.00     870.00  3.139030899119999E-10  1.005983678932386E-10 714066
  44     870.00     890.00  1.731186201826961E-10  8.567568385715435E-11 672310
  45     890.00     910.00  2.890207839392067E-10  1.126766855257576E-10 628882
  46     910.00     930.00  1.983975699126887E-10  6.817495164251832E-11 589723
  47     930.00     950.00  3.689647217721153E-11  5.544473680047751E-11 553406
  48     950.00     970.00  1.055274729126051E-10  5.204817846051456E-11 521056
  49     970.00     990.00  2.297332882426504E-11  4.428165648727341E-11 488142
  50     990.00    1010.00  3.102997924960307E-11  4.059255664721974E-11 460362
  51    1010.00    1030.00 -2.065918370609901E-11  3.607735581247063E-11 433698
  52    1030.00    1050.00 -2.065629437221461E-11  3.436100735628190E-11 408486
  53    1050.00    1070.00  8.336968863927946E-12  2.850836794374446E-11 385708
  54    1070.00    1090.00 -3.205921001399940E-11  2.666367006298629E-11 363196
  55    1090.00    1110.00 -5.914476998972822E-12  2.349706008313411E-11 342927
  56    1110.00    1130.00 -4.011102536240835E-11  1.882279463987634E-11 324290
  57    1130.00    1150.00 -2.008008789950843E-11  2.032231731183293E-11 306082
  58    1150.00    1170.00 -4.229200571416272E-12  1.602840724236583E-11 289268
  59    1170.00    1190.00  9.622741184977032E-12  1.403593563794839E-11 274670
  60    1190.00    1210.00 -6.331318748994759E-12  1.372191968159076E-11 260315
  61    1210.00    1230.00 -2.793977149806837E-12  1.166966067421969E-11 245355
  62    1230.00    1250.00  1.334967404967258E-11  1.132974542491629E-11 233384
  63    1250.00    1270.00 -8.324507827185945E-13  8.581716674370117E-12 221629
