# title = Azimuthal Angle between Muon and anti-Muon
# xlabel = $\phi_{\mu^+\mu^-}\,$[$^{\circ}$]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\phi_{\mu^+\mu^-}}\,\left[\frac{\text{fb}}{\text{$^{\circ}$}}\right]$
# xmin=  0.000E+00
# xmax=  3.142E+00
# ymin=  1.000E-01
# ymax=  2.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 901691205
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       0.08  2.236696083615409E-04  5.945457462752670E-06 57563728	   1       0.00       0.08  1.918522817733526E-04  5.079098605899105E-06 57563728	   1       0.00       0.08  2.639119025330508E-04  7.058728679097173E-06 57563728
   2       0.08       0.16  2.860621562137187E-04  6.533109037578432E-06 61143443	   2       0.08       0.16  2.447310220434257E-04  5.574946330721480E-06 61143443	   2       0.08       0.16  3.385510561764681E-04  7.765112824057826E-06 61143443
   3       0.16       0.24  4.300160165722963E-04  7.006513177638344E-06 58424491	   3       0.16       0.24  3.660367997512614E-04  5.971858899798692E-06 58424491	   3       0.16       0.24  5.118105057344765E-04  8.338773299745251E-06 58424491
   4       0.24       0.31  6.912878060800152E-04  8.243862002377134E-06 53564761	   4       0.24       0.31  5.866630763683474E-04  7.024572534902332E-06 53564761	   4       0.24       0.31  8.256379303226780E-04  9.813322380401151E-06 53564761
   5       0.31       0.39  1.039747697322115E-03  9.289902143864866E-06 48582873	   5       0.31       0.39  8.817893811627961E-04  7.914462328538728E-06 48582873	   5       0.31       0.39  1.242932284679115E-03  1.106125031400608E-05 48582873
   6       0.39       0.47  1.455039530164248E-03  1.053009970700952E-05 44070092	   6       0.39       0.47  1.236218877872737E-03  8.976223793672330E-06 44070092	   6       0.39       0.47  1.736234762727142E-03  1.252954051731125E-05 44070092
   7       0.47       0.55  1.849139100507615E-03  1.165934868041575E-05 40114664	   7       0.47       0.55  1.573692501246968E-03  9.942205037419550E-06 40114664	   7       0.47       0.55  2.202757962577943E-03  1.386869787635923E-05 40114664
   8       0.55       0.63  2.180509075472822E-03  1.223971095188448E-05 36641064	   8       0.55       0.63  1.859412283503358E-03  1.045743632167483E-05 36641064	   8       0.55       0.63  2.592153295125330E-03  1.452874531648790E-05 36641064
   9       0.63       0.71  2.479372966776376E-03  1.299288961177711E-05 33648846	   9       0.63       0.71  2.118166120551302E-03  1.112464541876913E-05 33648846	   9       0.63       0.71  2.941844033923033E-03  1.538613497123903E-05 33648846
  10       0.71       0.79  2.732302367327696E-03  1.390852278819620E-05 31031194	  10       0.71       0.79  2.337943117111017E-03  1.187317803826242E-05 31031194	  10       0.71       0.79  3.236652010741904E-03  1.652749152780770E-05 31031194
  11       0.79       0.86  2.889094642568189E-03  1.373330081159022E-05 28731013	  11       0.79       0.86  2.475539415849521E-03  1.176288017319377E-05 28731013	  11       0.79       0.86  3.417435638447841E-03  1.625864560244295E-05 28731013
  12       0.86       0.94  3.027705748478418E-03  1.417371775061673E-05 26720763	  12       0.86       0.94  2.597367672649971E-03  1.214874281527376E-05 26720763	  12       0.86       0.94  3.577032696298639E-03  1.676540701485980E-05 26720763
  13       0.94       1.02  3.088072608859065E-03  1.403534256314981E-05 24954286	  13       0.94       1.02  2.651790234644839E-03  1.204696739729613E-05 24954286	  13       0.94       1.02  3.644628098845747E-03  1.657858136341015E-05 24954286
  14       1.02       1.10  3.081593149558013E-03  1.368367178469543E-05 23392084	  14       1.02       1.10  2.648984901209447E-03  1.175575760484575E-05 23392084	  14       1.02       1.10  3.633049307883642E-03  1.614714471211170E-05 23392084
  15       1.10       1.18  3.108032134343715E-03  1.370340336276704E-05 22003976	  15       1.10       1.18  2.673885060390244E-03  1.177559922843338E-05 22003976	  15       1.10       1.18  3.661114621968979E-03  1.616652034200530E-05 22003976
  16       1.18       1.26  3.093408253701772E-03  1.404672459753668E-05 20782727	  16       1.18       1.26  2.662722155972415E-03  1.207513289663016E-05 20782727	  16       1.18       1.26  3.641889470539215E-03  1.656332462297968E-05 20782727
  17       1.26       1.33  3.047619246395879E-03  1.475697099820543E-05 19709769	  17       1.26       1.33  2.625087772420388E-03  1.266257034892044E-05 19709769	  17       1.26       1.33  3.585450139601049E-03  1.743733967529257E-05 19709769
  18       1.33       1.41  2.961417136582504E-03  1.359863499361039E-05 18766665	  18       1.33       1.41  2.552403773239086E-03  1.169735188208738E-05 18766665	  18       1.33       1.41  3.481833627588111E-03  1.602717085506305E-05 18766665
  19       1.41       1.49  2.946438433773496E-03  1.349804772424036E-05 17930417	  19       1.41       1.49  2.540246339573219E-03  1.159214174728465E-05 17930417	  19       1.41       1.49  3.463209512134866E-03  1.593650588143718E-05 17930417
  20       1.49       1.57  2.820325841984050E-03  1.312953565001684E-05 17189055	  20       1.49       1.57  2.433247058054540E-03  1.130377610946355E-05 17189055	  20       1.49       1.57  3.312463930715010E-03  1.545778014770885E-05 17189055
  21       1.57       1.65  2.743106628437679E-03  1.289097470011378E-05 16553748	  21       1.57       1.65  2.366799978165733E-03  1.109013960058162E-05 16553748	  21       1.57       1.65  3.221618943366908E-03  1.518955540745845E-05 16553748
  22       1.65       1.73  2.702094922032865E-03  1.297480916708079E-05 16013198	  22       1.65       1.73  2.332455362289655E-03  1.117711410081240E-05 16013198	  22       1.65       1.73  3.171946162395770E-03  1.526594669462760E-05 16013198
  23       1.73       1.81  2.610034604265254E-03  1.365137426920216E-05 15538065	  23       1.73       1.81  2.254271891312218E-03  1.175046683745466E-05 15538065	  23       1.73       1.81  3.062007174771574E-03  1.607276469567981E-05 15538065
  24       1.81       1.89  2.528435402719244E-03  1.221917893511869E-05 15153360	  24       1.81       1.89  2.184095241548941E-03  1.051514840068775E-05 15153360	  24       1.81       1.89  2.965912625148567E-03  1.439479472359923E-05 15153360
  25       1.89       1.96  2.439757796672683E-03  1.166730116427850E-05 14823943	  25       1.89       1.96  2.107801229287949E-03  1.003862433327912E-05 14823943	  25       1.89       1.96  2.861508882107538E-03  1.374703282844995E-05 14823943
  26       1.96       2.04  2.364210349157600E-03  1.181530891927847E-05 14592383	  26       1.96       2.04  2.042989627810996E-03  1.016838196644685E-05 14592383	  26       1.96       2.04  2.772248627440986E-03  1.391837368730456E-05 14592383
  27       2.04       2.12  2.320768545001267E-03  1.341328668517620E-05 14424768	  27       2.04       2.12  2.006127568453607E-03  1.157120363670556E-05 14424768	  27       2.04       2.12  2.720313215290926E-03  1.575408205114201E-05 14424768
  28       2.12       2.20  2.241758366397393E-03  1.118008411089254E-05 14314624	  28       2.12       2.20  1.938099401744506E-03  9.627776940296549E-06 14314624	  28       2.12       2.20  2.627332738703061E-03  1.316002789448742E-05 14314624
  29       2.20       2.28  2.162854897267476E-03  1.082301760522217E-05 14279767	  29       2.20       2.28  1.870057514121784E-03  9.314133927875623E-06 14279767	  29       2.20       2.28  2.534663176067208E-03  1.274949550750443E-05 14279767
  30       2.28       2.36  2.106999496796444E-03  1.076827766153914E-05 14322313	  30       2.28       2.36  1.822212702088954E-03  9.275145992493402E-06 14322313	  30       2.28       2.36  2.468531570112203E-03  1.267276435468288E-05 14322313
  31       2.36       2.44  2.082633417255027E-03  1.105623879313716E-05 14427817	  31       2.36       2.44  1.800978130191427E-03  9.511337655964847E-06 14427817	  31       2.36       2.44  2.440263383051884E-03  1.302946743020932E-05 14427817
  32       2.44       2.51  2.011622915614034E-03  1.102667501868179E-05 14623787	  32       2.44       2.51  1.739888334644279E-03  9.501565727736312E-06 14623787	  32       2.44       2.51  2.356621837098008E-03  1.296976926137779E-05 14623787
  33       2.51       2.59  2.006259219005249E-03  1.062913894041538E-05 14905063	  33       2.51       2.59  1.735538274551732E-03  9.154942321287396E-06 14905063	  33       2.51       2.59  2.349904288011658E-03  1.250929666281566E-05 14905063
  34       2.59       2.67  1.955997850801408E-03  1.067401435216492E-05 15263754	  34       2.59       2.67  1.691962670682795E-03  9.196464526636152E-06 15263754	  34       2.59       2.67  2.291197891816891E-03  1.255671128708830E-05 15263754
  35       2.67       2.75  1.928565117804835E-03  1.005890741734471E-05 15743163	  35       2.67       2.75  1.668238697549867E-03  8.661936244236644E-06 15743163	  35       2.67       2.75  2.259078938167426E-03  1.184141557656338E-05 15743163
