# title = Cosine of Angle between two jets
# xlabel = $\cos\theta_{\text{j}_1\text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\cos\theta_{\text{j}_1\text{j}_2}}\,[\text{fb}]$
# xmin= -1.000E+00
# xmax=  1.000E+00
# ymin=  1.000E-04
# ymax=  2.000E+00
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 901691205
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -1.00      -0.90  4.324786778365693E-02  3.990799366663853E-05 439288585	   1      -1.00      -0.90  3.715305411744389E-02  3.425934792900424E-05 439288585	   1      -1.00      -0.90  5.103570831984706E-02  4.713642742096803E-05 439288585
   2      -0.90      -0.80  1.049192021490463E-02  2.325852632267821E-05 146579982	   2      -0.90      -0.80  9.092396085772097E-03  2.004034757899472E-05 146579982	   2      -0.90      -0.80  1.225636184330357E-02  2.735439139905416E-05 146579982
   3      -0.80      -0.70  4.470654210400994E-03  1.751163169387898E-05 89498818	   3      -0.80      -0.70  3.875065080278534E-03  1.507302953684041E-05 89498818	   3      -0.80      -0.70  5.221580440622739E-03  2.061825202850101E-05 89498818
   4      -0.70      -0.60  2.255649303139998E-03  1.494271735026183E-05 62664947	   4      -0.70      -0.60  1.953270416745227E-03  1.286376189357690E-05 62664947	   4      -0.70      -0.60  2.637725571329894E-03  1.759157565200089E-05 62664947
   5      -0.60      -0.50  1.328431615679479E-03  1.316672103865822E-05 46835962	   5      -0.60      -0.50  1.148601352430639E-03  1.131234516702266E-05 46835962	   5      -0.60      -0.50  1.556384823149434E-03  1.553425414196355E-05 46835962
   6      -0.50      -0.40  1.072391166190756E-03  1.123222124216841E-05 35968330	   6      -0.50      -0.40  9.267472729940450E-04  9.646667730669655E-06 35968330	   6      -0.50      -0.40  1.257128455322915E-03  1.325777480514048E-05 35968330
   7      -0.40      -0.30  1.045959182216767E-03  9.666396712288767E-06 28371046	   7      -0.40      -0.30  9.027222713114393E-04  8.297243970641428E-06 28371046	   7      -0.40      -0.30  1.227773154598454E-03  1.141672166797341E-05 28371046
   8      -0.30      -0.20  8.886055302749814E-04  8.519694938526366E-06 23513634	   8      -0.30      -0.20  7.664351020231540E-04  7.304694953925702E-06 23513634	   8      -0.30      -0.20  1.043761764109242E-03  1.007582713145180E-05 23513634
   9      -0.20      -0.10  7.384526261824903E-04  7.676569553640344E-06 20032045	   9      -0.20      -0.10  6.361738211597848E-04  6.569096316693834E-06 20032045	   9      -0.20      -0.10  8.685259883345705E-04  9.098433007183688E-06 20032045
  10      -0.10       0.00  6.077230997922704E-04  6.845565896315815E-06 17396346	  10      -0.10       0.00  5.229054526637816E-04  5.855433910128393E-06 17396346	  10      -0.10       0.00  7.157619994064426E-04  8.117094600254488E-06 17396346
  11       0.00       0.10  5.102007109886402E-04  6.223309098578251E-06 15306394	  11       0.00       0.10  4.387104357090508E-04  5.318057479814196E-06 15306394	  11       0.00       0.10  6.013287218307878E-04  7.387479937446632E-06 15306394
  12       0.10       0.20  4.314387891822416E-04  5.567876134737541E-06 13611354	  12       0.10       0.20  3.700430986088331E-04  4.747596167507253E-06 13611354	  12       0.10       0.20  5.099415391500943E-04  6.625956221031603E-06 13611354
  13       0.20       0.30  3.515324737318402E-04  5.094771899233007E-06 12199667	  13       0.20       0.30  3.009891743744999E-04  4.328316336580622E-06 12199667	  13       0.20       0.30  4.163236409894489E-04  6.089563213333891E-06 12199667
  14       0.30       0.40  2.790422385181694E-04  4.350370649976830E-06 10965491	  14       0.30       0.40  2.383776624854964E-04  3.690730319192164E-06 10965491	  14       0.30       0.40  3.313106225919893E-04  5.207908765827569E-06 10965491
  15       0.40       0.50  2.213728513875367E-04  3.962440223487459E-06 9859310	  15       0.40       0.50  1.887442062075878E-04  3.352393656641821E-06 9859310	  15       0.40       0.50  2.634135884297948E-04  4.758199963796404E-06 9859310
  16       0.50       0.60  1.660280660718463E-04  3.463474299010312E-06 8811348	  16       0.50       0.60  1.412979222829700E-04  2.923147513237875E-06 8811348	  16       0.50       0.60  1.979569604303991E-04  4.170233747317943E-06 8811348
