# title = Cosine of Angle between two jets
# xlabel = $\cos\theta_{\text{j}_1\text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\cos\theta_{\text{j}_1\text{j}_2}}\,[\text{fb}]$
# xmin= -1.000E+00
# xmax=  1.000E+00
# ymin=  1.000E-04
# ymax=  2.000E+00
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 78738
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -1.00      -0.90 -7.340802845745613E-20  8.368823183636572E-20 360	   1      -1.00      -0.90 -4.717826446313496E-20  7.120540511006763E-20 360	   1      -1.00      -0.90 -6.489142241200002E-20  9.882994031200952E-20 360
   2      -0.90      -0.80 -2.344278241234932E-19  2.097552499466544E-19 170	   2      -0.90      -0.80 -2.037383428204632E-19  1.797719162004596E-19 170	   2      -0.90      -0.80 -2.496200765919887E-19  2.312178942598278E-19 170
   3      -0.80      -0.70  9.069002647804766E-21  1.005143265358174E-20 102	   3      -0.80      -0.70  1.006911396346250E-20  9.580939454818977E-21 102	   3      -0.80      -0.70  1.129186501672654E-20  1.459457077734170E-20 102
   4      -0.70      -0.60 -1.637654475151624E-20  2.217099296987101E-20 57	   4      -0.70      -0.60 -1.498618908779711E-20  1.873843179624620E-20 57	   4      -0.70      -0.60 -1.880175873993220E-20  2.760804972368528E-20 57
   5      -0.60      -0.50 -1.428828161440631E-20  1.010001990022880E-20 41	   5      -0.60      -0.50 -1.859244120921025E-20  1.073082598347121E-20 41	   5      -0.60      -0.50 -2.829892681731148E-20  1.549689175942960E-20 41
   6      -0.50      -0.40  6.209205274718172E-21  5.932653589719071E-21 41	   6      -0.50      -0.40  8.415096713594895E-21  7.930229502990338E-21 41	   6      -0.50      -0.40  8.443419783363306E-21  7.578857787910578E-21 41
   7      -0.40      -0.30  6.609613566878246E-22  5.374451340040765E-21 36	   7      -0.40      -0.30  1.041659795253949E-21  4.818682868268901E-21 36	   7      -0.40      -0.30  3.265892621401005E-22  6.308672756804137E-21 36
   8      -0.30      -0.20  2.460095572398428E-21  5.287535257934062E-21 30	   8      -0.30      -0.20  2.226298600143104E-21  4.672331712597406E-21 30	   8      -0.30      -0.20  4.552163461454553E-21  6.513885796631815E-21 30
   9      -0.20      -0.10  1.622454893422517E-21  2.365065284478934E-21 21	   9      -0.20      -0.10  1.449611014677479E-21  1.907018303873184E-21 21	   9      -0.20      -0.10  1.995327028813562E-21  2.789529198322630E-21 21
  10      -0.10       0.00 -3.470415085033142E-21  2.804662062420980E-21 23	  10      -0.10       0.00 -2.103066551739176E-21  2.092605555059406E-21 23	  10      -0.10       0.00 -3.981538949148876E-21  3.626348089827861E-21 23
  11       0.00       0.10  1.548995557512946E-22  7.332404241047210E-22 23	  11       0.00       0.10  6.142832486852536E-23  6.096066085606210E-22 23	  11       0.00       0.10 -2.069548279238182E-22  9.782089580041004E-22 23
  12       0.10       0.20 -4.633310650441526E-22  6.998159436541146E-22 20	  12       0.10       0.20 -5.282262437765072E-22  5.800758116272933E-22 20	  12       0.10       0.20 -6.896298683263241E-22  8.318585133566734E-22 20
  13       0.20       0.30  6.559338367931794E-22  8.005164379978110E-22 8	  13       0.20       0.30  3.463784578092247E-22  6.597747517835768E-22 8	  13       0.20       0.30  1.016552009634515E-21  1.108849398843277E-21 8
  14       0.30       0.40 -1.406656544913275E-23  2.179490950686783E-22 15	  14       0.30       0.40 -5.905673939993788E-23  2.088460289251145E-22 15	  14       0.30       0.40 -1.024201103734908E-23  2.706986035407355E-22 15
  15       0.40       0.50  8.235830753765743E-22  5.689795493809136E-22 16	  15       0.40       0.50  7.034917017850914E-22  4.642178269390691E-22 16	  15       0.40       0.50  1.042668621751406E-21  6.814726141453680E-22 16
  16       0.50       0.60 -2.017581054638674E-22  1.598845320647923E-22 8	  16       0.50       0.60 -1.010673700221798E-22  7.935421442952633E-23 8	  16       0.50       0.60 -2.480773386040437E-22  2.067915524418439E-22 8
  17       0.60       0.70  2.530759641021972E-22  2.358750794125253E-22 11	  17       0.60       0.70  3.038783576222831E-23  3.132423524125926E-23 11	  17       0.60       0.70  1.707973047935137E-22  1.615317742292786E-22 11
  18       0.70       0.80 -5.225246167819604E-23  3.561919305851838E-22 8	  18       0.70       0.80 -5.910836820079398E-23  3.471377163321056E-22 8	  18       0.70       0.80 -1.336940544761057E-22  4.989632827304022E-22 8
  19       0.80       0.90  1.335807181854906E-21  1.039889276384468E-21 10	  19       0.80       0.90  1.034248944710941E-21  8.365237283718019E-22 10	  19       0.80       0.90  1.643069650947091E-21  1.281200057910754E-21 10
  20       0.90       1.00 -2.188707127316462E-25  2.188693228601250E-25 1	  20       0.90       1.00 -2.430166807730886E-25  2.430151375699822E-25 1	  20       0.90       1.00 -3.619586849069981E-25  3.619563863990720E-25 1
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
# Sum:                      -3.1945770174134331E-20  2.2760581571716565E-20 1001
#=====================================================================================	#=====================================================================================	#=====================================================================================
