# title = Cosine of Angle between Muon and anti-Muon
# xlabel = $\cos\theta_{\text{e}^+\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\cos\theta_{\text{e}^+\mu^-}}\,[\text{fb}]$
# xmin= -1.000E+00
# xmax=  1.000E+00
# ymin=  1.000E-04
# ymax=  2.000E+00
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 78738
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -1.00      -0.90  1.791145535556967E-21  2.463735132072199E-21 7	   1      -1.00      -0.90  1.898547323997616E-21  2.275421315423208E-21 7	   1      -1.00      -0.90  3.197315914290533E-21  3.351747447008591E-21 7
   2      -0.90      -0.80 -4.384717345091388E-21  8.654638176254722E-21 9	   2      -0.90      -0.80 -5.656834649434421E-21  9.238602249317586E-21 9	   2      -0.90      -0.80 -6.699912538152908E-21  1.157114261257244E-20 9
   3      -0.80      -0.70  5.212577851644257E-22  5.212544750762839E-22 1	   3      -0.80      -0.70  1.996776296803215E-22  1.996763616886042E-22 1	   3      -0.80      -0.70  1.784792476325003E-22  1.784781142546247E-22 1
   4      -0.70      -0.60  6.745762145311344E-22  4.643150243743267E-22 6	   4      -0.70      -0.60  6.224815904700578E-23  4.540444278915077E-23 6	   4      -0.70      -0.60  1.046080554001960E-21  7.971405137827096E-22 6
   5      -0.60      -0.50  2.565823397506700E-21  2.592566845877931E-21 6	   5      -0.60      -0.50  3.345122713149010E-21  3.460111518499802E-21 6	   5      -0.60      -0.50  4.563095534521322E-21  4.871993709419007E-21 6
   6      -0.50      -0.40 -1.199817534156618E-21  8.846371588935382E-22 7	   6      -0.50      -0.40 -6.941691895822135E-22  8.721298840601502E-22 7	   6      -0.50      -0.40  2.975558725893134E-21  2.093156010590129E-21 7
   7      -0.40      -0.30 -4.309141736633089E-21  3.947690195805271E-21 6	   7      -0.40      -0.30 -3.574987521275986E-21  3.314442413898694E-21 6	   7      -0.40      -0.30 -5.170011968191464E-21  5.027014488601056E-21 6
   8      -0.30      -0.20 -7.657966985854362E-20  7.227941583829525E-20 14	   8      -0.30      -0.20 -6.575855116398396E-20  6.304361930664801E-20 14	   8      -0.30      -0.20 -9.096468497956658E-20  8.528304087697372E-20 14
   9      -0.20      -0.10 -7.273088701038808E-21  6.112570775294529E-21 10	   9      -0.20      -0.10 -1.257280653652079E-20  1.164631531331543E-20 10	   9      -0.20      -0.10 -1.786983643694289E-20  1.702018357276255E-20 10
  10      -0.10       0.00 -1.674947792126101E-20  1.490766891713779E-20 18	  10      -0.10       0.00 -1.424024620428456E-20  1.252792181781049E-20 18	  10      -0.10       0.00 -1.787316453026341E-20  1.794735364636504E-20 18
  11       0.00       0.10 -1.098361127599530E-20  1.458911056995214E-20 21	  11       0.00       0.10  1.323129589639750E-21  5.345211969337271E-21 21	  11       0.00       0.10  1.198845655703379E-20  1.264588015754525E-20 21
  12       0.10       0.20 -2.067216802427852E-19  2.084989911204362E-19 21	  12       0.10       0.20 -1.781265667523913E-19  1.785021810482803E-19 21	  12       0.10       0.20 -2.279427178939145E-19  2.292971612439316E-19 21
  13       0.20       0.30 -3.264604010982726E-22  2.046303044642714E-21 22	  13       0.20       0.30  6.281675469272889E-22  2.634337163640512E-21 22	  13       0.20       0.30  2.000713272609509E-21  2.597221532070645E-21 22
  14       0.30       0.40 -6.651817109461185E-23  1.865422642442602E-20 26	  14       0.30       0.40  1.747231418862609E-21  1.596220886948424E-20 26	  14       0.30       0.40 -4.050059643736157E-21  2.041209120142469E-20 26
  15       0.40       0.50 -2.691166117367196E-20  2.433502804887722E-20 29	  15       0.40       0.50 -1.923255576341063E-20  2.058022460994279E-20 29	  15       0.40       0.50 -3.290016588259459E-20  2.955534099225754E-20 29
  16       0.50       0.60 -5.109992554720136E-21  7.672725473529951E-21 34	  16       0.50       0.60 -1.902286728492197E-21  5.689958970296966E-21 34	  16       0.50       0.60 -1.369606672777967E-20  1.115424164688426E-20 34
  17       0.60       0.70  7.588988576339624E-21  1.599693251843221E-20 51	  17       0.60       0.70  5.323362372292146E-21  1.230300991594587E-20 51	  17       0.60       0.70  1.250881507705895E-20  1.944084429642951E-20 51
  18       0.70       0.80  1.830094837397627E-20  1.581486478225601E-20 100	  18       0.70       0.80  1.409156448794205E-20  1.305509466004201E-20 100	  18       0.70       0.80  2.884448221450672E-20  2.087128483623813E-20 100
  19       0.80       0.90  1.250302335862294E-20  2.559670810116052E-20 130	  19       0.80       0.90  1.347407769205088E-20  2.245695090797383E-20 130	  19       0.80       0.90  1.735879651790919E-20  3.204497286580997E-20 130
  20       0.90       1.00 -2.787628066951207E-21  1.915647376412202E-20 483	  20       0.90       1.00 -2.302414942569366E-21  1.574044129782602E-20 483	  20       0.90       1.00 -3.895404444124488E-21  2.296541897919495E-20 483
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
# Sum:                      -3.1945770174134307E-20  2.2760611015794144E-20 1001
#=====================================================================================	#=====================================================================================	#=====================================================================================
