# title = Distance Positron--anti-Muon
# xlabel = $\Delta R_{\text{e}^+\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta R_{\text{e}^+\mu^+}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  6.000E+00
# ymin=  1.000E-04
# ymax=  1.000E+00
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 78738
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.10       0.30  3.014705251046609E-21  7.102024673212037E-21 34	   1       0.10       0.30  9.624172530621765E-22  5.075061491339214E-21 34	   1       0.10       0.30  1.369191494905400E-21  8.234027036172185E-21 34
   2       0.30       0.50  1.298406861520231E-21  8.673463114590651E-22 39	   2       0.30       0.50  1.348202845656654E-21  8.127498962222701E-22 39	   2       0.30       0.50  2.537695333630987E-21  1.337680357937281E-21 39
   3       0.50       0.70 -1.091922788158057E-21  7.300750839012754E-22 32	   3       0.50       0.70 -2.100716458200173E-22  1.423830119148629E-21 32	   3       0.50       0.70 -4.725838854457281E-22  1.567048727885343E-21 32
   4       0.70       0.90  3.810022120762607E-21  2.537487991934198E-21 39	   4       0.70       0.90  4.176745430100831E-21  2.702889936248456E-21 39	   4       0.70       0.90  6.319872482270044E-21  3.942165758565744E-21 39
   5       0.90       1.10  9.321857079406222E-22  1.119731487416071E-21 46	   5       0.90       1.10  7.859887797919488E-22  8.239104298892706E-22 46	   5       0.90       1.10  1.453314098603380E-21  1.343497541046361E-21 46
   6       1.10       1.30  6.123497859378226E-23  2.915923808969258E-21 49	   6       1.10       1.30  2.162003284474356E-21  2.338484830942366E-21 49	   6       1.10       1.30  7.402515285213629E-22  3.830161065519665E-21 49
   7       1.30       1.50 -4.705089451817323E-21  3.638401196652947E-21 43	   7       1.30       1.50 -7.671674542951712E-21  6.014496799505852E-21 43	   7       1.30       1.50 -1.052444781634566E-20  8.881072833770564E-21 43
   8       1.50       1.70  6.969869591319341E-22  8.340318802977004E-21 49	   8       1.50       1.70 -1.198375060735353E-21  6.308352028515260E-21 49	   8       1.50       1.70  1.967078496992868E-21  9.765465972973702E-21 49
   9       1.70       1.90 -4.280906853239386E-21  2.625690342561590E-21 51	   9       1.70       1.90 -3.295110315937126E-21  2.185244514891024E-21 51	   9       1.70       1.90 -5.531227758444385E-21  3.377451963432989E-21 51
  10       1.90       2.10 -4.852146939779186E-22  2.221991997740673E-21 46	  10       1.90       2.10 -5.071984050946642E-22  2.060500075439116E-21 46	  10       1.90       2.10  2.181492970941242E-22  1.722859373890740E-21 46
  11       2.10       2.30 -4.229135444794310E-20  3.720206689374270E-20 50	  11       2.10       2.30 -3.524242795286482E-20  3.255548859946660E-20 50	  11       2.10       2.30 -4.971737973892882E-20  4.394433236508455E-20 50
  12       2.30       2.50 -1.634707209838920E-20  1.281228692720152E-20 58	  12       2.30       2.50 -9.525342248270209E-21  9.293562622036319E-21 58	  12       2.30       2.50 -6.820429174721552E-21  1.452622275381600E-20 58
  13       2.50       2.70 -5.454934318261480E-22  3.319795838493323E-21 77	  13       2.50       2.70 -5.201349896208199E-22  2.802152105720675E-21 77	  13       2.50       2.70  2.446464420863435E-22  3.737880433649931E-21 77
  14       2.70       2.90 -3.321926259419688E-21  9.095612115293534E-21 96	  14       2.70       2.90 -1.266855447443730E-21  7.556044240572010E-21 96	  14       2.70       2.90 -4.829328646348091E-21  1.131658609444330E-20 96
  15       2.90       3.10  1.012477805639561E-20  9.484211480114455E-21 85	  15       2.90       3.10  8.877009550614826E-21  8.930289226425604E-21 85	  15       2.90       3.10  1.386436601894347E-20  1.252369338184097E-20 85
  16       3.10       3.30 -1.008579903176855E-19  1.045140336586512E-19 76	  16       3.10       3.30 -8.638677136364631E-20  8.949037883602108E-20 76	  16       3.10       3.30 -1.153253161564192E-19  1.149077931995145E-19 76
  17       3.30       3.50 -5.457988330906884E-21  4.817476241793002E-21 45	  17       3.30       3.50 -4.052167163985207E-21  4.106745123396374E-21 45	  17       3.30       3.50 -4.318835274174764E-21  6.464933091331395E-21 45
  18       3.50       3.70 -5.328577764201704E-21  5.358210699618967E-21 26	  18       3.50       3.70 -4.669160531616995E-21  4.202794219365758E-21 26	  18       3.50       3.70 -9.594612494451779E-21  7.252103297768480E-21 26
  19       3.70       3.90 -8.100984503380192E-22  3.405543757899895E-21 23	  19       3.70       3.90 -2.377854854712632E-22  2.398893844256454E-21 23	  19       3.70       3.90  6.030807553126714E-22  3.090071270823205E-21 23
  20       3.90       4.10 -2.313782620425556E-21  2.233860627317509E-21 11	  20       3.90       4.10 -1.684686053218951E-21  1.616524513506141E-21 11	  20       3.90       4.10 -2.414151772940535E-21  2.293452926923808E-21 11
  21       4.10       4.30 -9.165320773428097E-23  1.119531380297516E-22 10	  21       4.10       4.30  3.831372535057003E-23  2.105484452451762E-23 10	  21       4.10       4.30 -8.072076049074435E-23  8.350496907445783E-23 10
  22       4.30       4.50  8.389690981691203E-23  7.801674874506836E-23 5	  22       4.30       4.50  7.065871526671431E-23  6.661813924703839E-23 5	  22       4.30       4.50  1.017508608158736E-22  9.380925995926277E-23 5
