# title = Rapidity Jet pair
# xlabel = $y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 78738
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0	   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0	   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0	   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0
   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0	   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0	   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0
   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0	   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0	   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0
   6      -3.25      -3.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      -3.25      -3.00  0.000000000000000E+00  0.000000000000000E+00 0	   6      -3.25      -3.00  0.000000000000000E+00  0.000000000000000E+00 0
   7      -3.00      -2.75 -3.927631417395892E-27  3.927606476173813E-27 1	   7      -3.00      -2.75 -1.090701964329166E-26  1.090695038159925E-26 1	   7      -3.00      -2.75 -2.037083233320840E-26  2.037070297446793E-26 1
   8      -2.75      -2.50  5.873443296064859E-23  4.414532096490106E-23 4	   8      -2.75      -2.50  1.252672167360782E-23  1.251590252338970E-23 4	   8      -2.75      -2.50 -2.833731883070418E-23  5.380847457656941E-23 4
   9      -2.50      -2.25 -1.153077179977627E-23  1.273696767159551E-23 9	   9      -2.50      -2.25 -8.516696558585834E-24  7.673114642027450E-24 9	   9      -2.50      -2.25 -1.331070633485997E-23  1.126412312895845E-23 9
  10      -2.25      -2.00  2.227089913129071E-22  4.074942366891313E-22 14	  10      -2.25      -2.00  1.768237283648699E-22  3.157380069668913E-22 14	  10      -2.25      -2.00  3.004936527880935E-22  4.699128763758066E-22 14
  11      -2.00      -1.75  1.604496038466816E-22  2.591867460112146E-22 23	  11      -2.00      -1.75  1.515236885380754E-22  2.153133156944539E-22 23	  11      -2.00      -1.75  3.979461713000270E-22  3.801209533048731E-22 23
