# title = Rapidity Jet pair
# xlabel = $y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 78738
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.25      -4.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      -4.00      -3.75  0.000000000000000E+00  0.000000000000000E+00 0
   4      -3.75      -3.50  0.000000000000000E+00  0.000000000000000E+00 0
   5      -3.50      -3.25  0.000000000000000E+00  0.000000000000000E+00 0
   6      -3.25      -3.00  0.000000000000000E+00  0.000000000000000E+00 0
   7      -3.00      -2.75 -3.927631417395892E-27  3.927606476173813E-27 1
   8      -2.75      -2.50  5.873443296064859E-23  4.414532096490106E-23 4
   9      -2.50      -2.25 -1.153077179977627E-23  1.273696767159551E-23 9
  10      -2.25      -2.00  2.227089913129071E-22  4.074942366891313E-22 14
  11      -2.00      -1.75  1.604496038466816E-22  2.591867460112146E-22 23
  12      -1.75      -1.50 -1.196449262134016E-21  1.109621367248323E-21 28
  13      -1.50      -1.25 -8.932593678826408E-22  8.745166054393459E-22 55
  14      -1.25      -1.00 -1.432741664771755E-21  4.043726820057557E-21 81
  15      -1.00      -0.75  5.391526600435670E-21  5.510201528823322E-21 78
  16      -0.75      -0.50 -6.496874321336163E-21  5.784798804495132E-21 79
  17      -0.50      -0.25 -2.223988126144211E-20  1.282194769849041E-20 107
  18      -0.25       0.00  1.620405044652878E-20  1.001420933183701E-20 88
  19       0.00       0.25 -8.129951710632634E-20  8.374585655825608E-20 99
  20       0.25       0.50 -2.885613200295462E-20  2.972021081599532E-20 95
  21       0.50       0.75 -8.309962573363337E-21  5.822252759053664E-21 75
  22       0.75       1.00  1.407705382700624E-21  2.787205415256604E-21 59
  23       1.00       1.25 -5.003763656976468E-22  1.241920201689607E-21 37
  24       1.25       1.50  3.486625891382045E-22  5.506126483393428E-22 25
  25       1.50       1.75 -7.755112413789203E-22  1.044485209333080E-21 15
  26       1.75       2.00  5.544722459861659E-24  1.126313063652028E-22 11
  27       2.00       2.25  5.975626011760096E-22  5.852615744557666E-22 11
  28       2.25       2.50 -1.677862003779238E-22  9.335224026506023E-23 7
  29       2.50       2.75  0.000000000000000E+00  0.000000000000000E+00 0
  30       2.75       3.00  0.000000000000000E+00  0.000000000000000E+00 0
  31       3.00       3.25  0.000000000000000E+00  0.000000000000000E+00 0
  32       3.25       3.50  0.000000000000000E+00  0.000000000000000E+00 0
  33       3.50       3.75  0.000000000000000E+00  0.000000000000000E+00 0
  34       3.75       4.00  0.000000000000000E+00  0.000000000000000E+00 0
  35       4.00       4.25  0.000000000000000E+00  0.000000000000000E+00 0
  36       4.25       4.50  0.000000000000000E+00  0.000000000000000E+00 0
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                      -3.1945770174134331E-20  2.2760606097874575E-20 1001
#=====================================================================================
