# title = Rapidity separation Jets
# xlabel = $\Delta y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -9.000E+00
# xmax=  9.000E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 901691205
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -9.00      -8.75  4.447848800593810E-08  7.878711205658611E-09 57000
   2      -8.75      -8.50  2.174529407663489E-07  1.665537667286105E-08 223841
   3      -8.50      -8.25  6.737015698213180E-07  3.353938192550128E-08 484138
   4      -8.25      -8.00  1.409280308998470E-06  4.900365218149785E-08 868323
   5      -8.00      -7.75  3.017988533850837E-06  8.510555079177784E-08 1400669
   6      -7.75      -7.50  5.676620857981168E-06  1.230066920589061E-07 2121550
   7      -7.50      -7.25  9.644080720117064E-06  1.708132370813746E-07 3068585
   8      -7.25      -7.00  1.660630050205403E-05  2.495879693909081E-07 4270724
   9      -7.00      -6.75  2.633051973644447E-05  3.440393294757153E-07 5777362
  10      -6.75      -6.50  4.055984621415799E-05  4.511928240257353E-07 7617693
  11      -6.50      -6.25  6.010433588143935E-05  5.818332305786933E-07 9830103
  12      -6.25      -6.00  8.809799954082148E-05  8.029635934953575E-07 12435979
  13      -6.00      -5.75  1.252224534430456E-04  9.458854327476778E-07 15430180
  14      -5.75      -5.50  1.753489780712157E-04  1.188362836211080E-06 18821333
  15      -5.50      -5.25  2.354888561218644E-04  1.429495449036720E-06 22558238
  16      -5.25      -5.00  3.184706386903841E-04  1.808694730796578E-06 26465821
  17      -5.00      -4.75  4.170887268014013E-04  2.138890304348389E-06 30443886
  18      -4.75      -4.50  5.369319205474675E-04  2.600474741428991E-06 34249461
  19      -4.50      -4.25  6.831984015150301E-04  3.123127872697060E-06 37674731
  20      -4.25      -4.00  8.454019147775642E-04  3.543525844262863E-06 40481641
  21      -4.00      -3.75  1.046591054751194E-03  4.156047921415668E-06 42442681
  22      -3.75      -3.50  1.259211054921123E-03  4.823511502909652E-06 43407265
  23      -3.50      -3.25  1.505502120636530E-03  5.453763061313128E-06 43273796
  24      -3.25      -3.00  1.783565026249446E-03  6.202876488778402E-06 42044882
  25      -3.00      -2.75  2.074592370440616E-03  6.924169951144493E-06 39785637
  26      -2.75      -2.50  2.391427385236425E-03  7.307881686016133E-06 36724563
  27      -2.50      -2.25  0.000000000000000E+00  0.000000000000000E+00 0
  28      -2.25      -2.00  0.000000000000000E+00  0.000000000000000E+00 0
  29      -2.00      -1.75  0.000000000000000E+00  0.000000000000000E+00 0
  30      -1.75      -1.50  0.000000000000000E+00  0.000000000000000E+00 0
  31      -1.50      -1.25  0.000000000000000E+00  0.000000000000000E+00 0
  32      -1.25      -1.00  0.000000000000000E+00  0.000000000000000E+00 0
  33      -1.00      -0.75  0.000000000000000E+00  0.000000000000000E+00 0
  34      -0.75      -0.50  0.000000000000000E+00  0.000000000000000E+00 0
  35      -0.50      -0.25  0.000000000000000E+00  0.000000000000000E+00 0
  36      -0.25       0.00  0.000000000000000E+00  0.000000000000000E+00 0
  37       0.00       0.25  0.000000000000000E+00  0.000000000000000E+00 0
  38       0.25       0.50  0.000000000000000E+00  0.000000000000000E+00 0
  39       0.50       0.75  0.000000000000000E+00  0.000000000000000E+00 0
  40       0.75       1.00  0.000000000000000E+00  0.000000000000000E+00 0
  41       1.00       1.25  0.000000000000000E+00  0.000000000000000E+00 0
