# title = W boson Transverse Momentum
# xlabel = $p_{\text{T},\text{W}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{W}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 901691205
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  1.663113701775744E-05  5.698319906182369E-08 52443328
   2      20.00      40.00  4.141743858875456E-05  9.965005692918821E-08 84865716
   3      40.00      60.00  4.916792841842263E-05  1.065976737094646E-07 87204182
   4      60.00      80.00  4.476826391302810E-05  1.020661889030772E-07 79252023
   5      80.00     100.00  3.845438804270985E-05  9.345042799206550E-08 70640300
   6     100.00     120.00  3.232598309156707E-05  8.456201839011360E-08 62299734
   7     120.00     140.00  2.622824417264982E-05  7.747626315099309E-08 54567053
   8     140.00     160.00  2.105726886925516E-05  6.883050865963796E-08 47704488
   9     160.00     180.00  1.667734968693977E-05  6.403717144230375E-08 41750512
  10     180.00     200.00  1.310952983143405E-05  5.808867508559454E-08 36629906
  11     200.00     220.00  1.022735222306930E-05  5.041979878157629E-08 32265844
  12     220.00     240.00  7.982823605294761E-06  4.543045612105880E-08 28540349
  13     240.00     260.00  6.199429002394134E-06  4.780398400499687E-08 25362681
  14     260.00     280.00  4.712812945235271E-06  3.733501634246669E-08 22637726
  15     280.00     300.00  3.605484420525170E-06  3.426776387431083E-08 20277939
  16     300.00     320.00  2.735212139992353E-06  3.110392003631437E-08 18252738
  17     320.00     340.00  2.106474041596214E-06  2.942147450117781E-08 16471405
  18     340.00     360.00  1.553526847801162E-06  2.673695898097148E-08 14925115
  19     360.00     380.00  1.161190674732139E-06  2.361601691456865E-08 13564890
  20     380.00     400.00  8.558942209605777E-07  2.193153919357292E-08 12366148
  21     400.00     420.00  6.452093892333610E-07  2.020114787936835E-08 11305616
  22     420.00     440.00  4.735153443060357E-07  1.877324949216863E-08 10363174
  23     440.00     460.00  3.221424667060597E-07  1.705500235780122E-08 9528564
  24     460.00     480.00  2.242539437899294E-07  1.593653682735975E-08 8770256
  25     480.00     500.00  1.473104324058655E-07  1.493137505243911E-08 8101454
  26     500.00     520.00  7.112902793723178E-08  1.350697751774351E-08 7492381
  27     520.00     540.00  2.597724500118676E-08  1.225951946182472E-08 6942142
  28     540.00     560.00 -9.349930488729135E-09  1.132343763802660E-08 6441851
  29     560.00     580.00 -3.273308562445595E-08  1.034747629226097E-08 5991074
  30     580.00     600.00 -3.161431367205654E-08  9.363288141657158E-09 5581505
  31     600.00     620.00 -3.628299967172414E-08  8.737848029965208E-09 5202062
  32     620.00     640.00 -6.325113799715197E-08  7.869836618976089E-09 4851268
  33     640.00     660.00 -5.430330614262930E-08  7.484536601652019E-09 4539539
  34     660.00     680.00 -5.751976946343967E-08  6.853930604535861E-09 4251623
  35     680.00     700.00 -5.435991008225185E-08  6.152245633334263E-09 3986276
  36     700.00     720.00 -6.719525925190088E-08  5.975316698748648E-09 3738308
  37     720.00     740.00 -5.422516286955599E-08  5.368921542397992E-09 3514505
  38     740.00     760.00 -6.549824411487978E-08  5.000902403730695E-09 3299565
  39     760.00     780.00 -5.104290090356083E-08  5.003416999695060E-09 3104715
  40     780.00     800.00 -4.870920294126352E-08  4.193698812517230E-09 2921817
  41     800.00     820.00 -4.463461025966471E-08  3.999786438881697E-09 2753382
  42     820.00     840.00 -4.409271290223930E-08  3.765993566296616E-09 2600858
  43     840.00     860.00 -4.433518770046375E-08  3.534502962858228E-09 2451732
  44     860.00     880.00 -3.581378175208614E-08  3.198152089593768E-09 2319966
  45     880.00     900.00 -3.979101863909014E-08  3.018474142642739E-09 2190726
  46     900.00     920.00 -3.707575919350447E-08  2.837901393521768E-09 2073886
  47     920.00     940.00 -3.286679956557436E-08  2.518765489574547E-09 1963097
  48     940.00     960.00 -3.006845377092272E-08  2.454896370715142E-09 1861674
  49     960.00     980.00 -2.567381176197633E-08  2.187141169414755E-09 1765492
  50     980.00    1000.00 -2.739760013846018E-08  1.992699077851244E-09 1674870
  51    1000.00    1020.00 -1.943839458519784E-08  1.869698619508709E-09 1587220
  52    1020.00    1040.00 -1.938432972052998E-08  1.708966883609200E-09 1511868
  53    1040.00    1060.00 -1.923432833466601E-08  1.657604009935931E-09 1434388
  54    1060.00    1080.00 -1.552621482266424E-08  1.552475910077731E-09 1363981
  55    1080.00    1100.00 -1.718346650119696E-08  1.555435350102284E-09 1296886
  56    1100.00    1120.00 -1.574760638451730E-08  1.181231437965504E-09 1233745
  57    1120.00    1140.00 -1.377251830215720E-08  1.292360367350741E-09 1175529
  58    1140.00    1160.00 -1.232784117256907E-08  1.220273948277016E-09 1120397
  59    1160.00    1180.00 -1.064732798789864E-08  1.220985744417757E-09 1067638
  60    1180.00    1200.00 -8.918628097201713E-09  1.080298201487632E-09 1018724
  61    1200.00    1220.00 -8.954769378998772E-09  8.993371555802179E-10 972655
  62    1220.00    1240.00 -8.214288944202012E-09  7.705228246329969E-10 927739
  63    1240.00    1260.00 -7.272555831381674E-09  7.558431639090971E-10 884923
  64    1260.00    1280.00 -6.774804415577531E-09  7.345876290802020E-10 848375
  65    1280.00    1300.00 -6.138766784741580E-09  5.931066453705703E-10 807234
  66    1300.00    1320.00 -4.225610285132797E-09  5.808186457970273E-10 773837
  67    1320.00    1340.00 -4.659123743868147E-09  5.538600888817317E-10 740395
  68    1340.00    1360.00 -4.668252723472483E-09  5.445632444065274E-10 705635
  69    1360.00    1380.00 -3.628726110211499E-09  4.853126302057141E-10 675219
  70    1380.00    1400.00 -3.999317123224384E-09  4.536910664497833E-10 648114
  71    1400.00    1420.00 -3.906893501643140E-09  4.836029013026212E-10 619962
  72    1420.00    1440.00 -2.874435333843093E-09  3.981694496288383E-10 596293
  73    1440.00    1460.00 -3.297778236855148E-09  3.981400738924883E-10 568175
  74    1460.00    1480.00 -2.562291961183416E-09  3.221769700216152E-10 545594
  75    1480.00    1500.00 -2.552259707615741E-09  2.913058166800607E-10 525363
  76    1500.00    1520.00 -2.283015386671511E-09  3.324811002187878E-10 502228
  77    1520.00    1540.00 -1.816337041683439E-09  2.668079883568444E-10 481489
  78    1540.00    1560.00 -1.416301564691441E-09  2.189252080611234E-10 462316
  79    1560.00    1580.00 -2.024829778655427E-09  2.659366248256834E-10 444100
  80    1580.00    1600.00 -1.511449972827618E-09  2.274221458698986E-10 426885
  81    1600.00    1620.00 -1.482054641895022E-09  2.396082970192739E-10 410102
  82    1620.00    1640.00 -1.452316392918557E-09  1.915613544312483E-10 391765
  83    1640.00    1660.00 -9.021048437188159E-10  1.341784524572839E-10 378038
  84    1660.00    1680.00 -1.171708462039278E-09  1.891338327105500E-10 362663
  85    1680.00    1700.00 -7.442432074567971E-10  1.375096061707750E-10 348460
  86    1700.00    1720.00 -9.083289405471779E-10  1.859576366334342E-10 335122
  87    1720.00    1740.00 -7.633100373277387E-10  1.551980587260776E-10 323023
  88    1740.00    1760.00 -7.975595467959481E-10  1.135249412601504E-10 309828
  89    1760.00    1780.00 -5.012530775656279E-10  1.276934819157318E-10 298831
  90    1780.00    1800.00 -7.051448875215271E-10  1.537602810525685E-10 286954
  91    1800.00    1820.00 -5.649808953600578E-10  1.191011620049035E-10 276589
  92    1820.00    1840.00 -6.401745475597606E-10  1.103887318912535E-10 266368
  93    1840.00    1860.00 -3.531891156768136E-10  7.553212066444288E-11 256665
  94    1860.00    1880.00 -3.008073251673495E-10  9.676308975283068E-11 246547
  95    1880.00    1900.00 -2.778020122880604E-10  7.044360970808974E-11 237548
  96    1900.00    1920.00 -3.322174222789605E-10  7.135266958027088E-11 228263
  97    1920.00    1940.00 -2.615408397183793E-10  5.865810973187701E-11 219678
  98    1940.00    1960.00 -3.364801738887421E-10  8.477089981430992E-11 212105
  99    1960.00    1980.00 -2.372262216695682E-10  3.838737280932925E-11 203266
 100    1980.00    2000.00 -2.606973488714127E-10  5.398512075553953E-11 195858
 101    2000.00    2020.00 -9.150573637861864E-11  5.370897736298083E-11 189271
 102    2020.00    2040.00 -2.812673162449097E-10  7.886345545277036E-11 182363
 103    2040.00    2060.00 -1.574534184933825E-10  3.259403923828526E-11 175448
 104    2060.00    2080.00 -1.401211547178748E-10  3.212043062850084E-11 169971
 105    2080.00    2100.00 -1.212247592120420E-10  2.633237744873855E-11 163468
 106    2100.00    2120.00 -1.488892725823930E-10  4.690740585223135E-11 157229
 107    2120.00    2140.00 -1.136160558048787E-10  2.924222463179108E-11 152312
 108    2140.00    2160.00 -4.741400379264896E-11  2.781788940239844E-11 146410
 109    2160.00    2180.00 -5.071953854138580E-11  1.831698676502740E-11 141370
 110    2180.00    2200.00 -5.247061870215077E-11  2.201687935423048E-11 136349
 111    2200.00    2220.00 -2.608170478707909E-10  2.247404484578531E-10 131058
 112    2220.00    2240.00 -4.431834823783333E-11  2.132496918472231E-11 127543
 113    2240.00    2260.00 -4.688362768715621E-11  2.212985569531455E-11 123276
 114    2260.00    2280.00 -4.447728009285078E-11  1.606700638561839E-11 118163
 115    2280.00    2300.00 -2.097188650959127E-11  1.786554431137427E-11 114709
 116    2300.00    2320.00 -6.034311815994183E-11  2.585478450269604E-11 110154
 117    2320.00    2340.00 -5.224015339596478E-11  1.697525129933125E-11 106197
 118    2340.00    2360.00 -1.644619823989870E-11  1.457980059596933E-11 102694
 119    2360.00    2380.00 -5.499308637188411E-11  1.766572878765103E-11 98848
 120    2380.00    2400.00 -3.730391529616765E-11  1.233472466378511E-11 95264
 121    2400.00    2420.00 -2.876728611173687E-11  1.191200199254291E-11 92311
 122    2420.00    2440.00 -2.240234611219179E-11  1.581160830837862E-11 88786
 123    2440.00    2460.00 -3.200180034212982E-11  1.188124612975848E-11 85839
 124    2460.00    2480.00 -1.260132686884149E-11  7.411573474016729E-12 83029
 125    2480.00    2500.00 -1.426084421395030E-11  7.034473026581149E-12 79946
 126    2500.00    2520.00 -5.240633855573836E-12  4.692936433626688E-12 77714
 127    2520.00    2540.00 -2.080861025632601E-11  6.160361557994178E-12 74841
 128    2540.00    2560.00 -2.034300818601317E-11  7.823415630540824E-12 71890
 129    2560.00    2580.00  1.473326326462515E-12  9.798115595580504E-12 69380
 130    2580.00    2600.00  3.814417845769464E-12  6.465459351958746E-12 67580
 131    2600.00    2620.00  4.640488891276022E-12  4.388079092454500E-12 65219
 132    2620.00    2640.00 -4.775643028357749E-12  3.581919098129045E-12 62492
 133    2640.00    2660.00 -4.287402805552595E-12  1.935151071983836E-12 61088
 134    2660.00    2680.00 -3.497357366861978E-12  2.400918907122963E-12 59053
 135    2680.00    2700.00 -5.737552858346960E-12  2.946449511485997E-12 56826
 136    2700.00    2720.00 -5.509787549937162E-12  2.452949149165874E-12 54413
