# title = Transverse Momentum of W-Z system
# xlabel = $p_{\text{T},\text{WZ}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{WZ}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 78738
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      10.00      30.00  1.000888432038929E-23  1.410739720218777E-23 25
   2      30.00      50.00  6.405772928619305E-23  8.332952696959657E-23 26
   3      50.00      70.00 -6.179650140055753E-24  8.035606390156490E-23 34
   4      70.00      90.00 -1.336612053929621E-23  3.428639212940961E-23 40
   5      90.00     110.00 -4.057252210366244E-23  6.717731175646101E-23 49
   6     110.00     130.00 -4.042716270640662E-22  3.620735053685435E-22 45
   7     130.00     150.00  7.330966781292347E-23  7.556059020591879E-23 41
   8     150.00     170.00 -3.398567908576015E-24  6.437388498431654E-23 37
   9     170.00     190.00 -1.142555438292126E-22  1.437783161909339E-22 36
  10     190.00     210.00 -9.949125333173701E-22  1.043939186838888E-21 31
  11     210.00     230.00 -2.606947052523154E-23  4.418769627202582E-23 34
  12     230.00     250.00  7.212391723491305E-24  3.449204350186359E-23 21
  13     250.00     270.00 -2.990039098732506E-23  2.038916123741421E-23 34
  14     270.00     290.00 -1.828168622339582E-23  2.496329330462062E-23 31
  15     290.00     310.00  9.829853088459836E-25  4.766478902805704E-24 31
  16     310.00     330.00 -1.402436135431911E-23  1.268721039605894E-23 29
  17     330.00     350.00  9.980580691489195E-24  2.439682412551425E-23 15
  18     350.00     370.00  2.892304324561328E-24  6.133351970575166E-24 23
  19     370.00     390.00  2.440375514261080E-23  2.196376148605890E-23 15
  20     390.00     410.00 -1.071788579837879E-22  1.081729679328636E-22 15
  21     410.00     430.00  3.169732098174309E-23  2.898000690017395E-23 18
  22     430.00     450.00 -6.132362517159355E-23  6.187137295630437E-23 20
  23     450.00     470.00  7.373990459592765E-25  8.197410290842964E-25 17
  24     470.00     490.00 -3.682659328873419E-23  3.024383995696816E-23 17
  25     490.00     510.00  1.411754687257215E-24  1.421830011507472E-24 14
  26     510.00     530.00  1.047660784006081E-23  1.111254126079677E-23 16
