# title = Invariant Mass Positron--anti-Muon System
# xlabel = $M_{\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-07
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 901691205
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      40.00  9.253170066859398E-06  2.746913712536325E-08 61898927
   2      40.00      80.00  2.954065104413709E-05  5.159613430514711E-08 170280053
   3      80.00     120.00  3.366999624193273E-05  5.830262429237257E-08 166281758
   4     120.00     160.00  2.460282598266704E-05  5.129663255601663E-08 117024307
   5     160.00     200.00  1.635496961542649E-05  4.336744421019173E-08 85329326
   6     200.00     240.00  1.066352411984305E-05  3.551265626120448E-08 64589351
   7     240.00     280.00  7.004806992750277E-06  3.089524307817075E-08 50354848
   8     280.00     320.00  4.698446123136312E-06  2.452389023649422E-08 40166124
   9     320.00     360.00  3.188939062143100E-06  2.012031341979586E-08 32613158
  10     360.00     400.00  2.196945394634146E-06  1.691524716349804E-08 26885884
  11     400.00     440.00  1.594386972129082E-06  1.503359307733216E-08 22439896
  12     440.00     480.00  1.108941511699808E-06  1.227850212396539E-08 18920066
  13     480.00     520.00  8.068481896694284E-07  1.052874814702973E-08 16100287
  14     520.00     560.00  5.813016791323540E-07  9.062471329711520E-09 13808176
  15     560.00     600.00  4.310390343914910E-07  7.572680792045228E-09 11926865
  16     600.00     640.00  3.130173512095586E-07  6.220640471580697E-09 10366154
  17     640.00     680.00  2.397802211491141E-07  5.809300648644855E-09 9059389
  18     680.00     720.00  1.907872994575072E-07  4.925473907469500E-09 7952560
  19     720.00     760.00  1.344052876468439E-07  4.076480555965432E-09 7012026
  20     760.00     800.00  1.078281017108544E-07  3.570204525708899E-09 6206807
  21     800.00     840.00  8.900161318184236E-08  3.365776873062589E-09 5513462
  22     840.00     880.00  6.522082296791649E-08  2.927783273534840E-09 4916165
  23     880.00     920.00  5.173788227687525E-08  2.501457622039108E-09 4397411
  24     920.00     960.00  4.288793103782263E-08  2.191153882956351E-09 3942621
  25     960.00    1000.00  3.448683891676803E-08  2.175406486805858E-09 3547093
  26    1000.00    1040.00  2.608344479925495E-08  1.747579799884087E-09 3199922
  27    1040.00    1080.00  2.139788866804160E-08  1.550904474202405E-09 2887094
  28    1080.00    1120.00  1.506896944889706E-08  1.194350304979498E-09 2620274
  29    1120.00    1160.00  1.281189011725601E-08  1.140666021184518E-09 2375288
  30    1160.00    1200.00  1.025981430448297E-08  1.008646805824519E-09 2161458
  31    1200.00    1240.00  8.933695213672746E-09  1.010162159913017E-09 1966858
  32    1240.00    1280.00  7.364426021629464E-09  8.791042082556692E-10 1793412
  33    1280.00    1320.00  7.175211807191810E-09  8.781443704175597E-10 1637563
  34    1320.00    1360.00  4.695346227458923E-09  6.181829762100196E-10 1501303
  35    1360.00    1400.00  5.905374607534783E-09  7.465988636000368E-10 1373897
  36    1400.00    1440.00  2.842327971725724E-09  4.544760727193429E-10 1260402
  37    1440.00    1480.00  3.122815219229037E-09  6.300891560302558E-10 1157405
  38    1480.00    1520.00  2.633289659695884E-09  4.652537631432386E-10 1065789
  39    1520.00    1560.00  1.575091984916784E-09  3.433431015303924E-10 981727
  40    1560.00    1600.00  2.445957694548769E-09  7.151741226667710E-10 905351
  41    1600.00    1640.00  7.774494963094356E-10  3.017835193156270E-10 834950
  42    1640.00    1680.00  1.743337965930211E-09  3.192359999262997E-10 773650
  43    1680.00    1720.00  9.691752800328579E-10  2.848688935148792E-10 714623
  44    1720.00    1760.00  1.283525900450247E-09  2.168932181027188E-10 659763
  45    1760.00    1800.00  5.102897494055486E-10  1.685218355811232E-10 614162
  46    1800.00    1840.00  8.710543197722104E-10  1.989427713712209E-10 567680
  47    1840.00    1880.00  5.084881239820791E-10  1.587341797968921E-10 526704
  48    1880.00    1920.00  5.738918333997928E-10  2.899189430392866E-10 488866
  49    1920.00    1960.00  2.217986847477819E-10  1.668881353862288E-10 455502
  50    1960.00    2000.00  6.007108740918861E-10  1.747877359256418E-10 423280
