# title = Rapidity Harder Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 78738
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  3.824046121208594E-23  3.599820222113196E-23 7
   2      -4.25      -4.00  5.933829871511822E-23  1.521746877363078E-22 20
   3      -4.00      -3.75 -4.563006747769330E-25  6.202195743419490E-24 13
   4      -3.75      -3.50 -9.647383497511943E-22  6.779906159831484E-22 19
   5      -3.50      -3.25 -1.268822717320804E-21  1.250633005215567E-21 19
   6      -3.25      -3.00  2.277087152795973E-21  1.903794184613146E-21 26
   7      -3.00      -2.75 -2.154269188923141E-22  2.819272315583720E-22 22
   8      -2.75      -2.50 -1.082119725397247E-21  4.019992563297622E-21 36
   9      -2.50      -2.25 -2.572657030350210E-21  3.803426164170952E-21 33
  10      -2.25      -2.00 -9.360592084775938E-22  3.476148323951189E-21 28
  11      -2.00      -1.75 -2.739387822901362E-21  1.469557370139344E-21 27
  12      -1.75      -1.50 -3.950122885149032E-21  4.023281492098738E-21 35
  13      -1.50      -1.25  6.442756273173322E-22  3.790811064121488E-22 24
  14      -1.25      -1.00 -9.120599437280590E-22  1.488604222632266E-21 41
  15      -1.00      -0.75  1.220041682016075E-21  1.442296205768279E-21 36
  16      -0.75      -0.50  2.535471013121420E-22  5.299224571803463E-22 34
  17      -0.50      -0.25  8.276104233383492E-23  2.012285275522769E-22 40
  18      -0.25       0.00 -1.197525224682267E-21  8.915074388132520E-22 44
  19       0.00       0.25  2.037856770389716E-21  1.763101935425854E-21 46
  20       0.25       0.50  3.163322762051099E-21  3.807448014905734E-21 39
  21       0.50       0.75  7.875845797058708E-22  1.740298917408114E-21 36
  22       0.75       1.00 -5.639949226223959E-21  8.472874527380891E-21 52
  23       1.00       1.25 -4.929160837543700E-21  3.617698154668089E-21 50
  24       1.25       1.50 -7.913420796012815E-20  7.165714672436685E-20 42
  25       1.50       1.75  2.064849959766762E-21  7.039813325239642E-21 37
  26       1.75       2.00  5.341038790162080E-21  6.184671069176455E-21 35
  27       2.00       2.25 -2.417781911959088E-20  2.558699197553246E-20 37
  28       2.25       2.50  1.187539457004617E-21  1.211889360711077E-21 22
  29       2.50       2.75  4.651600392480231E-21  5.593330678089810E-21 29
  30       2.75       3.00  1.067020540732559E-22  1.000364672672580E-22 16
  31       3.00       3.25  1.435284803563249E-21  1.252605055391548E-21 13
  32       3.25       3.50 -5.792823116763571E-22  7.022891833703251E-22 14
  33       3.50       3.75 -4.852958029527673E-23  6.346651253217303E-23 7
  34       3.75       4.00  4.502804524053710E-24  2.908726416758356E-24 7
  35       4.00       4.25  6.180511474176315E-22  4.368001704511400E-22 6
  36       4.25       4.50 -4.126159314006835E-22  4.001712517480451E-22 9
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                      -2.6196829051835678E-20  1.9510104552955379E-20 1001
#=====================================================================================
