# title = Rapidity Softer Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 78738
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -4.50      -4.25  6.074029503639669E-22  4.302151475720642E-22 34
   2      -4.25      -4.00  2.503928554510932E-21  3.278656809773663E-21 35
   3      -4.00      -3.75  2.204984292036548E-21  2.031097857441156E-21 48
   4      -3.75      -3.50 -8.356003078301331E-21  7.844304926982938E-21 44
   5      -3.50      -3.25 -9.556236853003741E-21  6.086906348385449E-21 47
   6      -3.25      -3.00  5.550074884875715E-21  5.504091874082899E-21 53
   7      -3.00      -2.75  1.016044617972141E-20  7.036749579025882E-21 45
   8      -2.75      -2.50 -7.515813283741052E-20  7.161229245534545E-20 43
   9      -2.50      -2.25  7.355093645847233E-21  5.053103455925780E-21 29
  10      -2.25      -2.00 -2.524013410989104E-20  2.578767077687915E-20 36
  11      -2.00      -1.75 -5.929360379307118E-22  6.051419144293212E-22 22
  12      -1.75      -1.50  5.301981609587252E-22  6.070220343491577E-22 25
  13      -1.50      -1.25  2.106062634448643E-22  4.907336293888732E-22 20
  14      -1.25      -1.00 -2.960990496394342E-21  1.870668676960394E-21 19
  15      -1.00      -0.75 -1.809352409479265E-21  1.353947015114198E-21 16
  16      -0.75      -0.50  2.124722278801520E-22  4.167364908182974E-22 7
  17      -0.50      -0.25  7.980535284181976E-23  5.631493102350621E-23 10
  18      -0.25       0.00  9.709168234448070E-24  2.955898712915811E-23 10
  19       0.00       0.25 -1.005522629023312E-22  1.077342578674831E-22 9
  20       0.25       0.50 -3.208391438961129E-21  3.491737363088645E-21 15
  21       0.50       0.75 -1.451422338246071E-21  8.057941637475738E-22 6
  22       0.75       1.00  1.636697101816276E-21  1.898171439700678E-21 15
  23       1.00       1.25  1.265198564881812E-21  9.890985772032913E-22 23
  24       1.25       1.50 -4.067391578229597E-21  2.610050956194560E-21 35
  25       1.50       1.75  1.169958945090536E-21  1.668145420915221E-21 29
  26       1.75       2.00 -4.039310807098396E-21  4.027669261186109E-21 28
  27       2.00       2.25  1.161975162970333E-21  1.159949594045477E-21 29
  28       2.25       2.50  1.219188697724947E-21  1.396593605021981E-21 27
  29       2.50       2.75  1.747994577153024E-21  2.692887824893184E-21 44
  30       2.75       3.00 -2.568893812586004E-22  2.744449522864941E-22 34
  31       3.00       3.25 -1.723105069706714E-22  1.551845690000719E-21 27
  32       3.25       3.50 -4.787455935946159E-22  3.066815052046773E-22 31
  33       3.50       3.75 -7.262000112099929E-22  1.463387934268320E-21 35
  34       3.75       4.00  5.437872289538502E-22  4.545089105060910E-22 35
  35       4.00       4.25 -4.579857112849563E-21  3.574728534406713E-21 18
  36       4.25       4.50 -2.019813129173951E-22  9.109210695496309E-23 18
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                      -2.6196829051835684E-20  1.9510110288179109E-20 1001
#=====================================================================================
