# title = Rapidity separation Jets
# xlabel = $\Delta y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -9.000E+00
# xmax=  9.000E+00
# ymin=  1.000E-04
# ymax=  1.000E-01
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 2.0000000000
# Renormalization scaled by: 2.0000000000
# Number of generated events: 78738
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -9.00      -8.75  0.000000000000000E+00  0.000000000000000E+00 0
   2      -8.75      -8.50  0.000000000000000E+00  0.000000000000000E+00 0
   3      -8.50      -8.25 -3.999093967844765E-22  3.999692627096309E-22 4
   4      -8.25      -8.00  0.000000000000000E+00  0.000000000000000E+00 0
   5      -8.00      -7.75 -1.718701346156705E-26  1.735854842815527E-26 4
   6      -7.75      -7.50 -7.368793063658353E-27  7.368746270391694E-27 1
   7      -7.50      -7.25 -6.224412480333557E-24  6.475523359983537E-24 3
   8      -7.25      -7.00  1.386263097244124E-29  1.386254294204304E-29 1
   9      -7.00      -6.75  5.316466530918280E-25  3.690773446463606E-25 4
  10      -6.75      -6.50  1.073311826228601E-23  1.170600772795076E-23 4
  11      -6.50      -6.25 -1.545950189503932E-23  1.750703345596382E-23 7
  12      -6.25      -6.00  3.466494242488884E-21  3.219295765222141E-21 15
  13      -6.00      -5.75 -1.342043501523918E-22  1.382513479653328E-22 6
  14      -5.75      -5.50  6.475321871641800E-21  5.614228832205887E-21 20
  15      -5.50      -5.25 -5.105000771090460E-22  1.369387104486632E-21 21
  16      -5.25      -5.00 -5.092949790207213E-21  4.967293440658207E-21 18
  17      -5.00      -4.75 -8.677348982483514E-23  9.696385737330371E-22 31
  18      -4.75      -4.50  6.431549547823242E-21  6.980518033008663E-21 44
  19      -4.50      -4.25 -4.108677743839022E-21  8.889222818833323E-21 40
  20      -4.25      -4.00 -2.651378051289020E-20  2.532779324488035E-20 50
  21      -4.00      -3.75 -7.166663068963500E-20  7.164130395947925E-20 55
  22      -3.75      -3.50  4.382394613008054E-22  7.639327227129016E-22 42
